http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Stayton High School,763
"Carrollton High School (Carrollton, Georgia)",1247
布拉格捷克理工大学,22560
"St. Xavier's School, Godavari",990
"Abraham Lincoln High School (Des Moines, Iowa)",2097
Coleg Meirion-Dwyfor,23064
Cleveland Institute of Music,426
North Hall High School,1049
Мессинский университет,22752
Georgia Institute of Technology,24791
Universität Ryūkyū,8436
"Riverside Junior/Senior High School (Boardman, Oregon)",413
Aysgarth School,154
East Central College,3154
Our Lady of Perpetual Help School,389
Kühne Logistics University,196
Bethel Park School District,4813
Kirkcaldy High School,1089
University of Nottingham,46009
"University of Applied Sciences, Mainz",5028
Belarusian State Medical University,6229
جامعة ريدجو كالابريا المتوسطية,10
Università Araba di Beirut,14871
Tomken Road Middle School,1439
John Leland Center for Theological Studies,52
Dover High School (New Jersey),823
"Ursuline High School, Wimbledon",1308
Oriel High School,1227
Llantarnam School,1396
Cégep de La Pocatière,2042
Harper School (Oregon),93
Clay-Chalkville High School,1287
Freeport High School (Maine),521
Central York School District,5816
Trion City School District,1319
Wetherby School,238
Justin-Siena High School,646
Nipomo High School,1291
Католический университет Лилля,24924
大葉大學,11516
"St Dunstan's School, Glastonbury",560
Bradley Stoke Community School,1091
Université des Indes occidentales,34849
Stockholm University,69291
达喀尔大学,57529
Collegium Civitas,2025
George Mason-universiteit,35236
John Stark Regional High School,721
Universidade de Simon Fraser,34301
Universiteit van Ghana,38726
"Colerain High School (Cincinnati, Ohio)",2214
Hoover High School (Alabama),2867
Aldine High School,2515
Dollar Bay High School,327
The International School of Penang (Uplands),579
Universiteit van Molise,8012
Warminster School,626
Oberoi International School,1623
John G. Diefenbaker High School,1461
Piedmont College,2160
Cleeve Park School,980
Utrecht University School of Economics,962
"Friends' School, Lisburn",954
University of Swaziland,5762
Geneseo High School,795
Université de commerce international et d'économie de Shanghai,10419
North Oconee High School,1008
Smith-Cotton High School,1022
カルダス大学,11
College of Southern Maryland,24798
Université Alexandru Ioan Cuza de Iași,25408
University of Modena and Reggio Emilia,19730
Truro School,1068
Universität Reggio Calabria,10
Universidade Federal Rural do Rio de Janeiro,11669
"Dunbar High School (Dayton, Ohio)",553
陳瑞祺（喇沙）書院,1104
Pasco High School,1804
High School for Recording Arts,200
Grenoble Institute of Political Studies,1855
"El Dorado High School (Placerville, California)",1183
Università degli Studi di Cagliari,30719
Pontotoc High School,726
Vale High School,295
Universiteit van Silezië,39655
Parthenope University of Naples,14863
McGuffey High School,935
"Warren High School (Warren, Illinois)",142
North-Eastern Federal University,16575
リール第1大学,19885
Bolsa Grande High School,1689
Basic Education High School No. 9 Mawlamyine,2456
Université nationale Taras-Chevtchenko de Kiev,19550
College of San Mateo,9616
馬禮遜美國學校,73
Technische Universiteit van Mauritius,4451
Technische Universiteit Kaunas,10344
Université d'État de Savannah,4740
Sidney High School (Nebraska),384
Blacklick Valley School District,653
Università degli Studi di Teramo,9789
Colegio Ponceño,1041
サレルノ大学,33461
Livingstone Adventist Academy,266
Colony High School,2551
مدرسة هونغ كونغ الدولية,2636
Université islamique de Médine,21452
Walter Reed Middle School,1804
Lackawanna Trail School District,1223
Birmingham Blue Coat School,1
清泉インターナショナルスクール,721
Dryden High School,604
Peabody Magnet High School,799
Российско-таджикский (славянский) университет,2954
Дартмутский колледж,6053
Natick High School,1598
Katholische Universität von Temuco,9406
威廉米特大学法学院,305
Mid-State Technical College,8000
Epworth School,753
Elida High School (Ohio),1014
Université de Lviv,11625
كلية هارفرد للأعمال,1919
Université George Mason,32272
Sullivan County School District,631
Bolton Sixth Form College,1651
International Christian School of Vienna,245
Libera Università Internazionale degli Studi Sociali Guido Carli,7518
Windermere Preparatory School,1456
Augusta Preparatory Day School,556
Université de Kinshasa,25942
Line Mountain Jr./Sr. High School,565
"North High School (Eastlake, Ohio)",1444
長春理工大学,19890
Université de Séoul,11406
Cowichan Secondary School,1586
Academia de Artes da Islândia,459
Shiraz University of Technology,1084
University of Santa Monica,488
Universidad Tecnológica Chalmers,10959
