http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Fara Vicentino,3819
Gournay-Loizé,601
Ramallah,27005
"Ansariyeh, Razavi Khorasan",17
Rixton-with-Glazebrook,1919
法蘭西博納依,837
Plaisance-du-Touch,16001
"Saint-Saturnin, Lozère",71
"Klondyke, Arizona",49
维莱迪厄莱沙托 (卢瓦尔-谢尔省),438
サン＝シプリアン (コレーズ県),326
Dompierre-sur-Authie,403
Powiat Hodonín,15363
"Alga, Burkina Faso",1271
Blankenburg (Thüringen),166
カンパニア州,5761964
Gournay-le-Guérin,151
Saint-Brice (Mayenne),492
拉维莱迪厄 (洛泽尔省),50
Villedieu (Cantal),531
Saint-Sauveur-de-Carrouges,249
沙朗特河畔东皮耶尔,472
Gampel-Bratsch,1822
Fara Novarese,2057
سيفاستوبول,406176
Montagny (Loira),1059
Rzeczyca (Tuczno),222
Vigneux-Hocquet,282
Raben Steinfeld,1169
Ainab,2953
"Pleasant Valley Township, Carroll County, Iowa",425
三宅村,2540
"Bistra, Maramureș",4183
Sinagra,3028
シダー郡区 (アイオワ州カルホーン郡),403
"Oui, Burkina Faso",906
Marsac (Charente),801
Saint-Cyprien (Pyrénées-Orientales),9804
Río Segundo,22442
Damery (Marne),1503
Abos,472
Seehausen am Staffelsee,2365
博纳伊 (安德尔省),96
Saint-Brice (Charente),1129
Kruklanki,1147
Hranice (district de České Budějovice),214
Montagny (Sabaudia),584
Bonneuil-les-Eaux,835
Plaisance (Gers),1480
Dommartin-le-Franc,225
Le Plessis-aux-Bois,244
"Rajnagar, Birbhum",14594
Parava,3335
Dommartin-le-Saint-Père,282
Barrancas (La Guajira),23178
Němčice nad Hanou,2025
"Alur, Nanded",2650
Itu (Nigeria),124818
"Andover Township, Ashtabula County, Ohio",2723
Wuyi (Jinhua),318828
Merville (Nord),9320
Qarabagh (Ghazni),228524
Breitscheid (Mayence-Bingen),150
Oberdorf-Spachbach,365
Río Segundo Department,97556
Kirchdorf in Tirol,3759
Ласбела (округ),507475
"Świerzno, West Pomeranian Voivodeship",666
غراندفونتين,400
"Biskupice, Toruń County",442
Амран (город),95058
Werther (Turíngia),3499
"Bako, Ivory Coast",16457
Recologne (Haute-Saône),36
Hołubiwka,28909
"Municipio de Curran (condado de Sangamon, Illinois)",1606
Плезанс-дю-Туш,15253
穆尔河畔苏尔茨巴赫,5604
Fara (Burkina Faso),9078
Mechelinki,303
Tila (Chiapas),68113
Janów (Brochów),375
Plaisance (Aveyron),215
Janów Podlaski,2722
Saint-Gratien (Somme),344
Veliki Gaber,305
"Ovacık, Çine",570
Mechelinki,300
"Sulzbach, Rhein-Lahn",205
Berge (Prignitz),859
プレザントバレー郡区 (アイオワ州セロゴード郡),511
Sanxia,115892
Gornji Potočari,931
Hořice u Humpolce,188
Janów (powiat brzeziński),57
Damery (Somme),217
ヴィーデン (シュヴァルツヴァルト),582
Carbonate,2810
北欧理事会,25019446
عرف (كوهمرة خامي),11
Marest,262
Yanping,486257
Saint-Saturnin-du-Limet,566
Hunterganj,103128
Carville-Pot-de-Fer,108
Umbria,914000
布里 (诺尔省),358
"Akbarabad, Esmaili",691
Boulogne Sur Mer (Argentina),74125
Costeşti (Vâlcea),3733
Wieden (Badenia-Wirtembergia),574
Lora de Estepa,851
Carignan (Ardennes),3275
阿龙德河畔古尔奈,580
Illingworth,12898
Biskupice (powiat buski),146
"Saint-Cyprien, Lot",307
Le Plessis-Patte-d'Oie,93
Хомс (Ливия),206920
"Kamali, Bushehr",46
"Ramin, Germany",664
Neuenkirchen (Diepholz),1177
"Kandal, West Azerbaijan",447
Crépy (Paso de Calais),164
"Agios Amvrosios, Limassol",281
Veliki Gaber,316
Dalar,2851
Krasne (powiat rzeszowski),3338
Selva di Cadore,583
Alberdi (departement),16145
Kikai (Kagoshima),7516
Pommiers-la-Placette,572
"Runaway Bay, Queensland",9089
Montagny-lès-Seurre,107
Requena (província),66068
Ramin,691
Węsiory,756
Qomsheh Tappeh,320
"Padma, Hazaribagh (community development block)",42688
"Saman, Ilam",811
"Juda, Wisconsin",365
加莱拉,1150
Beauregard-de-Terrasson,722
"Ortaköy, Mardin",7514
Saint-Brice-Courcelles,3482
"Municipio de Soldier (condado de Jackson, Kansas)",420
Fara (Kostel),28
أوفرايسل,1079043
Issel,476
Requena Province,68467
Werther (Turingia),3566
Saint-Sauveur-de-Landemont,629
Галера (Гранада),1070
巴列德马塔莫罗斯,428
Tila (Chiapas),71159
伊塞 (奥德省),472
Saint-Martin-des-Champs (Yonne),290
Dommartin-le-Franc,232
La Celle-sous-Montmirail,111
"Sanriku, Iwate",8073
Rzeżęcin,323
Gościcino,5135
Issel (Aude),466
Costești (Vâlcea),3643
Conflans-en-Jarnisy,2408
Dommartin (Nièvre),206
Нойенкирхен (Ланд-Хадельн),1489
"Avon Township, Lake County, Illinois",62313
كمالي (فارس),1211
Mées,1692
Rosta,4474
錫達鎮區 (堪薩斯州考利縣),46
"North Lake Parish, New Brunswick",238
Saint-Saturnin (Marna),45
Kalabria,2047954
Arauco (Chile),34772
La Celle-sur-Nièvre,174
"Mend, Iran",1580
Pogrodzie,682
بول (تشيشير),105
Saint-Brice (Mayenne),472
Faramans (Isère),1004
Viry-Noureuil,1809
Лез (Верхняя Гаронна),61
德纳伊尔莱尚泰尔,96
Taï,32553
Perthes (Haute-Marne),617
圣索沃尔-德朗德,1364
