http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Thirupuvanam,15714
Komeh,2388
General Roca (Río Negro),87321
Khowai,21494
Rożyszcze,13864
General Alvear (Mendoza),29509
Kaptanganj,11084
Staré Hobzí,599
古拉奥蒂,43191
海法,266288
Starokostiantyniv,35078
Bhawana,61937
Acatic,18020
يونزين (ناغاساكي),48785
Juchitlán,5514
Shergarh (Uttar Pradesh),12468
蟹田町,3850
Baruipur,55577
Vadia,4366
Gurgaon Rural,17098
Maudaha,41821
Udajpur,455212
North Dumdum,218065
Ambaliyasan,6930
Pinjore,35618
帕德马普尔,18205
Taixing,1083487
Гадяч,24067
Tsuchiura,137661
Vikasnagar,12065
Cruz (Ceará),21770
Hashtpar,54868
Graneros,31536
Naushehra,9285
Tanakpur,40617
Deoranian,17554
Taixing,1060490
Hlobyne,9855
Chiknayakanhalli,26964
阿久瓦,15140
Brianka,48296
Malekan,25148
Nakhon Sawan,111715
Leova,10653
Sanmu,56065
Valle de Juárez,5025
Zibashahr,9302
马赫罗尼,8666
Хеврон,223401
Khera Khurd,8694
Ipiales,118591
Mixtlán,3322
Cupcini,9190
Haaren (Aachen),11623
Charata,27069
Okayama (cidade),708455
Rapar,57672
Xianning,2985685
Khamaria,28223
Mahudha,14992
Sangli-Miraj-Kupwad,511209
Honiara,65883
Kondor,5885
Fariha,5817
南丹市,34137
"St. Anthony, Minnesota",7940
Ayagawa,24589
كلاته خيج,5218
"Tachikawa, Tokyo",187091
Tindwari,9849
Naqneh,8203
Gomishan,15155
Patnagarh,25866
فوينتي أوبيخونا (قرطبة),5008
Chibougamau,7457
Vazvan,4808
Mitoyo,74644
Khaliapali,5323
Tangerang do Sul,1383675
Assandh,23691
Prévost (Quebec),12506
Aizuwakamatsu,127070
إميزو (توياما),91205
オッペアーノ,8910
萨拉曼卡,204987
Куч-Бихар,103858
Kothnur,20328
Imizu,88754
"Usuda, Nagano",15758
作手村,3127
Tilpat,6342
Lauthaha,7712
