http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
La loba herida,205
فيفي والزهرات الصغيرات,120
Rookie Blue,71
Prison Break,77
فيردي (مسلسل),53
暴坊將軍,832
Marvel’s Daredevil,27
Family Matters (Singaporean TV series),21
Ek Mahal Ho Sapno Ka (TV series),1005
Alias Smith und Jones,49
Believe (telessérie),13
Martha habla,97
Better Call Saul,20
Lasciate in pace i koala,27
Bottle Boys,13
Celebrity Duets,9
Contra viento y marea,144
The Farm (UK TV series),22
"Spenser, detective privado",4
"Gabriela, giros del destino",124
Mia sorella Sam,46
Hero: 108,106
Caméra Café,677
The Cuckoo Waltz,26
Once Upon a Time,119
¡Vivan los niños!,149
Gwiezdne wrota: Wszechświat,42
Pulitzer Prize Playhouse,55
Canavial de Paixões,116
أرض المعركة (مسلسل),13
Armia tatuśka,78
The Family (2011 TV series),8
超人力霸王葛雷,13
Le avventure di Super Mario,25
Hatch's Mill,10
48 Hours,953
Mary Kay and Johnny,301
Sons of Tucson,13
Conflict (serie televisiva),19
Lancer,53
Majority Rules – Becky regiert die Stadt,27
Danny Phantom,51
Towser,25
Laguna Beach MTV,41
Fortitude (TV series),12
A Gifted Man,16
"Paradise, znaczy raj",54
名作背後,28
Entertainers with Byron Allen,19
Génial Génie,81
Open House with Gloria Hunniford,141
Quatermass Conclusion - La Terra esplode,4
The War at Home,43
Spider-Man and His Amazing Friends,25
والاس وغروميت,30
Turno di notte (TV series),15
The Real World: D.C.,14
Legenda o Białym Kle,27
The Strip (NZ TV series),39
I'm in the Band,42
Bez przeszłości,26
PitchMen,18
Szczenięce lata Clifforda,40
Duckman,73
Vier gegen Z,40
Go Girls,66
Pole Position (série),13
Misión SOS,121
King Arthur's Disasters,27
Conflictos de un médico,20
Gilmore Girls,159
となりのサインフェルド,187
The Game (U.S. TV series),150
My Kind of Country (TV series),13
談判專家 (電視劇),31
Real Kung Fu,20
Le Rêve de Diana,2585
Cheonbeon-ui immatchum,50
Amorcito corazón,197
Aquarius (serie de televisión),26
Paul Temple (serie televisiva),53
Street Fighter (serie televisiva),26
I Love Money (season 4),12
Law & Order: Trial by Jury,13
The Killing (serie televisiva 2007),40
The Carrie Diaries (Fernsehserie),25
The Pressure Cooker,1
'Orrible,8
Full Swing (game show),8
Cake Boss,191
Дикий ангел (телесериал),269
ラマだった王様 学校へ行こう!,50
Cops: L.A.C.,13
Friday Night Lights (televisieserie),79
La piccola grande Nell,136
كلارنكس,81
The Real World: Key West,24
Skunks Fu,26
Звёздные врата: Бесконечность,25
James May's Toy Stories,4
القنفذ سونيك ( سلسلة كرتون) 1993,27
Homemade Jam,3
Verbotene Liebe (serial telewizyjny),4636
Parks and Recreation,126
Delocated,30
Parks and Recreation,120
グッドラックチャーリー,97
Birds of a Feather,129
La famiglia Brady,116
List of Bakugan Battle Brawlers episodes,54
Assaulted Nuts (TV series),7
Samantha oups!,329
City (opera mydlana),361
Mi pecado,110
暗黒の戦士 ハイランダー,119
Junior MasterChef,39
Stinky i Jake przedstawiają,63
Fashion Police,219
Мастера ужасов,25
أورسن وأوليفيا,27
The Lodge (Fernsehserie),4
По правде говоря,10
Rivalen der Rennbahn,11
ビッグ 〜愛は奇跡〜,16
El escuadrón de superhéroes,54
Убийство (телесериал),42
Chiara e gli altri,25
Jenny's War,4
Review (Fernsehserie),19
Empress Wu (1984 TV series),41
Dave and Steve's Video Game Explosion,12
李小龍傳,30
Żona dla taty,137
Country House Rescue,42
Alegrijes y rebujos,130
Los ángeles de Charlie (serie de televisión de 2011),8
Two Pints of Lager and a Packet of Crisps,78
T.I.'s Road to Redemption,9
Le Cartel,6
Sergent Anderson,95
Graceland (serial telewizyjny),37
Conan (série télévisée),23
Dave's One Night Stand,20
尋,18
Monday Monday,7
The New Adventures of Flash Gordon,31
Life (serie de televisión),31
HGTV Star,62
Kommissar Rex,117
Воздушные бои (телесериал),28
Magic Touch of Fate,19
ラスト・スキャンダル,16
Bracia i siostry,109
Hergé's Adventures of Tintin,106
Brüder (Fernsehserie),39
Open House (TV series),23
Cómplices al rescate,129
スパイダーライダーズ 〜オラクルの勇者たち〜,53
Sons of Tucson,13
I ragazzi del coro (serie televisiva),27
Były sobie odkrycia,25
Total Wipeout,12
Thunder (TV series),13
The Loop (Australian TV series),254
Братья Доннелли,13
Royal Pains,100
Yellowstone (TV series),3
Homewrecker,8
Los hermanos Venture,72
Men of a Certain Age,21
Catalina i Sebastian,124
Mystery 6,6
Noddy en el país de los juguetes,52
Jack's Place,18
Психовилль,14
Muchacha de barrio,196
Fire høytider,5
Touch (serie televisiva),26
Le Dino Train,88
The Glee Project,22
Les Belles Histoires des pays d'en haut,476
Monster Allergy,52
Aussie Ladette to Lady,13
Уоллес и Громит,1
Children's Ward,139
"Willy, il principe di Bel-Air",150
Twarda gra,26
私立探偵スペンサー,66
Ultraman Leo,52
Aşk-ı Memnu,76
لفل أب (مسلسل),36
Turnabout (TV series),7
Новые приключения старой Кристин,92
Falcon Crest,221
Docteur Marcus Welby,163
Farscape : Guerre pacificatrice,2
Игрок (телесериал),9
Dream Stuffing,10
Ruri no shima,10
Bouli de sneeuwpop,35
Eclipse (telenovela),29
Zbuntowany anioł,265
Street Fighter: Assassin's Fist,1
Stella (U.S. TV series),10
1% of Anything,26
Get Blake!,50
Drake & Josh,59
Weird Nature,6
Young Talent Time,771
Un commissario a Roma,10
AfterMASH,31
Happy Valley (TV series),12
Lost,122
29 Minutes of Fame,6
Sport Ranger,32
Laguna Beach: The Real Orange County,42
Kim Possible,86
Mask Man (cartoon),40
California Dreams,80
Stargate Universe,35
ليوناردو (مسلسل),25
Saas v/s Bahu,38
Beware the Batman,27
Estúpido Cupido (1995 telenovela),109
Uncle Grandpa,110
Maximiliano y Carlota,51
Cold Feet (series 1),6
Professor Balthazar,59
Saison 2 de Burn Notice,16
Bella Calamidades,144
Conflictos de un médico,20
Eretz Nehederet,257
Stargate: Infinity,25
Kwizerr,41
Dark Knight,26
The Paradise,16
The Crocodile Hunter,59
الملكة البيضاء,10
The Family (1974 TV series),12
La mujer perfecta,140
The True North,11
Jinx (TV series),13
灵异妙探,121
Ganyan Kita Kamahal,88
Two Weeks (TV series),16
Stargate Infinity,27
Jinx - Fornelli e magie,13
Борджиа (телесериал),38
On Air (serial televisivo),21
Scorch (TV series),3
The Journey: Our Homeland,29
Drake i Josh,57
王子變青蛙,30
The Timeline,16
Psych,117
Ravenswood (serie de televisión),10
Queen Seondeok (TV series),59
Seinfeld,187
Bored to Death,23
Taizu Mishi,47
Sexton Blake (TV series),51
Birra e patatine,77
Stargate Infinity,26
Die Deutschen,19
Buffy the Vampire Slayer,139
We dwoje raźniej,23
Iron Chef,311
Зик и Лютер,73
The Amazing Spiez!,53
Livin' with Lucy,16
Best Ed,27
Who Gets the Last Laugh? (TV series),9
Uno di noi (serie televisiva),12
HEROES (テレビドラマ),77
Tales from the Green Valley,12
Glue (série télévisée),8
Linda e il brigadiere,16
Dragnet (franchise),740
Silent Library (TV series),93
Paris Hilton's My New BFF (season 2),10
The Newsroom (Série de TV Canadense),32
Perro amor,130
Please Like Me,33
Orson Welles' Sketch Book,6
千次的吻,48
Quinceañera (telenovela),104
My Two Dads,61
Cheonchu taehu,76
Heartbeat (UK TV series),373
MANTIS,21
愛情合約〜Love Contract〜,19
Duelo animal,12
Conan and the Young Warriors,13
Последний час,13
The Facts of Life (TV series),212
Geordie Shore,101
"Les Schtroumpfs (série télévisée d'animation, 1981)",263
The City (telerrealidad),35
春日華爾滋,19
Primer amor,96
Un inviato molto speciale,8
Alles was zählt,2430
ラブストーリー・イン・ハーバード,16
Le Monde en guerre,27
Charlie's Angels (televisieserie),107
The Lampies,52
Così è la vita (serie televisiva),36
Firefly (série télévisée),14
"Lass es, Larry!",80
Charlotte aux fraises,49
Kot Billy,54
"Go, Diego, Go",78
It's a Knockout (Australian game show),104
Kwiskwat,43
Ape Escape (animated TV series),19
Miami Social,7
神雕侠侶 (2006年のテレビドラマ),39
Зена — королева воинов,139
The Adventures of Ozzie and Harriet,421
Der unbesiegbare Iron Man,27
Garfield et Cie,107
Un refugio para el amor,160
Pompidou (TV series),6
Quatermass II (miniserie televisiva),6
Century Falls,6
On the Lot,16
Sesame Street,4239
ももいろぞうさん,79
In Real Life (season 3),10
Half Nelson (TV series),6
Some Mothers Do 'Ave 'Em,23
Похищенный (телесериал),13
瘋狂愛情,95
Around the World in 80 Gardens,10
Pour le meilleur et le pire,78
Un prete tra noi,12
American Idol Extra,40
Stargate Atlantis,98
Under the Canopy of Love,20
Blue Murder,52
Cucumber,8
30 for 30,29
Trollz,27
Classe di ferro,23
Smash (serie televisiva),32
Firefly (serie televisiva),14
Alvin and the Chipmunks (1983 TV series),2
Amor en custodia (México),245
Il commissario De Vincenzi,6
