http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Malte,425271
Catar,2269865
格鲁吉亚,3690170
Papúa Nueva Guinea,6924006
Kuwait,4272048
ليسوتو,2070323
سوريا,17455568
パナマ,4096987
オマーン,4468733
Республика Конго,4789724
Irak,38285618
利比里亚,4705097
エストニア,1348888
Papua-Neuguinea,6911226
Tayikistán,8707099
Chipre,1108921
Katar,2294463
Camboya,15997947
Niue,1238
キルギス,6166690
中非共和國,4864426
Ilhas Marshall,73727
Togo,7556560
Zweden,10202107
Antigua e Barbuda,86941
Egipto,86916
توغو,7618608
Kuwait,4513552
肯尼亚,46818819
Vietnam,88877353
トーゴ,7361599
Egypt,83267
アルバニア,2781339
キプロス,1108667
卢森堡,574163
Niue,1189
Republic of the Congo,4755439
Georgia (country),3740858
Chile,18182107
Guinea,8893347
パキスタン,206235725
クウェート,4218326
Kolumbia,50464237
India,1352628870
التشيك,10377737
Saint Kitts e Nevis,55683
Salomonseilanden,511126
科威特,4505111
غينيا الاستوائية,1182267
マルタ,432058
Solomon Islands,542060
Lesotho,2100523
Equatorial Guinea,1282476
Togo,7514468
Кения,44509006
Senegal,12914236
Кабо-Верде,507329
Cambodge,15502450
República del Congo,4483976
