http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/areaTotal
Scotia Sea,994179047769
Mar Tirreno,261674876009
Persian Gulf,237837711132
Mar de Azov,43401674840
Laptevzee,771774014909
Baie de Botnie,37994099271
林肯海,68912215102
Javasee,294062321921
ティレニア海,252105768559
Море Лаптевых,767973960984
بحر تيمور,574444483007
Morze Wschodniosyberyjskie,1014231769612
アドリア海,137000500707
Schwarzes Meer,470302999198
Noordzee,535923658335
Mer d'Irminger,811916354732
Koraalzee,4830912279017
白海,96479216304
拉布拉多海,896870926432
Stac Lee,23469
Alkali Lakes (California),908525341
Morze Lincolna,65696244140
拉普捷夫海,697839551153
Bahía de Baffin,697881593408
珊瑚海,4930848716121
Morze Norweskie,1366465943403
Mar de Chukchi,618095056241
Чукотское море,632443619797
Irische See,45256355570
Morze Śródziemne,2347530954510
Mare di Beaufort,161165529207
Mer du Labrador,947669992187
Stac Levenish,22803
Tyrrhenian Sea,289390054038
Mar de Laquedivas,765241969007
東シベリア海,898531396918
Tsjoektsjenzee,635362027657
Mar de Lincoln,60404585195
Балтийское море,369636961621
Irmingersee,811813233387
Labrador Sea,904553620028
