http://dbpedia.org/ontology/Train,http://dbpedia.org/ontology/weight
E-class Melbourne tram,69001705
CAF Civity,93300261
V250 (train),410423749
Sydney Trains T set,39832063
D-class Melbourne tram,27065252
TGV Atlantique,466646628
TGV POS,413473561
Siemens P2000,41518879
Automotrice RhB ABe 4/4 III,48457954
TGV Réseau,378226486
E7 Series Shinkansen,505032754
ČD Class 471,151787775
TMK 101,14446348
Mitsubishi Heavy Industries Crystal Mover C810,13960227
Ban’etsu Monogatari Gō,32344135
IC4,165192543
CRH3,427863036
TT Class 8,26156969
Alstom AGV,249509365
81-760/761,38931988
Sydney P-Class Tram,15832852
ICE-3列車,404729808
British Rail Class 350,195538537
Stadler KISS,302940565
JR西日本321系電車,234841811
السكة الحديدية البريطانية فئة 365,156802676
R8A (New York City Subway car),27468435
General Utility Van,28495131
Talgo AVRIL,299150790
NZR RM class (Silver Fern),110945470
ニューヨーク市地下鉄R142A電車,32109917
ICE 1,59903518
Bombardier BiLevel Coach,51277908
HHA Typ DT3,46280720
Serie 120 de Renfe,235311378
Série 81-740/81-741,40785226
RENFE Class 120 / 121,235580793
Dieselmaterieel '90,96485881
VRSm3電車,319255849
Shinkansen-Baureihe N700,678953112
RABe 520,87397773
SJ Y6,18390495
BM70,188929334
NSB Class 92,59054395
British Rail Class 312,174490899
British Rail Class 438,33298119
ICE 2,370570811
SJ X14,105820117
British Rail Class 501,109677596
シンガポール地下鉄C751B形電車,203573470
H-series (Toronto subway),24316541
TGV Thalys PBKA,381418395
KTM Class 83,123465354
Treno Servizio Regionale,58230632
Tatra T6A5,19764912
SL X10p,27678608
新幹線N700系電車,779044825
マッターホルン・ゴッタルド鉄道Deh4/4 51-55形電車,44496641
South African Class 5M2,61977041
马来亚铁路91型电力动车组,241215860
C-class Melbourne tram,26631328
SJ X9,102966408
Ultra Dome,91905204
ČSD Class EMU 29.0,34711909
British Rail Class 465,135715491
R188 (New York City Subway car),31590457
レンフェ102系,312966150
Baureihe 401,53158773
Sleeper Either Class,46770361
Wagon de garnison Peacekeeper,233855587
AGV,273541077
新幹線E4系電力動車組,410198036
Sri Lanka Railways S8,73114480
Shinkansen série E7,553877205
British Rail Class 165,79424760
British Rail Class 153,40576585
R42 (New York City Subway car),31598283
JKOY Class Sm5,133425621
British Rail Class 350,175698333
EN57,131621897
ロンドン地下鉄A60・A62形電車,32969729
British Rail Class 442,197609460
Talgo AVRIL,304249878
DR Class 270,64139416
DRG Class ET 125,55556766
B-class Melbourne tram,33422476
TCDD MT5200,86469820
Automotrice RhB ABe 4/4 II,36847038
Amfleet,47500036
R62 (New York City Subway car),34240175
ČSD Class EMU 89.0,46910036
Renfe série S-120,249336292
SBB RAm TEE / NS DE IV,232781765
British Rail Class 411,174413990
NSB Class 62,43536528
Вагон метро 2009 серии,181582813
SL X60,221523066
Automotrice à grande vitesse,296878044
FS Class ETR 470,719574584
R11/R34 (New York City Subway car),34762544
Acela Express,547323612
Shinkansen série E5,472109135
SNCF Class Z 9500,110512200
Tatra KT4,20563896
British Rail Class 395,286162752
Valmet RM 2,21594557
South Australian Railways Bluebird railcar,58614785
London Underground A60 and A62 Stock,28865268
Stadler GTW,69036862
R68A (纽约地铁车辆),41519465
MTR CNR Changchun EMU,15925669
MR-63,27246168
BVZ ABDeh 6/6,66851211
新幹線E7/W7系電力動車組,523602611
马来亚铁路81型电力动车组,110397580
RŽD-Baureihe ЭС250,366504004
ETR 460,411258159
Keystone (train),38591866
British Rail Class 377,195130809
BB Fe 2/2,12160461
シンガポール地下鉄C651形電車,36777947
RENFE Class 592,131922669
ICE 1,54196154
MF 01,125372787
レーティッシュ鉄道ABe4/4 51-56形電車,45461345
Séries N700 - Shinkansen,818740662
ЭМ167,53656979
ICE 1,842608126
NSB 73,196821799
Séries E4 - Shinkansen,415403384
RhB ABe 4/4 (Réseau de base),38550042
Pafawag 5Bs/6Bs,186627073
British Rail Class 139,12703539
Сапсан (электропоезд),633145822
DR-Baureihe ET 91,47042030
JR北海道キハ160形気動車,33413081
British Rail Class 221,203481595
Red Devil (interurban),22194850
Canadian Light Rail Vehicle,35786910
ICE 2,415218464
ICE 1,836024885
CRH1,448507123
デンマーク国鉄IC3型気動車,108831402
British Rail Class 185,172181716
