http://dbpedia.org/ontology/Skier,http://dbpedia.org/ontology/weight
"Храпек, Каролина",79087
"Хубер, Мартин Иосифович",91759
Svetlana Gladyševa,66421
Marina Kiehl,55843
"Хальварссон, Ян",75617
Roberto Nani,71877
Agnieszka Gąsienica-Daniel,58299
Mykhaylo Renzhyn,78780
Luca De Aliprandini,66670
Irene Epple,68280
"Гонсеница-Даниэль, Агнешка",52264
Mauro Caviezel,92074
Lavinia Chrystal,63547
"Гран, Стуре",71247
Marija Kirkowa,74724
Jan Halvarsson,75306
Nadeschda Nikolajewna Patrakejewa,65536
Martin Bendík,89351
Marina Kiehl,63437
Emily Bamford,62282
Elis Wiklund,80391
Swietłana Gładyszewa,66776
"Фалат, Матей",71717
Adeline Baud,61403
Marko Vukićević,85162
Marina Kiehl,63122
Constantinos Papamichael,66569
