http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Limbach (Baden),4655
Berndorf (Salzburg),1713
City of Botany Bay,37464
Lány (Vysočina),61
布瓦西莫吉,410
Lagny-le-Sec,1728
"Jazan, Alborz",359
Frymburk,1250
圣西普里安 (卢瓦尔省),2328
Ilhas Menores Distantes dos Estados Unidos,291
Рафах (город),166115
"Milburn Township, Custer County, Nebraska",74
Saix,205
São Cristóvão do Sul,4758
Stambridge,709
Saint-Saturnin (Cantal),234
Frymburk (Boêmia do Sul),1373
Saint-Sauveur-de-Peyre,257
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",938
"Drage, Nordfriesland",519
"Carignan, Ardennes",3157
La Marne,1188
Saint-Saturnin-de-Lucian,294
Loria,8537
Yungay,16466
Merville (Haute-Garonne),4974
Kuik-e Majid,207
Перт-ле-Бриен,70
Le Plessis-aux-Bois,227
Saint-Brice (Sena y Marne),810
جزيرة بمبا,441434
Municipio de Pleasant (Illinois),832
Rückersdorf (Niederlausitz),1737
L'Épinay-le-Comte,185
"Krishnanagar, Nepal",20376
Saint-Sauveur (Somme),1305
Gaza,472662
"Матаморос (Чиуауа, муниципалитет)",4736
Saint-Sauveur-sur-École,1135
Dźwirzyno,591
L'Hôpital (Moselle),5687
Campana (Francja),23
Montastruc (Tarn i Garonna),221
Viry (Jura),894
Roșiori (Brăila),2816
ベシエール,3201
圣萨蒂尔南德吕西昂 (埃罗省),313
Kněžice (Jihlava District),1506
Powiat Kladno,133515
"Pommiers, Aisne",612
Wieden (Badenia-Wirtembergia),588
Lora de Estepa,812
Salim Chaf,340
"Steinfeld, Mecklenburg-Vorpommern",582
Gmina Terweł,16362
Montastruc (Altos Pirenéus),290
Lichnowy (powiat malborski),950
Ampani,4563
Carnet,514
塞瓦斯托波爾,383694
Adjamé,342260
"Potto, North Yorkshire",348
"Biskupice, Częstochowa County",807
"Angara, Andhra Pradesh",13894
Le Plessis-Grammoire,2080
"Ziyaret, Kozluk",361
Villedieu-le-Château,376
Alto (Piemont),109
Grandfontaine-sur-Creuse,73
Dayu County,306888
Boissy-Lamberville,259
Damery (Marne),1292
Ribera del Fresno,3439
Ongar,5706
زيويه (سقز),312
Sankt Martin im Mühlkreis,3842
Al-Qa'im (distrito),146
特里比恩鎮區 (格里利縣),1162
Oliva de la Frontera,5841
Janów Podlaski (plaats),2980
Dommartin-le-Coq,63
Bousse (Sarthe),457
Königsfeld im Schwarzwald,5732
"Mineral Township, Barry County, Missouri",820
Dommartin (Rodano),2787
Malla (Barcelona),252
Damery (Marna),1649
Talki (województwo warmińsko-mazurskie),200
Сен-Максимен,561
Damery (Somme),209
Grotte di Castro,2993
"Noarlunga Downs, South Australia",3721
Moissy-Moulinot,24
Hamr (Jindřichův Hradec District),354
Dompierre-les-Tilleuls,247
St. Martin im Innkreis,1706
Drage (Steinburg),240
"Armutlu, Kemalpaşa",7474
Śliwin,221
Faraday (Ontario),1425
Biskupice (Svitavy),400
Lumby,722
Libkov (Domažlice District),100
