http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Jefferson County High School (Georgia),1058
Technische Universität Bergakademie Freiberg,5135
Penn State Greater Allegheny,775
Angelo State University College of Sciences,1142
Maret School,634
Université de Salerne,31560
Walter Sisulu University,22388
哈尔滨师范大学,30202
South African College Schools,644
Institut Supérieur de Logistique Industrielle,112
Université KIMEP,3010
Country Christian School,282
Western Pennsylvania School for the Deaf,185
St Benedict's Catholic College,791
University of Manila,9889
Burrell School District,1874
Valentines High School,1740
テキサス海事大学,2392
Carlisle Area School District,4362
Marianas High School,1523
"St. Lawrence High School, Kolkata",2950
Community College of Baltimore County,76802
ライス大学,6192
Duale Hochschule Baden-Württemberg,35475
广东科学技术职业学院,17729
جامعة صفاقس,42568
Landwirtschaftliche und Veterinärmedizinische Universität Iași,4306
諾爾蘭大學,6011
Kahili Adventist School,28
"Wayland Academy, Wisconsin",71
"Unity High School (Tolono, Illinois)",459
East Lycoming School District,1751
Belle Vernon Area School District,2602
Universität Suhar,6832
Highland Park High School (New Jersey),421
Warrior Run School District,1565
Trevor G. Browne High School,3194
Florida International University College of Law,487
威廉米特大学法学院,328
Ballou High School,1135
Hylton Red House School,1399
Columbia Borough School District,1294
Uniwersytet Pavla Jozefa Šafárika w Koszycach,5884
أكاديمية بوخارست للدراسات الاقتصادية,20180
Uniwersytet w Lund,42446
Hosanna Christian School,329
Yangon International School,608
Université du Rosaire,11311
Winter Springs High School,1937
"South High School (Torrance, California)",2040
Louise-Schroeder-Gymnasium,1021
Universidad de Niza Sophia Antipolis,24646
Université des sciences appliquées de Lahti,4975
Университет Перуджи,27405
Montgomery High School (New Jersey),1873
Bukidnon State University,14332
National Yunlin University of Science and Technology,9403
"Lincoln School (Providence, Rhode Island)",392
Arkansas Baptist College,1009
Livingston High School (New Jersey),1761
Universidade de Aveiro,10987
Woodhaven-Brownstown School District,5683
جامعة البوليتكنيك في ميلانو,43168
Freeport Area School District,1852
Collège Saint-Joseph (Darjeeling),1063
Augusta High School (Wisconsin),192
Fourah Bay College,3241
Università di Tecnologia e di Economia di Budapest,19736
Gainesville Independent School District,2595
Tarleton Academy,569
Blessed Cardinal Newman Catholic High School,1354
Quarrydale Academy,1045
Universidad de las Ryūkyūs,7769
Barnwell School,1597
جامعة كييتي,33865
Episcopal Academy,1096
Крагуевацкий университет,12416
West Somerset College,990
Edward Sheerien School,811
中林高中,3669
Università di León,12
Strathcona-Tweedsmuir School,707
Notre Dame College Prep,836
台中美國學校,158
أكاديمية كونمينغ الدولية,65
"Southwestern High School (Hanover, Indiana)",382
High School for the Gifted,1792
Technische Universität in Liberec,9210
جامعة مدينة نيويورك,525374
Avondale School District,3488
United College (Hong Kong),3068
Valparaiso University School of Law,545
Methuen High School,2102
Université centrale de Caroline du Nord,9415
Pennsylvania State System of Higher Education,99985
Seven Lakes High School,3503
"Government Colleges Hostel, Mumbai",295
ENSAIT,10741
Renton Technical College,4081
大葉大學,10452
Universidad de Colombo,10662
Barry College,9375
Eastwick College and the HoHoKus Schools,2732
CCC Heep Woh College,1115
斯旺西都會大學,6233
Libera Università Internazionale degli Studi Sociali,7318
Westview Centennial Secondary School,1414
Universidad EARTH,397
Universität Luxemburg,6464
Rye College,714
Fairport High School,1643
Universidade de Hamburgo,40631
Owen Valley Community High School,767
University of the Republic (Uruguay),89799
Illinois College of Optometry,601
"Pontificia università ""San Tommaso d'Aquino""",1006
Saint Francis Central Coast Catholic High School,271
Zhejiang A & F University,17137
La Joya Community High School,1820
Riverview School District (Pennsylvania),1432
馬里蘭藝術學院,1787
جامعة قرطاج,51028
University of Papua New Guinea,14573
University of Ghana,34598
Universidade São Judas Tadeu,21
Coombeshead Academy,1174
Campus Bio-Medico,1744
International Psychoanalytic University Berlin,415
嘉应学院,13843
"Казахстанский институт менеджмента, экономики и прогнозирования",657
Elm Wood Primary School,0
جامعة جنوب فلوريدا,51761
St. Henry's Marist Brothers' College,691
Национальный университет Узбекистана,10737
Cheshire High School,1527
Monessen City School District,916
Pine Eagle Charter School,201
Kumi University,1031
American University School of International Service,1679
University of Swaziland,5349
Paisley School,113
Cantell School,987
Pir Mehr Ali Shah Arid Agriculture University,7416
普林斯顿大学,8665
Universidad de León,12
Universidad de tecnología de Mauricio,4495
Hudson Catholic Regional High School,493
Londonderry High School,1779
Brocklehurst Secondary School,827
Madisonville Community College,2837
Gilbert Classical Academy,20620
Wit-Russische Staatsuniversiteit voor Informatica en Radio-elektronica,17174
Macmillan Academy,1502
All Saints Catholic Academy,408
University of Arkansas – Fort Smith,7542
Plainville High School,829
Université de la République,82391
Nuova Università Bulgara,0
Roundwood Park School,1289
Lancaster Country Day School,589
Istituto di studi politici di Lione,1571
貝魯特阿拉伯大學,16583
Lubin School of Business,4294
Winsor School,405
Université de technologie de Poméranie occidentale,16419
Isleworth and Syon School,1022
Largo High School (Florida),2144
Line Mountain Jr./Sr. High School,286
Harvard Graduate School of Design,187
美國海軍司法學校,149
Universidad Europea de Madrid,14429
Merced High School,2010
St. Thomas Residential School,2022
Stanley High School (New Brunswick),137
Università di Ankara,43296
布达佩斯考文纽斯大学,15853
"Uniwersytet ""Gabriele d'Annunzio""",28021
Institut d’études politiques de Toulouse,1906
Maritime Christian College,25
Watson Chapel High School,811
Salisbury-Elk Lick School District,235
九龍工業學校,696
Pisgah High School,992
Valley Forge Military Academy and College,685
Journeys School,214
Uniwersytet w Hamburgu,39371
Waterford High School (Connecticut),932
Norwegische Handelshochschule,3326
Bellefonte Area School District,2658
Our Lady's Convent Roman Catholic High School,761
Seashell Trust,109
Davenport Central High School,1409
Université Columbia,27844
Claude Bernard University Lyon 1,33612
The Glenn Gould School,132
South Wasco County High School,116
Anhui Polytechnic University,17914
大阪府立清水谷高等学校,1003
Lycée Ressu,617
Harmony Area School District,364
Polytechnic University of the Philippines,51377
Manuel Dominguez High School,2564
Columbia High School (New Jersey),1852
Staatliche Universität Saratow,29051
Anil Neerukonda Institute of Technology and Sciences,2414
Universidade de Iaşi,28830
Highgate School,1610
Community College of Beaver County,1887
Glasgow High School (Kentucky),583
Bowie High School (Maryland),2506
Sturgis Brown High School,853
Hialeah Gardens High School,605
Университет логистики Кюне,189
State Elementary School Cipinang Melayu 12 Petang,430
Université normale du Zhejiang,19184
Students United,51585
瑪麗安大學 (威斯康星州),2140
IE Business School,5918
Standley Lake High School,1328
Leeds Business School,5088
St. Henry High School,409
Science Hill High School,2541
Salisbury High School (North Carolina),855
Fakir Mohan University,15082
Gymnasium Kiril Pejčinoviḱ,4929
Лёвенский католический университет,58671
Newport Harbor High School,2485
Great Mills High School,1592
"Loreto Convent, Darjeeling",613
Mount Angel Abbey,216
Chopticon High School,2119
Saint Joseph Seminary College,152
Andover Elementary School,33
Miami Dade College,178620
SMK Subang Utama,1533
University of Tolima,36126
Shandong University of Traditional Chinese Medicine,18588
Rajalakshmi Engineering College,5386
كليات التقنية العليا,22790
Bristol Gateway School,88
Amelia High School,1204
Universidad de Argel,101057
Université du Salento,19187
Palmview High School,2873
Worcester Sixth Form College,1437
Российский институт театрального искусства — ГИТИС,1508
جامعة أليكساندرو إيوان كوزا,25885
Lake Central High School,3384
Collège de Maisonneuve,5729
Gulf Islands Secondary School,623
Col·legi Casp,1710
Franklin Area School District,1920
Johnson College,460
New York University School of Law,1461
"University High School (Waco, Texas)",1658
Université d'Oran Es-Senia,28282
Archbishop MacDonald High School,1029
Delaware County Community College,14057
Fielding Graduate University,1148
Northside Health Careers High School,745
Manchester Community College (Connecticut),6996
King Edward VII Academy,1462
University of Education,12125
Alpena High School (Michigan),1445
Suranaree University of Technology,14775
Chugiak High School,1146
College Inżynierii Afeka,2514
Оборонный научно-технический университет НОАК,16709
National University of Patagonia San Juan Bosco,13659
City University of New York,458094
Rochester Institute of Technology Croatia,503
Universidade de Perúgia,27741
Petersburg High School (Texas),106
IT University of Copenhagen,1942
白俄罗斯国立信息技术无线电电子大学,15157
Canon-McMillan School District,5213
Bozeman High School,1964
"Kickapoo High School (Viola, Wisconsin)",252
All Saints Central High School,147
Brick Township High School,1583
Université de Playa Ancha,10924
Brooke High School,1209
Zurich University of Applied Sciences,14516
Национальный юридический университет имени Ярослава Мудрого,23963
Edward S. Marcus High School,3100
"Aquinas Academy (Livingston, New Jersey)",158
Institut d'études politiques de Lyon,1366
Saint Louis Park High School,11
The Craig School,127
Millwoods Christian School,848
University of Mauritius,13867
One (sixth form college),1655
浙江师范大学,1928
Deer Park High School (Texas),4046
Father Michael McGivney Catholic Academy,1245
Canyon Crest Academy,2213
Universität Perugia,29352
"Oak Grove High School (Jefferson County, Alabama)",978
Bayside High School (Virginia),1755
South Lyon East High School,931
"The Martin High School, Anstey",605
San Roberto International School,2017
The Lodge School,949
Brandon School and Residential Treatment Center,108
Kühne Logistics University,210
Mount Hebron High School,1356
Walker Technology College,1002
"Temple Christian School (Lima, Ohio)",246
Korah Collegiate & Vocational School,1022
Universidad de la Prefectura de Osaka,8102
Universität Paris-Nanterre,31279
"King Edward VI High School for Girls, Birmingham",558
American University of Armenia,1478
Lehman Catholic High School,228
State Elementary School Cipinang Melayu 11 Petang,326
"Nimitz High School (Irving, Texas)",2331
Uniwersytet Świętych Cyryla i Metodego w Skopje,50809
Canandaigua Academy,1063
St. Thomas University (Florida),3661
جامعة ولاية أريزونا,49229
Ryūkoku-Universität,20106
South Plantation High School,2166
西安石油大学,19746
北京聖保羅美國學校,279
Hochschule für Musik Karlsruhe,548
"Heathfield School, Pinner",517
Hele's School,1493
Nootka Elementary School,452
"Downtown High School (Columbus, Ohio)",624
Kent State University,27366
Middletown High School (Rhode Island),670
Woolmer Hill School,1100
Randolph High School (Texas),364
Sargodha Institute of Technology,1094
United Tribes Technical College,805
Brown University,8996
Granada High School (California),2228
Stirling High School,919
Universidad de Bremen,18621
Penn State Wilkes-Barre,532
Université de Berne,18217
Штутгартская высшая техническая школа,4
Hochschule Wismar,10529
East Aurora High School (New York),681
Halfway High School,128
Abbotsholme School,315
Saint Louis University School of Public Health,1247
Drexel University,25167
McIntire School of Commerce,882
D'Evelyn Junior/Senior High School,1052
St John's School and College,161
Lancaster Girls' Grammar School,919
"South County High School (Fairfax County, Virginia)",2527
Колледж Святого Креста,2732
"Prince of Wales' College, Moratuwa",4795
George Bush High School,2331
Eastwood Collegiate Institute,1397
Cypress College,17018
Technische und Wirtschaftswissenschaftliche Universität Budapest,19541
Universidad del Aconcagua,3079
"St John's School, Leatherhead",571
High School Attached to Northeast Normal University,8387
Musselburgh Grammar School,1148
哥倫比亞大學醫學院,1544
國立臺中文華高級中學,746
معهد كاليفورنيا للتقنية,2266
"St Hilda's School, Westcliff-on-Sea",123
Chowan University,1586
Robert Wood Johnson Medical School,538
Largo High School (Maryland),1035
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,1977
Università di Stoccarda,23882
Greenfields School,120
"SMVM Polytechnic, Tanuku",1475
Aeronautical Institute of Bangladesh,284
Alcester Academy,602
The Khaitan School,3312
"St. Cyprian's School, Cape Town",905
Portland Bible College,207
Morrison Academy,72
"St John Fisher Catholic High School, Harrogate",2278
Penn State World Campus,5623
Immaculate Heart High School (Los Angeles),587
El Colegio de México,455
フランクフルト音楽・舞台芸術大学,940
Universidad Politécnica de Madrid,34203
Stone Bridge High School,1608
Chincoteague High School,348
The Colony High School,1915
Instituto Químico-Tecnológico de Praga,3422
"Saint Andrew's School (Saratoga, California)",390
William Carey University,4419
Northern Valley Regional High School at Demarest,1234
Hope High School (Arkansas),683
Marche Polytechnic University,17935
Academia de Bellas Artes Nanyang,2302
Northbrook High School,1725
"Lindbergh High School (Sappington, Missouri)",2331
Electronic Engineering Polytechnic Institute of Surabaya,1628
National University of Laos,28544
"Queen Elizabeth High School, Carmarthen",1686
Alleghany High School (Virginia),790
De La Salle–College of Saint Benilde,9072
The Hundred of Hoo Academy,1750
Mpelembe Secondary School,692
كلية دارتموث,6460
"University of California, Irvine School of Humanities",1964
Universidade Nacional de San Luis,12028
Lowell Catholic High School,353
伍德罗·威尔逊高中,2038
Université du Wisconsin à Manitowoc,622
Université de Messine,24134
Union High School (Utah),904
College of Saint Rose,4885
Daniel Alcides Carrión National University,7760
FutureSkills High School,161
St. Joseph School of San Jose City,841
المدرسة الألمانية الإنجيلية الثانوية بالقاهرة,1432
Wake Forest School of Medicine,332
Universidad Técnica de Varna,7498
Rosewood High School,542
Università Militare Nueva Granada,23
La Vergne High School,1688
Lincoln Minster School,818
Noosa District State High School,554
El Monte High School,1905
Whitinsville Christian School,626
Université européenne de Chypre,4778
Twin Rivers Unified School District,27858
Ferrahian Armenian School,630
Noakhali Zilla School,1379
Universiteit Luxemburg,6403
Northwest Pennsylvania Collegiate Academy,874
Institut International de Lancy,1534
Florida Gulf Coast University,15042
Istituto Europeo di Design,8413
Taft College,6240
Beechwood Park School,1
St. Patrick's Institute of Science & Technology,355
Stuttgart Technology University of Applied Sciences,4
Newport High School (Arkansas),450
Aldine High School,2724
Markville Secondary School,1183
University of Santo Tomas College of Architecture,2168
East Central College,3534
Oak Bank School,51
Mahwah High School,981
Universidade Federal de Pernambuco,46481
スワジランド大学,6086
Union Area School District,912
Королевский технологический институт,14380
Bacup and Rawtenstall Grammar School,1212
National Louis University,4393
Narodowy Uniwersytet Uzbekistanu,9692
Mars Hill University,1381
圣乔治学校 (温哥华),1175
ANU College of Physical and Mathematical Sciences,2213
Washington Township High School (New Jersey),2493
The Overlake School,508
Nuova Università di Lisbona,20616
Universität Bremen,18312
Sylvia Young Theatre School,241
Polytech Group (France),12814
Calcutta School of Music,1009
"Lakewood High School (Lakewood, Ohio)",1881
Ndejje University,4604
Université de science et de technologie de Gwangju,1784
Scissett Middle School,590
"St. Mary's Convent High School, Goa",735
Salesian College Celbridge,643
Académie de Roberval,638
マドリード・カルロス3世大学,19875
St. Paul High School (Oregon),96
Great Marlow School,1212
Lincoln Achievement Center,62
Französische Universität in Armenien,1962
Washington and Lee High School,466
Miss Edgar's and Miss Cramp's School,377
Vanguard High School,1707
Norfolk Academy,1302
Université de technologie centrale,15
Arts Academy in the Woods,332
Liaocheng University,28
Lyndale Secondary College,1388
Tattnall Square Academy,662
国立法官学校,565
Rutgers School of Public Affairs and Administration,1115
Randolph High School (Massachusetts),739
"St Joseph's Roman Catholic High School, Workington",621
Принстонский университет,7412
Nanaimo District Secondary School,1525
South Oldham High School,1162
Parkersburg High School,1864
British International School in Cairo,966
Université de Séoul,10523
Kings International College,754
Регенсбургский университет,20115
McMath Secondary School,1411
韓国放送通信大学校,167256
Wanda R. Smith High School,200
Brookwood School,449
Kurigram Government College,9891
École polytechnique de Milan,40876
Universidad de Bari,43661
Universidad Estatal de Arizona,53673
Saint Francis College,2791
Moscow High School,776
"Cleveland High School (Portland, Oregon)",1557
Universidad de Lyon I - Claude Bernard,34406
摩蘇爾大學,32427
Charles W. Baker High School,1355
Clarke Central High School,1577
Purdue-universiteit,36310
Madison East High School,1575
Universidad de África,1300
Cypress Ridge High School,2907
Charlestown High School,875
Lagan College,1052
Centaurus High School,961
Instituto de Empresa,2084
Rappahannock County High School,367
Aiyas Matriculation Higher Secondary School,186
Université de Calcul de Chine,12408
Школа права Квиннипэкского университета,396
Llantarnam School,1525
Northlands College,627
Fontbonne Academy,435
UNSW School of Computer Science and Engineering,130
Факультет свободных искусств и наук СПбГУ,554
KIMEP University,2963
Нишский университет,26369
Uniwersytet w Perugii,29861
Manila Central University,4797
Università degli Studi del Molise,7798
Universidad de Stavanger,9250
Stockport Academy,738
Jesse O. Sanderson High School,1968
Puyallup High School,1648
Allegheny-Clarion Valley School District,743
New College Berkeley,204
Purbeck School,927
フェリックス・メンデルスゾーン・バルトルディ音楽演劇大学ライプツィヒ,740
The Wellington Academy,1076
University of Sioux Falls,1449
Instituto de Tecnologia da Califórnia,2376
Austin Area School District,233
Università Araba di Beirut,15347
Université Cheikh-Anta-Diop,57675
Purdue University,36166
George Mason University,33262
"St Michael's Church of England High School, Crosby",660
Geneva Academy,38
Universität Damaskus,204041
DuBois Area School District,4518
Бременский университет,22489
Silver Grove School (Kentucky),105
Armand Hammer United World College of the American West,44
Tracy Unified School District,16907
Hochschule Ålesund,2472
Dominican Academy,240
Финансовый университет,85233
Belmont Community School,777
Dame Elizabeth Cadbury Technology College,664
Institut d'optique Graduate School,256
"Zahira College, Colombo",5622
International School of Zanzibar,196
Grossmont–Cuyamaca Community College District,30306
Andrews High School (North Carolina),281
De La Salle Health Sciences Institute,3259
Sonora Independent School District,921
"Immaculate Conception High School (Montclair, New Jersey)",175
Conemaugh Valley School District,854
"North High School (Akron, Ohio)",727
Washington University School of Law,687
Giles County High School,1028
"Jack M. Barrack Hebrew Academy (Bryn Mawr, Pennsylvania)",87
EMLYON Business School,3346
"St Augustine's Priory, Ealing",509
Università Iuav di Venezia,5077
Colegio San Agustin – Biñan,2929
South Essex College,10304
Natomas Unified School District,12764
Monroe High School (Oregon),157
Macquarie University Faculty of Arts,6711
North Battleford Comprehensive High School,817
Университет Палермо,54
Национальный политехнический университет Армении,9601
Université Pavol Jozef Šafárik,5682
Indian Institute of Technology Ropar,453
John A. Ferguson High School,4262
Sidney High School (New York),432
Lone Oak High School (Kentucky),901
Красноярский государственный университет,12782
Thunderbird High School,1691
Meridian High School (Washington),453
Hostos Community College,6155
