http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/ontology/runwayLength
Militärflugplatz Brétigny-sur-Orge,2200.0
Base aérienne 217 Brétigny-sur-Orge,2200.0
Brétigny-sur-Orge Air Base,2200.0
Militärflugplatz Brétigny-sur-Orge,2200.05
Base aérienne 217 Brétigny-sur-Orge,2200.05
Brétigny-sur-Orge Air Base,2200.05
Militärflugplatz Brétigny-sur-Orge,3000.0
Base aérienne 217 Brétigny-sur-Orge,3000.0
Brétigny-sur-Orge Air Base,3000.0
Militärflugplatz Brétigny-sur-Orge,3000.15
Base aérienne 217 Brétigny-sur-Orge,3000.15
Brétigny-sur-Orge Air Base,3000.15
Militärflugplatz Metz-Frescaty,2400.0
Base aérienne 128 Metz-Frescaty,2400.0
Metz-Frescaty Air Base,2400.0
Militärflugplatz Metz-Frescaty,2400.0
Base aérienne 128 Metz-Frescaty,2400.0
Metz-Frescaty Air Base,2400.0
Eagle Pass Army Airfield,1676.4
