http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
Belton Lake,5.01203e+07
Blackhand Gorge State Nature Preserve,3.87284e+06
Proctor Lake,1.83606e+07
Stillhouse Hollow Lake,2.60172e+07
West Athens (regional unit),6.67e+07
غرب أثينا,6.67e+07
Athen-West (Regionalbezirk),6.67e+07
Atenas Occidental,6.67e+07
Atene Occidentale,6.67e+07
Athènes-Ouest,6.67e+07
Jednostka regionalna Ateny-Sektor Zachodni,6.67e+07
Atenas Ocidental,6.67e+07
西雅典,6.67e+07
Chios (regional unit),9.04e+08
Chios (Regionalbezirk),9.04e+08
Unidad periférica de Quíos,9.04e+08
Chio (unità periferica),9.04e+08
Jednostka regionalna Chios,9.04e+08
Corfu (regional unit),6.41057e+08
Korfu (Regionalbezirk),6.41057e+08
Unidad periférica de Corfú,6.41057e+08
Corfou (district régional),6.41057e+08
Corfù (unità periferica),6.41057e+08
Jednostka regionalna Korfu,6.41057e+08
East Attica,1.513e+09
أتيكا الشرقية,1.513e+09
Ostattika,1.513e+09
Ática Oriental,1.513e+09
Attique de l'Est,1.513e+09
Attica Orientale,1.513e+09
Oost-Attica,1.513e+09
東アッティカ県,1.513e+09
Jednostka regionalna Attyka Wschodnia,1.513e+09
Восточная Аттика,1.513e+09
Ática Oriental,1.513e+09
東阿提卡州,1.513e+09
Euboea (regional unit),4.167e+09
Euböa (Regionalbezirk),4.167e+09
Unidad periférica de Eubea,4.167e+09
Eubea (unità periferica),4.167e+09
Eubée (district régional),4.167e+09
エヴィア県,4.167e+09
Jednostka regionalna Eubea,4.167e+09
Эвбея (ном),4.167e+09
Eubeia (unidade regional),4.167e+09
艾維亞州,4.167e+09
Lefkada (regional unit),3.59e+08
ليفكاذا (مقاطعة),3.59e+08
Lefkada (Regionalbezirk),3.59e+08
Unidad periférica de Léucade,3.59e+08
Leucade (unità periferica),3.59e+08
Leucade (district régional),3.59e+08
レフカダ県,3.59e+08
Jednostka regionalna Leukada,3.59e+08
West Attica,1.05882e+09
أتيكا الغربية,1.05882e+09
Westattika,1.05882e+09
Ática Occidental,1.05882e+09
Attique de l'Ouest,1.05882e+09
Attica Occidentale,1.05882e+09
West-Attica,1.05882e+09
西アッティカ県,1.05882e+09
Jednostka regionalna Attyka Zachodnia,1.05882e+09
Западная Аттика,1.05882e+09
Ática Ocidental,1.05882e+09
西阿提卡州,1.05882e+09
Thira (regional unit),3.148e+08
Thira (Regionalbezirk),3.148e+08
Santorini (unità periferica),3.148e+08
Thíra (district régional),3.148e+08
ティーラ県,3.148e+08
Jednostka regionalna Thira,3.148e+08
Tira (unidade regional),3.148e+08
Achaea,3.272e+09
آخايا,3.272e+09
Achaia,3.272e+09
Acaya,3.272e+09
Achaïe,3.272e+09
Acaia (unità periferica),3.272e+09
アハイア県,3.272e+09
Akhaia,3.272e+09
Jednostka regionalna Achaja,3.272e+09
Acaia,3.272e+09
Ахея,3.272e+09
阿哈伊亞州,3.272e+09
Arcadia,4.419e+09
أركاديا,4.419e+09
Arkadien,4.419e+09
Arcadia,4.419e+09
Arcadie,4.419e+09
Arcadia (unità periferica),4.419e+09
Arcadië (departement),4.419e+09
アルカディア県,4.419e+09
Arkadia (kraina historyczna),4.419e+09
Arcádia (Grécia),4.419e+09
Аркадия,4.419e+09
阿卡迪亞州,4.419e+09
Boeotia,3.211e+09
بيوتيا,3.211e+09
Böotien (Regionalbezirk),3.211e+09
Beocia,3.211e+09
Béotie,3.211e+09
Beozia (unità periferica),3.211e+09
Boeotië,3.211e+09
ボイオーティア,3.211e+09
Jednostka regionalna Beocja,3.211e+09
Beócia,3.211e+09
Беотия,3.211e+09
維奧蒂亞州,3.211e+09
Pella (regional unit),2.506e+09
بيلا (مقاطعة),2.506e+09
Pella (Regionalbezirk),2.506e+09
Pella (unità periferica),2.506e+09
Pella (district régional),2.506e+09
ペラ県,2.506e+09
Pella (departement),2.506e+09
Jednostka regionalna Pella,2.506e+09
Pela (unidade regional),2.506e+09
Пелла (ном),2.506e+09
派拉州,2.506e+09
Phocis,2.12e+09
فوكيس,2.12e+09
Unidad periférica de Fócida,2.12e+09
Phocide,2.12e+09
