http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/area
"Episcopal Church of the Nativity (Rosedale, Louisiana)",56656.0
"Episcopal Church of the Nativity (Union, South Carolina)",8093.71
Farmer's Delight,1.29499e+06
"Fuller House (Barnstable, Massachusetts)",4856.23
"Hamilton High School (Cartersville, Virginia)",20234.3
Kahl Building,4046.86
Kingsbridge Armory,20234.3
"Market Square (High Point, North Carolina)",16187.4
"Market Square (Miamisburg, Ohio)",42087.3
Montezuma Fuller House,404.686
New Sweden School,8093.71
Royal K. Fuller House,6070.28
Somerset County Courthouse (Pennsylvania),4046.86
"Sunken Gardens (Huntington, Indiana)",6070.28
"Trinity Lutheran Church (Elloree, South Carolina)",6879.66
"Trinity Lutheran Church and Cemetery (Stone Arabia, New York)",82151.2
William Penn High School (North Carolina),26304.6
Alexander Smith Carpet Mills Historic District,153781.0
Barnes Creek (Wisconsin),24281.1
Beardstown Grand Opera House,4046.86
"Belmont School (Philadelphia, Pennsylvania)",12140.6
Benjamin Adams House,7527.15
Billups House,36421.7
Book's Covered Bridge,404.686
"Brookside (Upper Nyack, New York)",8822.15
Brookside Museum,6070.28
Camp Intermission,445154.0
Charles Towne Landing,744622.0
Charlton Wallace House,4046.86
"Church of the Ascension (Atlantic City, New Jersey)",4046.86
Church of the Ascension and Saint Agnes,1214.06
"Church of the Transfiguration (Saluda, North Carolina)",6879.66
Crescent Plantation,33588.9
Delaware Academy of Medicine,4451.54
Devil's Gate-Weber Hydroelectric Power Plant,13354.6
Dr. Nathan M. Blalock House,4046.86
"Edgemont (Covesville, Virginia)",121406.0
"Edgemont (Langhorne, Pennsylvania)",404.686
El Paso and Southwestern Railroad YMCA,1214.06
Episcopal Church of the Ascension and Manse,1214.06
"Faith Chapel (Jekyll Island, Georgia)",9712.46
"First Presbyterian Church, Leavenworth",2832.8
"First Presbyterian Church (Ashland, Kentucky)",40063.9
"First Presbyterian Church (Birmingham, Alabama)",2832.8
"First Presbyterian Church (Brockport, New York)",2832.8
"First Presbyterian Church (Clarksville, Tennessee)",4046.86
"First Presbyterian Church (Coldwater, Michigan)",8903.08
"First Presbyterian Church (Columbia, South Carolina)",12140.6
"First Presbyterian Church (Columbus, Georgia)",4046.86
"First Presbyterian Church (Cottage Grove, Oregon)",4046.86
"First Presbyterian Church (Danville, Kentucky)",13759.3
"First Presbyterian Church (Delhi, New York)",8093.71
"First Presbyterian Church (El Dorado, Arkansas)",4046.86
"First Presbyterian Church (Fayetteville, North Carolina)",24281.1
"First Presbyterian Church (Flemingsburg, Kentucky)",2023.43
"First Presbyterian Church (Galveston, Texas)",4046.86
"First Presbyterian Church (Gouverneur, New York)",4046.86
"First Presbyterian Church (Hays, Kansas)",4046.86
"First Presbyterian Church (Hickory, North Carolina)",8093.71
"First Presbyterian Church (Highlands, North Carolina)",4046.86
"First Presbyterian Church (Lexington, Kentucky)",2023.43
"First Presbyterian Church (Niagara Falls, New York)",4046.86
"First Presbyterian Church (Paris, Texas)",10521.8
"First Presbyterian Church (Portland, Oregon)",809.371
"First Presbyterian Church (Portsmouth, Ohio)",4046.86
"First Presbyterian Church (Rock Hill, South Carolina)",7284.34
"First Presbyterian Church (Shelbyville, Tennessee)",4856.23
"First Presbyterian Church (Smithtown, New York)",8093.71
"First Presbyterian Church (Trenton, New Jersey)",2832.8
"First Presbyterian Church (Valatie, New York)",4046.86
"First Presbyterian Church Complex (Cortland, New York)",4046.86
First Presbyterian Church and Churchyard,4046.86
First Presbyterian Church and Lewis Pintard House,12140.6
First Presbyterian Church of Avon,4046.86
First Presbyterian Church of Dailey Ridge,6474.97
First Presbyterian Church of Elizabeth,14164.0
First Presbyterian Church of Far Rockaway,12140.6
First Presbyterian Church of Hector,20234.3
First Presbyterian Church of Lawton,809.371
First Presbyterian Church of Mumford,1618.74
