http://dbpedia.org/ontology/EthnicGroup,http://dbpedia.org/ontology/areaTotal
فقارة الزاوية,6.1313e+10
Foggaret Ezzaouia,6.1313e+10
Foggaret Ezzaouia,6.1313e+10
Foggaret Ezzaouia,6.1313e+10
Afikpo South,3.78e+08
Afikpo Sud,3.78e+08
Afikpo South,3.78e+08
Poleň,1.765e+07
Poleň,1.765e+07
Poleň,1.765e+07
Poleň,1.765e+07
Poleň,1.765e+07
Poleň,1.765e+07
Poleň,1.765e+07
Amindiven,9.26e+06
Aminidivi,9.26e+06
Islas Amindivi,9.26e+06
Îles Amindivi,9.26e+06
Аминдивские острова,9.26e+06
Nisga'a,2e+09
Nisga’a,2e+09
Nisga'a,2e+09
ニスガ族,2e+09
Nisga'a,2e+09
Khaira,1.737e+07
Microrregión de Assis,7.14174e+09
Microrégion d'Assis,7.14174e+09
Microregione di Assis,7.14174e+09
Assis (microregio),7.14174e+09
Mikroregion Assis,7.14174e+09
Microrregião de Assis,7.14174e+09
Асис (микрорегион),7.14174e+09
Microregion of Assis,7.14174e+09
Laccadive Islands,1.75e+07
Lakkadiven,1.75e+07
Îles Laquedives,1.75e+07
Лаккадивские острова,1.75e+07
