http://dbpedia.org/ontology/ProtectedArea,http://dbpedia.org/ontology/maximumElevation
Cruces de Dartmoor,621.0
Dartmoor crosses,621.0
Dartmoor kistvaens,621.0
Jigme-Dorji-Nationalpark,7000.0
Parque nacional Jigme Dorji,7000.0
Parco nazionale di Jigme Dorji,7000.0
Park Narodowy Dżigme Dordżi,7000.0
Национальный парк Джигме Дорджи,7000.0
Jigme Dorji National Park,7000.0
Machimoodus State Park,95.0976
Machimoodus State Park,95.0976
Regionaler Naturpark Armorique,384.0
Parque natural regional de Armórica,384.0
Parc naturel régional d'Armorique,384.0
Armorique,384.0
Parc naturel régional d'Armorique,384.0
Selva Priest,1238.4
Priest Wilderness,1238.4
Ramsey's Draft Wilderness,1305.15
Rich Hole Wilderness,1066.8
Rough Mountain Wilderness,853.44
Saint Mary's Wilderness,1109.47
Scusset Beach State Reservation,15.8496
Spice Run Wilderness,1000.96
Three Ridges Wilderness,1210.06
Stužica,1208.0
Stužica,1208.0
Stužica,1208.0
Oerbos Stužica,1208.0
Stužica,1208.0
Стужица,1208.0
Parco delle Madonie,1979.0
Parc naturel régional des Madonie,1979.0
Madonie Regional Natural Park,1979.0
Punta de Manabique,20.0
Punta de Manabique,20.0
J. A. Skinner State Park,273.101
Parc d'État J. A. Skinner,273.101
Lauhanvuori-Nationalpark,231.0
Lauhanvuori National Park,231.0
Parque nacional Lauhanvuori,231.0
Parco nazionale di Lauhanvuori,231.0
Parc national de Lauhanvuori,231.0
Nationaal park Lauhanvuori,231.0
Лауханвуори (национальный парк),231.0
勞漢沃里國家公園,231.0
Monroe State Forest,826.008
Mount Grace State Forest,491.947
Mount Rogers National Recreation Area,1746.2
Rocky Gap State Park,687.934
Sam A. Baker State Park,398.069
Spruce Knob-Seneca Rocks National Recreation Area,1482.24
Roaring Plains West Wilderness,1453.9
"Forest Park (Portland, Oregon)",335.28
Forest Park (Portland),335.28
Forest Park (parc),335.28
波特兰森林公园,335.28
Duck Mountain Provincial Park (Manitoba),832.0
Parc provincial de Duck Mountain (Manitoba),832.0
Dartmoor,621.0
Dartmoor,621.0
Dartmoor,621.0
Parc national de Dartmoor,621.0
Dartmoor,621.0
ダートムーア,621.0
Dartmoor (gebied),621.0
Park Narodowy Dartmoor,621.0
Dartmoor,621.0
Дартмур,621.0
达特穆尔,621.0
Black Rock Forest,445.922
Mount Washington State Forest,680.009
Sandy Point State Reservation,15.24
Ancient Bristlecone Pine Forest,3410.0
Ayubia National Park,2980.0
Parque nacional de Ayubia,2980.0
Blue Hills Reservation,193.548
Blue Hills Reservation,193.548
Bradbury Mountain State Park,142.951
Krkonoše National Park,1602.0
Parque nacional Krkonoše,1602.0
Parco nazionale dei Monti dei Giganti,1602.0
Nationaal park Krkonoše,1602.0
Karkonoski Park Narodowy (Czechy),1602.0
克爾科諾謝國家公園,1602.0
Washington Monument State Park,466.039
Washington Monument State Park,466.039
Washington Monument State Park,466.039
Park stanowy Washington Monument,466.039
Biosphärenreservat Šumava,1378.0
Šumava National Park,1378.0
Parque nacional Šumava,1378.0
Parc national de Šumava,1378.0
Parco nazionale della Selva boema,1378.0
Nationaal park Šumava,1378.0
Park Narodowy Szumawa,1378.0
舒馬瓦國家公園,1378.0
Pelso Strict Nature Reserve,115.0
Historic Union Pacific Rail Trail State Park,2103.12
Parc d'État de Historic Union Pacific Rail Trail,2103.12
Historic Union Pacific Rail Trail State Park,2103.12
Coed Nant Menascin,360.0
Peters Mountain Wilderness,1205.79
Snowdonia,1085.0
Snowdonia,1085.0
Snowdonia,1085.0
Snowdonia,1085.0
Сноудония,1085.0
史諾多尼亞,1085.0
Adirondack Park,1628.85
Adirondack Park,1628.85
Parc Adirondack,1628.85
Adirondack Park,1628.85
阿迪朗达克公园,1628.85
Big Bend National Park,2387.19
Big-Bend-Nationalpark,2387.19
Parque nacional Big Bend,2387.19
Parc national de Big Bend,2387.19
Parco nazionale di Big Bend,2387.19
ビッグ・ベンド国立公園,2387.19
Big Bend National Park,2387.19
Park Narodowy Big Bend,2387.19
Parque Nacional de Big Bend,2387.19
Биг-Бенд (национальный парк),2387.19
大彎曲國家公園,2387.19
Catskill Park,1274.06
Eno River State Park,223.114
Parc d'État d'Eno River,223.114
Hanging Rock State Park,786.079
Parc d'État de Hanging Rock,786.079
Mendip Hills,325.0
Mendip Hills,325.0
Collines de Mendip,325.0
Mendip Hills,325.0
Mendip Hills,325.0
Mendip,325.0
Morrow Mountain State Park,285.293
Mount Mitchell State Park,2041.86
Parc d'État de Mount Mitchell,2041.86
Occoneechee Mountain State Natural Area,264.262
Oregon Caves National Monument and Preserve,1670.3
Oregon Caves National Monument,1670.3
