http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/areaLand
Georgia (U.S. state),1.49976e+11
جورجيا (ولاية أمريكية),1.49976e+11
Georgia,1.49976e+11
Georgia (Estados Unidos),1.49976e+11
Géorgie (États-Unis),1.49976e+11
Georgia (Stati Uniti d'America),1.49976e+11
ジョージア州,1.49976e+11
Georgia (staat),1.49976e+11
Georgia,1.49976e+11
Geórgia (Estados Unidos),1.49976e+11
Джорджия,1.49976e+11
喬治亞州,1.49976e+11
Tennessee,1.06846e+11
تينيسي,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
テネシー州,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
Теннесси,1.06846e+11
田纳西州,1.06846e+11
Vermont,2.4923e+10
فيرمونت,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
バーモント州,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
Вермонт,2.4923e+10
佛蒙特州,2.4923e+10
West Virginia,6.2361e+10
فيرجينيا الغربية,6.2361e+10
West Virginia,6.2361e+10
Virginia Occidental,6.2361e+10
Virginie-Occidentale,6.2361e+10
Virginia Occidentale,6.2361e+10
ウェストバージニア州,6.2361e+10
West Virginia,6.2361e+10
Wirginia Zachodnia,6.2361e+10
Virgínia Ocidental,6.2361e+10
Западная Виргиния,6.2361e+10
西維吉尼亞州,6.2361e+10
Alto (California),326000.0
"Alto, California",326000.0
Alto (California),326339.0
"Alto, California",326339.0
"Municipio de Blackbird (condado de Thurston, Nebraska)",6.78836e+07
"Blackbird Township, Thurston County, Nebraska",6.78836e+07
"Municipio de Blackbird (condado de Thurston, Nebraska)",6.789e+07
"Blackbird Township, Thurston County, Nebraska",6.789e+07
Clam Lake (Wisconsin),958296.0
"Clam Lake, Wisconsin",958296.0
"Municipio de Delight (condado de Custer, Nebraska)",1.9968e+08
"Delight Township, Custer County, Nebraska",1.9968e+08
"Municipio de Delight (condado de Custer, Nebraska)",1.99688e+08
"Delight Township, Custer County, Nebraska",1.99688e+08
"Duck Lake, Saskatchewan",2.86e+06
Duck Lake (Saskatchewan),2.86e+06
Galloway (Virginia Occidental),1.62392e+06
