http://dbpedia.org/ontology/SpaceStation,http://dbpedia.org/ontology/height
Skylab,11.0642
سكاي لاب,11.0642
Skylab,11.0642
Skylab,11.0642
Skylab,11.0642
Skylab,11.0642
スカイラブ計画,11.0642
Skylab,11.0642
Skylab,11.0642
Skylab,11.0642
Скайлэб,11.0642
天空实验室计划,11.0642
International Space Station,20.0
محطة الفضاء الدولية,20.0
Internationale Raumstation,20.0
Estación Espacial Internacional,20.0
Station spatiale internationale,20.0
Stazione Spaziale Internazionale,20.0
国際宇宙ステーション,20.0
Internationaal ruimtestation ISS,20.0
Międzynarodowa Stacja Kosmiczna,20.0
Estação Espacial Internacional,20.0
Международная космическая станция,20.0
国际空间站,20.0
Skylab B,17.6784
Skylab B,17.6784
Skylab B,17.6784
Skylab B,17.6784
Skylab B,17.6784
Mir,27.5
مير,27.5
Mir (Raumstation),27.5
Mir (estación espacial),27.5
Mir (station spatiale),27.5
Mir (stazione spaziale),27.5
ミール,27.5
Mir (ruimtestation),27.5
Mir (stacja orbitalna),27.5
Mir,27.5
Мир (орбитальный комплекс),27.5
和平号空间站,27.5
Bigelow Commercial Space Station,30.0
Estação Espacial Comercial Bigelow,30.0
Коммерческая космическая станция Бигелоу,30.0
Bigelow Commercial Space Station,30.0
