http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/topSpeed
RFA Sir Tristram (L3505),29.632
RFA Sir Tristram (L3505),29.632
RFA Sir Tristram (L3505),29.632
RFA Sir Tristram (L3505),29.632
USAV General Brehon B. Somervell (LSV-3),23.15
Godetia (A960),35.188
Belgian ship Godetia (A960),35.188
A960 Godetia (1966),35.188
HMS Alexandra (1875),27.9467
HMS Alexandra (1875),27.9467
HMS Alexandra (1875),27.9467
Soviet communications ship SSV-33,40.0032
SSV-33 Ural,40.0032
ウラル (情報収集艦),40.0032
SSW-33 Ural,40.0032
ССВ-33 «Урал»,40.0032
SSV-33指揮艦,40.0032
Somme (pétrolier),35.188
French ship Somme (A631),35.188
French ironclad Redoutable,26.854
Le Redoutable (cuirassé),26.854
ルドゥタブル (装甲艦),26.854
Redoutable (1876),26.854
Klasse 520,20.372
Barbe-class utility landing craft,20.372
RFA Sir Galahad (1987),25.928
RFA Sir Galahad (1987),25.928
NDCC Garcia D'Avila (G-29),25.928
Lave (batteria galleggiante),7.408
French ironclad Lave,7.408
"Lave (schip, 1855)",7.408
ハンツビル (装甲艦),7.408
CSS Huntsville,7.408
ARA Almirante Brown (1880),25.928
アルミランテ・ブラウン (装甲艦),25.928
ARA Almirante Brown (1880),25.928
ARA Almirante Brown (1880),25.928
