http://dbpedia.org/ontology/SportFacility,http://dbpedia.org/ontology/maximumElevation
Middlebury College Snow Bowl,829.056
Ski Butternut,537.667
Soldier Mountain,2187.55
Hochkönig Ski Area,2000.0
Planai,1894.0
Planai,1894.0
Planai,1894.0
Reiteralm (Steiermark),1860.0
Reiteralm,1860.0
Reiteralm,1860.0
Reiteralm,1860.0
Reiteralm (Styria),1860.0
Zauberberg (ski area),1344.0
Aransa,2150.0
Aransa,2150.0
Bald Mountain Ski Area,1341.12
Birds of Prey (Skipiste),3482.95
Birds of Prey (pista sciistica),3482.95
Birds of Prey (piste de ski),3482.95
Birds of Prey (ski course),3482.95
Boí Taüll Resort,2751.0
Boí Taüll,2751.0
Boí Taüll Resort,2751.0
Buck Hill,369.113
Garmisch Classic,2050.0
Grouse Mountain,1231.0
Montaña Grouse,1231.0
Mont Grouse,1231.0
Grouse Mountain,1231.0
La Molina,2445.0
La Molina (estación de esquí),2445.0
La Molina,2445.0
La Molina,2445.0
La Molina,2445.0
La Molina (estação de esqui),2445.0
La Molina (ski resort),2445.0
Estación de esquí de La Pinilla,2273.0
La Pinilla,2273.0
La Pinilla,2273.0
Les Sybelles,2620.0
Les Sybelles,2620.0
Les Sybelles,2620.0
苗場スキー場,1789.0
Naeba Ski Resort,1789.0
Estación de esquí de Port del Comte,2400.0
Port del Comte (station de ski),2400.0
Port del Comte (ski resort),2400.0
Pra-Loup,2500.0
Pra-Loup,2500.0
Pra Loup,2500.0
Pra Loup,2500.0
Pra Loup,2500.0
Pra Loup,2500.0
Sunday River (ski resort),957.072
Tavascan,2250.0
Tavascan Pleta del Prat,2250.0
Vall de Núria,2252.0
Vall de Núria,2252.0
Vall de Núria (ski resort),2252.0
Vallter 2000,2535.0
Vallter 2000,2535.0
Vallter 2000,2535.0
Crabbe Mountain,404.0
Le Relais,429.0
Le Relais (Québec),429.0
Le Relais,429.0
Le Relais,429.0
Massif-du-Sud,915.0
Massif du Sud,915.0
Mont Orignal,612.0
Mystic Miner Ski Resort,2027.83
Chimbulak,3200.0
Shymbulak,3200.0
Чимбулак,3200.0
Ski Cape Smokey,320.0
Super Lioran,1820.0
Le Lioran (station),1820.0
Le Lioran,1820.0
Le Lioran,1820.0
Mont Olympia,621.792
Mount Hermon ski resort,2040.0
Astún,2300.0
Astún,2300.0
Astún,2300.0
Astún,2300.0
Astún,2300.0
Camp Fortune,198.12
Camp Fortune,198.12
Candanchú,2400.0
Candanchú,2400.0
Candanchú,2400.0
Candanchú,2400.0
Aramón Cerler,2650.0
Aramón Cerler,2650.0
Cerler,2650.0
Aramón Cerler,2650.0
Aramón Formigal,2250.0
Formigal,2250.0
Aramón Formigal,2250.0
Kicking Horse Resort,2450.0
Kicking Horse Mountain Resort,2450.0
Mt Norquay,2133.0
Aramón Panticosa,2200.0
Panticosa-Los Lagos,2200.0
Aramón Panticosa,2200.0
Alto Campoo,2250.0
Alto Campoo,2250.0
Arizona Snowbowl,3505.2
Crystal Mountain (Washington),2134.21
Crystal Mountain,2134.21
Crystal Mountain,2134.21
Crystal Mountain,2134.21
Crystal Mountain (Washington),2137.26
Crystal Mountain,2137.26
Crystal Mountain,2137.26
Crystal Mountain,2137.26
Diamond Peak (ski area),2602.99
Grand Targhee Resort,3005.94
Jackson Hole Mountain Resort,3185.16
Jackson Hole,3185.16
Lake Louise Ski Resort,2637.0
Las Leñas,3430.0
Las Leñas,3430.0
Las Leñas,3430.0
Las Leñas,3430.0
Las Leñas,3430.0
Las Leñas,3430.0
Little Switzerland (Wisconsin),386.791
Loup Loup Ski Bowl,1609.34
Mount Hood Meadows,2225.04
Nakiska,2258.0
Nakiska,2258.0
Nakiska,2258.0
Nakiska,2258.0
Nakiska,2258.0
Накиска,2258.0
Spout Springs Ski Area,1661.16
Tamarack Resort,2334.77
Valdesquí,2280.0
Valdesquí,2280.0
Valdesquí,2280.0
Valdezcaray,2125.0
Valdezcaray,2125.0
Valdezcaray,2125.0
Windham Mountain,944.88
Yabuli,1345.0
Yabuli Ski Resort,1345.0
Yabuli,1345.0
Ябули,1345.0
亚布力滑雪旅游度假区,1345.0
Espot Esquí,2500.0
Espot Esquí,2500.0
Espot Esquí,2500.0
Port Ainé,2440.0
Port Ainé,2440.0
Port Ainé,2440.0
Tuixent - La Vansa,2150.0
Tuixent – la Vansa,2150.0
Blizzard Mountain Ski Area,1921.76
Owl's Head,756.0
Mont Owl's Head,756.0
تزلج جبل أبرام,606.552
Mount Abram,606.552
Apex Mountain Resort,2180.0
Apex,2180.0
Beaver Creek Resort,3486.91
Beaver Creek Resort,3486.91
Beaver Creek (Colorado),3486.91
Beaver Creek,3486.91
Бивер-Крик (Колорадо),3486.91
Blue Mountain (ski resort),452.0
Blue Mountain Ski Area,469.392
Breuil-Cervinia,3480.0
Breuil-Cervinia,3480.0
Breuil-Cervinia,3480.0
Breuil-Cervinia,3480.0
Breuil-Cervinia,3480.0
Breuil-Cervinia,3480.0
Breuil-Cervinia,3480.0
Брёй-Червиния,3480.0
Breuil-Cervinia,3480.0
Breuil-Cervinia,3899.0
Breuil-Cervinia,3899.0
Breuil-Cervinia,3899.0
Breuil-Cervinia,3899.0
Breuil-Cervinia,3899.0
Breuil-Cervinia,3899.0
Breuil-Cervinia,3899.0
Брёй-Червиния,3899.0
