http://dbpedia.org/ontology/Band,http://dbpedia.org/ontology/numberOfSeasons
The Kids in the Hall,5
The Kids in the Hall,5
The Kids in the Hall,5
The Kids in the Hall,5
Таблетка радости,5
The Journey (trilogy series),3
Lah-Lah,1
We Are Klang,1
The Wiggles characters,3
Star Trek: Hidden Frontier,7
Star Trek: Hidden Frontier,7
Star Trek: Hidden Frontier,7
The League of Gentlemen,3
The League of Gentlemen (Fernsehserie),3
Le Club des Gentlemen,3
The League of Gentlemen,3
リーグ・オブ・ジェントルマン 奇人同盟!,3
The League of Gentlemen (televisieserie),3
Liga Dżentelmenów,3
Лига джентльменов (скетч-шоу),3
绅士联盟,3
The Dudesons,5
The Dudesons,5
The Dudesons,5
The Dudesons,5
The Dudesons,5
The Dudesons,5
The Dudesons,5
The Dudesons,5
The Dudesons,6
The Dudesons,6
The Dudesons,6
The Dudesons,6
The Dudesons,6
The Dudesons,6
The Dudesons,6
The Dudesons,6
The Magician's House,2
Picture This (Channel 4),1
Hale and Pace,10
Motor City Motors,1
Big Chuck and Lil' John,28
Ultraforce,1
Ultraforce,1
Ultraforce,1
