http://dbpedia.org/ontology/Cricketer,http://dbpedia.org/ontology/capacity
النادي الأهلي (دبي),9415
Al-Ahli Dubai,9415
Al-Ahli Football Club,9415
Al-Ahli Dubai F.C.,9415
Al-Ahli Dubaï,9415
Al-Ahli Club,9415
アル・アハリ・ドバイ,9415
Al-Ahli FC,9415
Al-Ahli Dubaj,9415
Al Ahli Club,9415
"Аль-Ахли (футбольный клуб, Дубай)",9415
阿爾阿里足球會,9415
نادي الشارقة,11073
Al-Schardscha,11073
Sharjah FC,11073
Al-Sharjah SCC,11073
Sharjah SC,11073
Sharjah Cultural Sports Club,11073
アル・シャールジャSCC,11073
Sharjah SC,11073
Nadi asz-Szarika,11073
Sharjah FC,11073
Шарджа (футбольный клуб),11073
沙迦體育俱樂部,11073
نادي العروبة (الإمارات),5000
Al Urooba,5000
نادي الوصل,8411
Al-Wasl,8411
Al Wasl Football Club,8411
Al Wasl Dubaï,8411
Al-Wasl Sports Club,8411
アル・ワスルFC,8411
Al-Wasl Club,8411
Al-Wasl Dubaj,8411
Al-Wasl FC,8411
Аль-Васл (футбольный клуб),8411
Al-Wasl F.C.,8411
نادي الذيد,500
Al Thaid,500
نادي الخليج الرياضي الثقافي,2880
Al-Khaleej Sports & Cultural Club,2880
Al Khaleej Club,2880
