http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/runwayLength
RAF Lissett,0.0
RAF Acklington,1100.0
RAF Acklington,1104.6
RAF Acklington,1388.06
RAF Acklington,1390.0
RAF Acklington,1737.36
RAF Acklington,1740.0
RAF Bardney,0.0
RAF Bourn,0.0
RAF Bramcote,0.0
RAF Bramcote,0.0
RAF Coleby Grange,880.0
RAF Coleby Grange,883.31
RAF Coleby Grange,1280.0
RAF Coleby Grange,1280.16
RAF Coleby Grange,1800.0
RAF Coleby Grange,1828.8
RAF Fairlop,487.68
RAF Fairlop,1005.84
RAF Fairlop,1006.0
RAF Fairlop,1465.0
RAF Full Sutton,0.0
RAF Great Sampford,0.0
RAF Greatham,0.0
RAF Honiley,0.0
RAF Honiley,1791.92
RAF Honiley,1792.0
RAF Oakington,0.0
RAF Thornaby,1255.47
RAF Thornaby,1277.0
RAF Thornaby,1281.99
RAF Thornaby,1282.0
RAF Thornaby,1807.0
RAF Thornaby,1807.77
RAF Doncaster,825.0
RAF Firbeck,0.0
RAF Hampstead Norris,0.0
RAF Pocklington,999.744
RAF Pocklington,1000.0
RAF Stoke Orchard,0.0
RAF Sturgate,0.0
RAF Twinwood Farm,0.0
RAF Edzell,1422.81
RAF Edzell,1423.0
RAF Edzell,1531.62
RAF Edzell,1532.0
"Trondheim Airport, Lade",1140.0
RMAF Base Butterworth,2438.0
RMAF Butterworth,2438.0
RMAF Butterworth,2438.0
Base Aérea de Butterworth,2438.0
RCAF Station Grostenquin,2830.0
Militärflugplatz Grostenquin,2830.0
Base aérienne Grostenquin,2830.0
RAF Cleave,656.0
RAF Cleave,685.8
RAF Cleave,822.96
RAF Cleave,823.0
RAF Downham Market,0.0
RAF Honeybourne,1100.0
RAF Honeybourne,1200.0
RAF Honeybourne,1200.91
RAF Honeybourne,1280.0
RAF Honeybourne,1280.16
RAF Melbourne,0.0
RAF Moreton-in-Marsh,0.0
RAF Stradishall,0.0
RAF Thorney Island,0.0
RAF Thorney Island,0.0
RAF Wymeswold,0.0
RAF Ansty,1063.0
RAF Ansty,1063.14
RAF Ansty,1128.0
RAF Ansty,1128.67
RAF Breighton,0.0
RAF Cammeringham,1097.28
RAF Cammeringham,1463.04
RAF Melton Mowbray,0.0
RAF Snitterfield,1130.81
RAF Snitterfield,1131.0
RAF Snitterfield,1177.0
RAF Snitterfield,1177.14
RAF Snitterfield,1750.0
RAF Snitterfield,1750.77
RAF Sutton Bridge,731.52
RAF Sutton Bridge,1051.56
RAF Sutton Bridge,1280.16
RAF Tuddenham,0.0
RAF Beaulieu,0.0
RAF Lindley,0.0
RAF Windrush,0.0
RAF Tempsford,0.0
RAF East Kirkby,0.0
RAF East Kirkby,0.0
RAF Fiskerton,0.0
RAF Folkingham,0.0
RAF Folkingham,1280.16
RAF Folkingham,1828.8
RAF Gaydon,0.0
RAF Kirmington,0.0
RAF Leicester East,334.975
RAF Leicester East,335.0
RAF Leicester East,417.881
RAF Leicester East,418.0
RAF Leicester East,490.0
RAF Leicester East,490.118
RAF Leicester East,494.995
RAF Leicester East,495.0
RAF Leicester East,940.0
RAF Leicester East,940.003
RAF Middleton St George,1005.84
RAF Middleton St George,1006.0
RAF Middleton St George,1280.0
RAF Middleton St George,1280.16
RAF Middleton St George,2290.88
RAF Middleton St George,2291.0
RAF Polebrook,0.0
RAF Snailwell,0.0
RAF Ternhill,820.826
RAF Ternhill,820.826
