http://dbpedia.org/ontology/Lighthouse,http://dbpedia.org/ontology/height
Adra Lighthouse,26.0
North Head Light,19.812
North Head Light,19.812
Point Danger Light,20.4216
Point Danger Light,20.4216
Point of Ayr,18.0
Point of Ayr,18.0
Faro de Stella Maris,20.0
Latarnia morska Har Carmel,20.0
Stella Maris Light,20.0
Turtle Rock Light,9.144
Wyre Light,4.9
Wyre Light (Fleetwood),4.9
Sumburgh Head Lighthouse,17.0
Sumburgh Head Lighthouse,17.0
Rock Island Light,9.144
Sodus Point Light,13.716
Old Plantation Flats Light,10.668
Port Burwell Marine Museum and Historic Lighthouse,13.7
Craighill Channel Lower Range Rear Light,32.004
Craighill Channel Upper Range Front Light,4.572
Craighill Channel Upper Range Rear Light,19.5072
Kadıköy İnciburnu Feneri,11.0
Cape Race Lighthouse,29.0
Phare du Cap-Race,29.0
Cape Race Lighthouse,29.0
Cape Spencer Light (Alaska),7.62
Phare du cap Spencer (États-Unis),7.62
Cape Spencer Light (New Brunswick),12.0
Phare du Cap Tourville,3.3528
Cape Tourville Lighthouse,3.3528
Craney Island Light,10.9728
Morant Cays Lighthouse,21.0
Morant Point Lighthouse,29.0
Punta Delgada (Chile),12.0
Punta Delgada (Chili),12.0
"Punta Delgada, Chile",12.0
Raspberry Island Light,13.1064
Yeşilköy Feneri,16.0
Les Onglous lighthouse,11.0
Faro de Negril,27.0
Negril Lighthouse,27.0
Faro de los Cayos de Pedro,11.0
Pedro Cays Lighthouse,11.0
Plumb Point Lighthouse,21.0
Faro de Tsurugisaki,16.9
剱埼灯台,16.9
Tsurugisaki Lighthouse,16.9
Back River Light,9.144
Belyea's Point Light,11.3
Cape Palliser Lighthouse,18.0
Cape Palliser Lighthouse,18.0
Castle Point Lighthouse,23.0
Castle Point Lighthouse,23.0
Faro de Donaghadee,16.0
Donaghadee lighthouse,16.0
Point Adams Light,14.9352
Portland Bill Lighthouse,41.0
Faro di Portland Bill,41.0
Portland Bill Lighthouse,41.0
Latarnia morska Portland Bill,41.0
Маяк Портланд-Билл,41.0
Straitsmouth Island Light,11.2776
Tibbetts Point Light,17.6784
Lesnoy Mole Rear Range Light,72.8472
Лесной Мол Створный Задний,72.8472
Lesnoy Mole Rear Range Light,72.8472
Faro Osinovetsky,70.104
Phare Ossinovetski,70.104
Осиновецкий маяк,70.104
Osinovetsky Light,70.104
Faro Storozhenskiy,71.0
Phare Storojenski,71.0
Стороженский маяк,71.0
Storozhenskiy Light,71.0
Latarnia morska Akka,10.0584
Akko Light,10.0584
Latarnia morska Aszdod,42.0
Ashdod Light,42.0
Ashkelon Coal Jetty Breakwater Light,18.0
Ashkelon Marina Breakwater Light,18.0
Phare de Bari,62.484
Bari Light,62.484
Phare Barrenjoey Head,20.1168
Barrenjoey Head Lighthouse,20.1168
Faro di Berry Head,5.0
Latarnia morska Berry Head,5.0
Berry Head Lighthouse,5.0
Burrewarra Point Light,10.0584
Phare du cap Bailey,9.1
Cape Baily Light,9.1
Cape Bonavista Light,11.0
Faro de Chipiona,62.484
Phare de Chipiona,62.484
Чипионский маяк,62.484
Chipiona Lighthouse,62.484
Crookhaven Heads Light,7.0104
Faro Crowdy Head,7.3152
Crowdy Head Light,7.3152
Eastern Channel Pile Light,10.9728
Faro El Rincón,61.8744
El Rincón (phare),61.8744
El Rincón Lighthouse,61.8744
Fingal Head Light,7.0104
Fort Denison Light,6.096
Gould Island Light,9.144
Faro de Punta de Hartland,18.0
Faro di Hartland Point,18.0
Latarnia morska Hartland Point,18.0
Маяк Хартланд-Пойнт,18.0
Hartland Point Lighthouse,18.0
Herzliya Light,11.0
Phare Kiama,15.5448
Kiama Light,15.5448
Lighthouse in Krynica Morska,27.0
Faro de Aveiro,61.8744
Phare d'Aveiro,61.8744
Latarnia w Barra,61.8744
Farol de Aveiro,61.8744
Lighthouse of Praia da Barra,61.8744
Musselbed Shoals Light,10.668
Måseskär,13.0
Faro de la Isla de Navaza,49.3776
Navassa Island Light,49.3776
Phare Nobbys Head,9.7536
Nobbys Head Light,9.7536
North Solitary Island Light,3.9624
Faro de la isla Alañaña,60.0456
Phare de l'Île aux Prunes,60.0456
Vuurtoren van Nosy Alañaña,60.0456
Nosy Alañaña Light,60.0456
Parriwi Head Light,15.24
Phare du Planier,66.37
Planier Light,66.37
Point Stephens Light,21.336
Leuchtturm Reading,17.0
Reading Light,17.0
Faro Recalada a Bahía Blanca,67.056
Faro Recalada a Bahía Blanca,67.056
Phare Recalada a Bahía Blanca,67.056
Recalada a Bahía Blanca Light,67.056
Richmond River Light,7.62
Rödkallen,21.5
Rödkallen,21.5
Rödkallen,21.5
Phare de Shark Island,12.4968
Shark Island Light,12.4968
South Solitary Island Light,20.1168
スタニスラフ導灯前灯,25.908
Stanislav Range Front Light,25.908
Sugarloaf Point Light,14.9352
Vaucluse Bay Range Front Light,7.9248
Vaucluse Bay Range Rear Light,7.9248
Phare Voslapp,61.2648
Voslapp Range Rear Light,61.2648
Warden Head Light,12.192
Watchet Harbour Lighthouse,6.5
Western Channel Pile Light,10.9728
Wollongong Head Lighthouse,25.3
Şile Feneri,19.0
Big Sable Point Light,34.1376
Montauk Point Light,33.6804
Phare de Montauk,33.6804
The Graves Light,34.4424
The Graves Light,34.4424
Wilsons Promontory Lighthouse,19.0
Wilsons Promontory Lighthouse,19.0
Cape Meares Light,11.5824
Cape Meares Lighthouse,11.5824
Sandy Hook Light,31.3944
サンディフック灯台,31.3944
Leuchtturm Helgoland,35.0
Heligoland lighthouse,35.0
باجا كاي نقطة منارة,22.0
Bagacay Point Lighthouse,22.0
بوينت لينس ليقتهوس (للنيلين),11.0
Point Lynas Lighthouse,11.0
Latarnia morska Point Lynas,11.0
تروين دود ليقتهوس (للنغد),29.0
Faro de Trwyn Du,29.0
Latarnia morska Trwyn Du,29.0
Trwyn Du Lighthouse,29.0
Hallands Väderö,13.0
Hallands Väderö,13.0
Hallands Väderö,13.0
Faro de Alappuzha,28.0
Alappuzha lighthouse,28.0
Beaver Island Harbor Light,12.4968
Fourteen Foot Shoal Light,10.9728
Gorleston (Range Rear) Lighthouse,21.0
Hog Island Light,21.9456
Faro de Hel,40.0
Latarnia Morska Hel,40.0
Lighthouse in Hel,40.0
Long Point Lighthouse,15.0
