http://dbpedia.org/ontology/BaseballPlayer,http://dbpedia.org/ontology/squadNumber
2005 FIFA Club World Championship squads,8
Convocazioni per il Campionato mondiale per club FIFA 2005,8
2005 FIFA Club World Championship squads,16
Convocazioni per il Campionato mondiale per club FIFA 2005,16
2005 FIFA Club World Championship squads,4
Convocazioni per il Campionato mondiale per club FIFA 2005,4
2005 FIFA Club World Championship squads,20
Convocazioni per il Campionato mondiale per club FIFA 2005,20
2005 FIFA Club World Championship squads,12
Convocazioni per il Campionato mondiale per club FIFA 2005,12
2005 FIFA Club World Championship squads,2
Convocazioni per il Campionato mondiale per club FIFA 2005,2
2005 FIFA Club World Championship squads,18
Convocazioni per il Campionato mondiale per club FIFA 2005,18
2005 FIFA Club World Championship squads,10
Convocazioni per il Campionato mondiale per club FIFA 2005,10
2005 FIFA Club World Championship squads,22
Convocazioni per il Campionato mondiale per club FIFA 2005,22
2005 FIFA Club World Championship squads,6
Convocazioni per il Campionato mondiale per club FIFA 2005,6
2005 FIFA Club World Championship squads,14
Convocazioni per il Campionato mondiale per club FIFA 2005,14
2005 FIFA Club World Championship squads,1
Convocazioni per il Campionato mondiale per club FIFA 2005,1
2005 FIFA Club World Championship squads,17
Convocazioni per il Campionato mondiale per club FIFA 2005,17
2005 FIFA Club World Championship squads,9
Convocazioni per il Campionato mondiale per club FIFA 2005,9
2005 FIFA Club World Championship squads,21
Convocazioni per il Campionato mondiale per club FIFA 2005,21
2005 FIFA Club World Championship squads,5
Convocazioni per il Campionato mondiale per club FIFA 2005,5
2005 FIFA Club World Championship squads,13
Convocazioni per il Campionato mondiale per club FIFA 2005,13
2005 FIFA Club World Championship squads,23
Convocazioni per il Campionato mondiale per club FIFA 2005,23
2005 FIFA Club World Championship squads,7
Convocazioni per il Campionato mondiale per club FIFA 2005,7
2005 FIFA Club World Championship squads,15
Convocazioni per il Campionato mondiale per club FIFA 2005,15
2005 FIFA Club World Championship squads,3
Convocazioni per il Campionato mondiale per club FIFA 2005,3
2005 FIFA Club World Championship squads,19
Convocazioni per il Campionato mondiale per club FIFA 2005,19
2005 FIFA Club World Championship squads,11
Convocazioni per il Campionato mondiale per club FIFA 2005,11
