http://dbpedia.org/ontology/Band,http://dbpedia.org/ontology/populationDensity
Timișoara metropolitan area,344.0
Mu Ko Kam,0.0
Mu Ko Phayam,0.0
Pitcairn Islands,1.19
جزر بيتكيرن,1.19
Pitcairninseln,1.19
Islas Pitcairn,1.19
Îles Pitcairn,1.19
Isole Pitcairn,1.19
ピトケアン諸島,1.19
Pitcairneilanden,1.19
Pitcairn,1.19
Ilhas Pitcairn,1.19
Острова Питкэрн,1.19
皮特凯恩群岛,1.19
Pitcairn Islands,1.19306
جزر بيتكيرن,1.19306
Pitcairninseln,1.19306
Islas Pitcairn,1.19306
Îles Pitcairn,1.19306
Isole Pitcairn,1.19306
ピトケアン諸島,1.19306
Pitcairneilanden,1.19306
Pitcairn,1.19306
Ilhas Pitcairn,1.19306
Острова Питкэрн,1.19306
皮特凯恩群岛,1.19306
Economic Community of West African States,49.2
المجموعة الاقتصادية لدول غرب إفريقيا,49.2
Westafrikanische Wirtschaftsgemeinschaft,49.2
Comunidad Económica de Estados de África Occidental,49.2
Communauté économique des États de l'Afrique de l'Ouest,49.2
Comunità economica degli Stati dell'Africa occidentale,49.2
西アフリカ諸国経済共同体,49.2
Economische Gemeenschap van West-Afrikaanse Staten,49.2
Wspólnota Gospodarcza Państw Afryki Zachodniej,49.2
Comunidade Económica dos Estados da África Ocidental,49.2
Экономическое сообщество стран Западной Африки,49.2
西非国家经济共同体,49.2
Economic Community of West African States,49.228
المجموعة الاقتصادية لدول غرب إفريقيا,49.228
Westafrikanische Wirtschaftsgemeinschaft,49.228
Comunidad Económica de Estados de África Occidental,49.228
Communauté économique des États de l'Afrique de l'Ouest,49.228
Comunità economica degli Stati dell'Africa occidentale,49.228
西アフリカ諸国経済共同体,49.228
Economische Gemeenschap van West-Afrikaanse Staten,49.228
Wspólnota Gospodarcza Państw Afryki Zachodniej,49.228
Comunidade Económica dos Estados da África Ocidental,49.228
Экономическое сообщество стран Западной Африки,49.228
西非国家经济共同体,49.228
United States Virgin Islands,38.6102
جزر العذراء الأمريكية,38.6102
Amerikanische Jungferninseln,38.6102
Islas Vírgenes de los Estados Unidos,38.6102
Îles Vierges des États-Unis,38.6102
Isole Vergini americane,38.6102
アメリカ領ヴァージン諸島,38.6102
Amerikaanse Maagdeneilanden,38.6102
Wyspy Dziewicze Stanów Zjednoczonych,38.6102
Ilhas Virgens Americanas,38.6102
Виргинские Острова (США),38.6102
美屬維爾京群島,38.6102
United States Virgin Islands,69.0
جزر العذراء الأمريكية,69.0
Amerikanische Jungferninseln,69.0
Islas Vírgenes de los Estados Unidos,69.0
Îles Vierges des États-Unis,69.0
Isole Vergini americane,69.0
アメリカ領ヴァージン諸島,69.0
Amerikaanse Maagdeneilanden,69.0
Wyspy Dziewicze Stanów Zjednoczonych,69.0
Ilhas Virgens Americanas,69.0
Виргинские Острова (США),69.0
美屬維爾京群島,69.0
Mölnlycke,1928.0
Mölnlycke,1928.0
Mölnlycke,1928.0
Mölnlycke,1928.0
Mölnlycke,1928.0
メンリッケ,1928.0
Mölnlycke,1928.0
Mölnlycke,1928.0
Mölnlycke,1928.0
Мёльнлюкке,1928.0
默恩呂克,1928.0
Garden River First Nation,5.1
Bucharest metropolitan area,1254.0
Habitations Jeanne-Mance,22077.9
Habitations Jeanne-Mance,22077.9
Lucayan Archipelago,24.6
Lucayische Inseln,24.6
Archipiélago de las Lucayas,24.6
Îles Lucayes,24.6
バハマ諸島,24.6
廬卡雅群島,24.6
Craiova Group,81.2
Valle de Riscó,7.3
Valle del Risco,7.3
Valle del Risco,7.3
Valle del Risco,7.3
Bacău metropolitan area,269.0
Lower Danube metropolitan area,291.0
Ploiești metropolitan area,577.0
