http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/elevation
Kleiner Kaukasus,4090.0
Lesser Caucasus,4090.0
Cáucaso Menor,4090.0
Petit Caucase,4090.0
Caucaso Minore,4090.0
小コーカサス山脈,4090.0
Kleine Kaukasus,4090.0
Mały Kaukaz,4090.0
Малый Кавказ,4090.0
Cáucaso Menor,4090.0
小高加索山脈,4090.0
Gydan-Halbinsel,1125.0
Península de Guida,1125.0
Penisola di Gyda,1125.0
Péninsule de Gydan,1125.0
Gyda-schiereiland,1125.0
ギダン半島,1125.0
Gydan Peninsula,1125.0
Półwysep Gydański,1125.0
Гыданский полуостров,1125.0
Península de Guida,1125.0
格達半島,1125.0
Doi Nang Non,1276.0
Doi Nang Non,1276.0
Khao Nom Sao,1089.0
Muela del Diablo,3825.0
Muela del Diablo,3825.0
Pic Preston,2229.0
Preston Peak,2229.0
Cerro Blanco (Texas),936.955
Mount Blanco,936.955
Mount Chamah,2134.0
"Alchesay Flat, Arizona",1759.92
"Alchesay Flat, Arizona",1760.0
Peggys Point Lighthouse,22.0
Fehmarn,10.0
فيهمارن,10.0
Fehmarn,10.0
Isla de Fehmarn,10.0
Fehmarn,10.0
Fehmarn,10.0
Fehmarn,10.0
フェーマルン島,10.0
Fehmarn,10.0
Фемарн,10.0
Fehmarn,10.0
费马恩,10.0
Racetrack Playa,1132.0
Racetrack Playa,1132.0
Racetrack Playa,1132.0
Racetrack Playa,1132.0
Racetrack Playa,1132.0
Рейстрек-Плайя,1132.0
Tooth of Time,2744.11
Camelback Mountain (Big Pocono),650.138
Iron Hill (Delaware),99.9744
Ben Mor Coigach,743.0
Kossila Oxbow,413.918
Mount Fryatt,3361.0
Swarth Fell,681.0
Thaya-Schwarza-Talsenke,355.0
Dyje–Svratka Valley,355.0
Vyškov Gate,339.0
"Rosita, Colorado",2684.98
"Rosita, Colorado",2685.0
Lesno Brdo (Vrhnika),299.9
"Lesno Brdo, Vrhnika",299.9
Benacantil,169.0
Benacantil,169.0
貝納坎蒂爾山,169.0
Mount Benacantil,169.0
Qualibou,777.0
Qualibou,777.0
