http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/squadNumber
Detroit Ignition,2
Ignition de Détroit,2
Detroit Ignition,3
Ignition de Détroit,3
Detroit Ignition,4
Ignition de Détroit,4
Detroit Ignition,6
Ignition de Détroit,6
Detroit Ignition,7
Ignition de Détroit,7
Detroit Ignition,8
Ignition de Détroit,8
Detroit Ignition,9
Ignition de Détroit,9
Detroit Ignition,10
Ignition de Détroit,10
Detroit Ignition,11
Ignition de Détroit,11
Detroit Ignition,12
Ignition de Détroit,12
Detroit Ignition,13
Ignition de Détroit,13
Detroit Ignition,14
Ignition de Détroit,14
Detroit Ignition,15
Ignition de Détroit,15
Detroit Ignition,16
Ignition de Détroit,16
Detroit Ignition,17
Ignition de Détroit,17
Detroit Ignition,20
Ignition de Détroit,20
Detroit Ignition,21
Ignition de Détroit,21
Detroit Ignition,24
Ignition de Détroit,24
Detroit Ignition,26
Ignition de Détroit,26
Detroit Ignition,33
Ignition de Détroit,33
Detroit Ignition,69
Ignition de Détroit,69
Detroit Ignition,84
Ignition de Détroit,84
Detroit Ignition,91
Ignition de Détroit,91
Detroit Ignition,99
Ignition de Détroit,99
2011 Western New York Flash season,0
2011 Western New York Flash season,2
2011 Western New York Flash season,3
2011 Western New York Flash season,4
2011 Western New York Flash season,5
2011 Western New York Flash season,6
2011 Western New York Flash season,7
2011 Western New York Flash season,8
2011 Western New York Flash season,9
2011 Western New York Flash season,10
2011 Western New York Flash season,12
2011 Western New York Flash season,13
2011 Western New York Flash season,14
2011 Western New York Flash season,16
2011 Western New York Flash season,17
2011 Western New York Flash season,18
2011 Western New York Flash season,19
2011 Western New York Flash season,20
2011 Western New York Flash season,21
2011 Western New York Flash season,23
2011 Western New York Flash season,24
2011 Western New York Flash season,30
2011 Western New York Flash season,38
Charlotte 49ers men's soccer,1
Charlotte 49ers men's soccer,2
Charlotte 49ers men's soccer,3
Charlotte 49ers men's soccer,4
Charlotte 49ers men's soccer,5
Charlotte 49ers men's soccer,6
Charlotte 49ers men's soccer,7
Charlotte 49ers men's soccer,8
Charlotte 49ers men's soccer,9
Charlotte 49ers men's soccer,10
Charlotte 49ers men's soccer,11
Charlotte 49ers men's soccer,12
Charlotte 49ers men's soccer,13
Charlotte 49ers men's soccer,14
Charlotte 49ers men's soccer,15
Charlotte 49ers men's soccer,16
Charlotte 49ers men's soccer,17
Charlotte 49ers men's soccer,18
Charlotte 49ers men's soccer,19
Charlotte 49ers men's soccer,20
Charlotte 49ers men's soccer,21
Charlotte 49ers men's soccer,22
Charlotte 49ers men's soccer,23
