http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/elevation
Albula Alps,3418.0
جبال الألب ألبولا,3418.0
Albula-Alpen,3418.0
Chaîne de l'Albula,3418.0
Alpi dell'Albula,3418.0
Albula (pasmo),3418.0
Alpes de Albula,3418.0
阿爾布拉山脈,3418.0
Bernese Alps,4274.0
جبال الألب البرنية,4274.0
Berner Alpen,4274.0
Alpes berneses,4274.0
Alpes bernoises,4274.0
Alpi Bernesi,4274.0
Berner Alpen,4274.0
Alpy Berneńskie,4274.0
Alpes berneses,4274.0
Бернские Альпы,4274.0
伯爾尼茲阿爾卑斯山脈,4274.0
Carpathian Mountains,2655.0
كاربات,2655.0
Karpaten,2655.0
Montes Cárpatos,2655.0
Carpates,2655.0
Carpazi,2655.0
カルパティア山脈,2655.0
Karpaten,2655.0
Karpaty,2655.0
Cárpatos,2655.0
Карпаты,2655.0
喀尔巴阡山脉,2655.0
Cottian Alps,3841.0
Cottische Alpen,3841.0
Alpes cocios,3841.0
Alpes cottiennes,3841.0
Alpi Cozie,3841.0
Cottische Alpen,3841.0
Alpy Kotyjskie,3841.0
Котские Альпы,3841.0
Alpes Cócios,3841.0
科蒂安阿爾卑斯山脈,3841.0
Dauphiné Alps,4102.0
Dauphiné-Alpen,4102.0
Alpes del Delfinado,4102.0
Alpi del Delfinato,4102.0
Alpy Delfinackie,4102.0
Альпы Дофине,4102.0
Alpes do Delfinado,4102.0
多芬阿爾卑斯山脈,4102.0
Dolomites,3343.0
دولوميت (سلسلة جبلية),3343.0
Dolomiten,3343.0
Dolomitas,3343.0
Dolomites,3343.0
Dolomiti,3343.0
ドロミーティ,3343.0
Dolomieten,3343.0
Dolomity,3343.0
Dolomitas,3343.0
Доломитовые Альпы,3343.0
多洛米蒂山脉,3343.0
Glarus Alps,3614.0
جبال الألب غلاروس,3614.0
Glarner Alpen,3614.0
Alpes de Glaris,3614.0
Alpes glaronaises,3614.0
Alpi Glaronesi,3614.0
Alpy Glarneńskie,3614.0
Гларнские Альпы,3614.0
Alpes glaroneses,3614.0
格拉魯斯阿爾卑斯山脈,3614.0
Graian Alps,4810.45
Grajische Alpen,4810.45
Alpes grayos,4810.45
Alpes grées,4810.45
Alpi Graie,4810.45
Grajische Alpen,4810.45
グライエアルプス山脈,4810.45
Alpy Graickie,4810.45
Грайские Альпы,4810.45
Alpes Graios,4810.45
格雷晏阿爾卑斯山脈,4810.45
Great Dividing Range,2228.0
غريت ديفايدينغ,2228.0
Great Dividing Range,2228.0
Gran Cordillera Divisoria,2228.0
Cordillère australienne,2228.0
Grande Catena Divisoria,2228.0
グレートディヴァイディング山脈,2228.0
Groot Australisch Scheidingsgebergte,2228.0
Wielkie Góry Wododziałowe,2228.0
Cordilheira australiana,2228.0
Большой Водораздельный хребет,2228.0
大分水岭,2228.0
Himalayas,8848.0
هيمالايا,8848.0
Himalaya,8848.0
Himalaya,8848.0
Himalaya,8848.0
Himalaya,8848.0
ヒマラヤ山脈,8848.0
Himalaya,8848.0
Himalaje,8848.0
Himalaia,8848.0
Гималаи,8848.0
喜马拉雅山脉,8848.0
Lepontine Alps,3553.0
جبال الألب ليبونتيني,3553.0
Lepontinische Alpen,3553.0
Alpes Lepontinos,3553.0
Alpes lépontines,3553.0
Alpi Lepontine,3553.0
Lepontische Alpen,3553.0
Alpy Lepontyńskie,3553.0
Лепонтинские Альпы,3553.0
Alpes Lepontinos,3553.0
利旁廷阿爾卑斯山脈,3553.0
Maritime Alps,3297.0
Seealpen,3297.0
Alpes marítimos (cordillera),3297.0
Alpes maritimes,3297.0
Alpi Marittime,3297.0
Zee-Alpen (gebergte),3297.0
Alpy Nadmorskie,3297.0
Alpes Marítimos (cordilheira),3297.0
Приморские Альпы (горы),3297.0
濱海阿爾卑斯山脈,3297.0
Pennine Alps,4634.0
جبال الألب بينيني,4634.0
Walliser Alpen,4634.0
Alpes peninos,4634.0
Alpi Pennine,4634.0
Alpes pennines,4634.0
Walliser Alpen,4634.0
ペンニネアルプス山脈,4634.0
Alpy Pennińskie,4634.0
Пеннинские Альпы,4634.0
Alpes valaisanos,4634.0
本宁阿尔卑斯山脉,4634.0
Snowy Mountains,2228.0
Snowy Mountains,2228.0
Snowy Mountains,2228.0
Monti Nevosi,2228.0
Snowy Mountains,2228.0
Снежные горы,2228.0
大雪山 (新南威爾士州),2228.0
Baltoro Muztagh,8611.0
Baltoro Muztagh,8611.0
Baltoro Muztagh,8611.0
Baltoro Muztagh,8611.0
Baltoro Muztagh,8611.0
Baltoro Muztagh,8611.0
Baltoro Muztagh,8611.0
Балторо-Музтаг,8611.0
巴爾托洛慕士塔格山,8611.0
Fannin Range,1657.0
Nor'Wester Mountains,483.0
Caucasus Mountains,5642.0
جبال القوقاز,5642.0
Kaukasus,5642.0
Montañas del Cáucaso,5642.0
Catena del Caucaso,5642.0
Géographie du Caucase,5642.0
コーカサス山脈,5642.0
Kaukasus (gebergte),5642.0
Kaukaz (łańcuch górski),5642.0
Cordilheira do Cáucaso,5642.0
Кавказские горы,5642.0
高加索山脉,5642.0
Chalk Mountains (California),761.0
Chalk Mountains (Texas),955.0
Cordillera Occidental (Colombia),4100.0
