http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/capacity
M1/M3 (railcar),120
ロングアイランド鉄道M1型電車,120
SJ X16,49
SJ X16,49
SJ X16,55
SJ X16,55
Alstom Coradia Duplex SJ X40,153
X40,153
スウェーデン鉄道X40形電車,153
SJ X40,153
SJ X40,153
Alstom Coradia Duplex SJ X40,252
X40,252
スウェーデン鉄道X40形電車,252
SJ X40,252
SJ X40,252
SJ Y6,36
SJ Y6,36
SJ Y6,36
SJ Y6,47
SJ Y6,47
SJ Y6,47
SJ Y6,53
SJ Y6,53
SJ Y6,53
SL X1,196
SL X1,196
SL X1,196
SL X10,184
SL X10,184
SL X10p,232
SL X10p,232
SL X10p,232
TCDD-Baureihe HT65000,419
CAF Hizlitren,419
TCDD HT65000,419
トルコ国鉄 HT65000系電車,419
TCDD HT65000,419
TCDD HT65000,419
TCDD MT5200,127
TCDD MT5300,120
TCDD MT5500,199
TCDD TVS2000,60
Ganz UV,94
Ganz UV,94
ATM-Baureihe 1500,29
Tram ATM serie 1500,29
ATM Class 1500,29
ATM-Baureihe 1500,101
Tram ATM serie 1500,101
ATM Class 1500,101
RATP-Baureihe MS 61,92
MS 61,92
RATP MS 61,92
MS 61,92
RATP-Baureihe MS 61,200
MS 61,200
RATP MS 61,200
MS 61,200
RATP-Baureihe MS 61,292
MS 61,292
RATP MS 61,292
MS 61,292
SEPTA PCC II,46
2200 (CFL),339
CFL 2200,339
CFL Class 2200,339
CFL 2300,29
CFL Class 2300,29
5000 series (CTA),34
TCDD MT5600,64
CFL 2000,24
CFL Class 2000,24
CFL 2000,80
CFL Class 2000,80
Alstom Metropolis AM5-M2,209
AM5-M2,209
Tram ATM serie 4600 e 4700,36
ATM Class 4600 and 4700,36
Tram ATM serie 4600 e 4700,139
ATM Class 4600 and 4700,139
Tram ATM serie 4900,60
ATM Class 4900,60
Tram ATM serie 4900,210
ATM Class 4900,210
TS Class 3,20
Treno Servizio Regionale,96
Treno Servizio Regionale,96
Treno Servizio Regionale,96
Treno Servizio Regionale,122
Treno Servizio Regionale,122
Treno Servizio Regionale,122
2200 series (CTA),42
2200 series (CTA),46
Unidad eléctrica múltiple CSR (Mitre y Sarmiento),60
CSR EMU (Argentina),60
Unidad eléctrica múltiple CSR (Mitre y Sarmiento),72
CSR EMU (Argentina),72
DR-Baureihe ET 91,70
DRG Class ET 91,70
ドイツ国鉄ET91形電車,70
Baureihe ET 91,70
ET 91,70
ICE 1,16
ICE 1,16
ICE 1,16
Locomotiva DB 401,16
ICE 1,16
Baureihe 401,16
ICE 1,16
ICE 1,16
ICE-1列車,16
ICE 1,24
ICE 1,24
ICE 1,24
Locomotiva DB 401,24
ICE 1,24
Baureihe 401,24
ICE 1,24
ICE 1,24
ICE-1列車,24
ICE 1,35
ICE 1,35
ICE 1,35
Locomotiva DB 401,35
ICE 1,35
Baureihe 401,35
ICE 1,35
ICE 1,35
ICE-1列車,35
ICE 1,45
ICE 1,45
ICE 1,45
Locomotiva DB 401,45
ICE 1,45
Baureihe 401,45
ICE 1,45
ICE 1,45
ICE-1列車,45
ICE 1,48
ICE 1,48
ICE 1,48
Locomotiva DB 401,48
ICE 1,48
Baureihe 401,48
ICE 1,48
ICE 1,48
ICE-1列車,48
ICE 1,53
ICE 1,53
ICE 1,53
Locomotiva DB 401,53
ICE 1,53
Baureihe 401,53
ICE 1,53
ICE 1,53
ICE-1列車,53
ICE 1,66
ICE 1,66
ICE 1,66
Locomotiva DB 401,66
ICE 1,66
Baureihe 401,66
ICE 1,66
ICE 1,66
ICE-1列車,66
ICE 1,71
ICE 1,71
ICE 1,71
Locomotiva DB 401,71
ICE 1,71
Baureihe 401,71
ICE 1,71
ICE 1,71
ICE-1列車,71
ICE 1,743
ICE 1,743
ICE 1,743
Locomotiva DB 401,743
ICE 1,743
Baureihe 401,743
ICE 1,743
ICE 1,743
ICE-1列車,743
ICE 2,391
ICE 2,391
DBAG Baureihe 402,391
ICE 2,391
ICE 2,391
Baureihe 402,391
ICE 2,391
ICE-2列車,391
ACMU,130
ACMU,130
HCP Z1,54
HCP Z1,54
TCDD HT80000,460
TCDD HT80000,519
TS Class 5,33
Barcelona Metro 9000 Series,112
TS Class 4,28
TS Class 6,33
TS Class 6,37
TS Class 7,33
R10 (New York City Subway car),56
ČSD-Baureihe M 152.0,40
チェコスロバキア国鉄810形ディーゼル動車,40
810 (wagon motorowy),40
Рельсовый автобус серии 810,40
ČD Class 810,40
ČSD-Baureihe M 152.0,55
チェコスロバキア国鉄810形ディーゼル動車,55
810 (wagon motorowy),55
Рельсовый автобус серии 810,55
ČD Class 810,55
SL95,212
NS-Baureihe DD-IRM,8600
Dubbeldeksinterregiomaterieel,8600
NS VIRM,8600
NS-Baureihe DD-IRM,9400
Dubbeldeksinterregiomaterieel,9400
NS VIRM,9400
PL type cars,51
