http://dbpedia.org/ontology/TableTennisPlayer,http://dbpedia.org/ontology/height
Michael Maze,1.85
Michael Maze,1.85
Michael Maze,1.85
Michael Maze,1.85
マイケル・メイス,1.85
Michael Maze,1.85
Michael Maze,1.85
Michael Maze,1.85
"Мэйс, Микаэль",1.85
米凯尔·梅兹,1.85
Kasumi Ishikawa,1.58
Kasumi Ishikawa,1.58
Kasumi Ishikawa,1.58
Kasumi Ishikawa,1.58
石川佳純,1.58
Kasumi Ishikawa,1.58
Kasumi Ishikawa,1.58
Kasumi Ishikawa,1.58
石川佳純,1.58
Kasumi Ishikawa,1.58
金ミン鉐,1.77
金珉錫,1.77
Kim Min-seok (table tennis),1.77
Cao Zhen (tafeltennisster),1.64
Cao Zhen,1.64
曹臻,1.64
Cao Zhen (table tennis),1.64
范瑛,1.62
Fan Ying,1.62
Huang Yi-Hua,1.66
黃怡樺,1.66
Huang Yi-hua,1.66
Yu Mengyu,1.66
Yu Meng Yu,1.66
于夢雨,1.66
Yu Mengyu,1.66
مياو هيرانو,1.56
Miu Hirano,1.56
平野美宇,1.56
Miu Hirano,1.56
"Хирано, Миу",1.56
平野美宇,1.56
Miu Hirano,1.56
Guo Yan,1.72
Guo Yan,1.72
郭炎,1.72
Guo Yan,1.72
Guo Yan,1.72
郭焱,1.72
Guo Yan,1.72
Mohammad Reza Akhlaghpasand,1.6
Andrej Gaćina,1.86
アンドレイ・ガチーナ,1.86
Andrej Gaćina,1.86
"Гачина, Андрей",1.86
安德烈·加奇尼,1.86
Andrej Gaćina,1.86
Jiang Huajun,1.68
Jiang Huajun,1.68
Jiang Huajun,1.68
姜華珺,1.68
Jiang Huajun,1.68
Jiang Tianyi,1.81
Jiang Tianyi,1.81
江天一 (乒乓球運動員),1.81
Jiang Tianyi,1.81
Matilda Ekholm,1.72
Matilda Ekholm,1.72
Matilda Ekholm,1.72
Subhajit Saha,1.7
Tvin Moumjoghlian,1.72
Tvin Carole Moumjoghlian,1.72
Daniel Reed (table tennis),1.79
فيرنر شلاجر,1.76
Werner Schlager,1.76
Werner Schlager,1.76
Werner Schlager,1.76
Werner Schlager,1.76
Werner Schlager,1.76
ヴェルナー・シュラガー,1.76
Werner Schlager,1.76
Werner Schlager,1.76
Werner Schlager,1.76
"Шлагер, Вернер",1.76
施拉格,1.76
Tie Yana,1.615
Tie Ya Na,1.615
帖雅娜,1.615
Tie Yana,1.615
Tie Yana,1.615
帖雅娜,1.615
Kōki Niwa,1.62
Koki Niwa,1.62
Koki Niwa,1.62
丹羽孝希,1.62
丹羽孝希,1.62
Koki Niwa,1.62
Bora Vang,1.77
Iulia Necula,1.62
لين ما,1.73
Ma Lin,1.73
Ma Lin,1.73
Ma Lin (table tennis),1.73
Ma Lin (tennis de table),1.73
Ma Lin (tennistavolista),1.73
馬琳,1.73
Ma Lin (tafeltennisser),1.73
Ma Lin,1.73
Ma Lin,1.73
Ма Линь,1.73
马琳,1.73
Shen Qiang,1.63
Chen Chien-An,1.7
陳建安,1.7
陳建安,1.7
Chen Chien-an,1.7
Cheung Yuk,1.65
Cheung Yuk,1.65
Cheung Yuk,1.65
張鈺 (乒乓球運動員),1.65
Cheung Yuk,1.65
Fan Zhendong,1.73
Fan Zhendong,1.73
Fan Zhendong,1.73
樊振東,1.73
Fan Zhendong,1.73
Fan Zhendong,1.73
Fan Zhendong,1.73
Фань Чжэньдун,1.73
樊振东,1.73
Fan Zhendong,1.73
Hao Shuai,1.74
Hao Shuai,1.74
カク帥,1.74
Hao Shuai,1.74
Hao Shuai (tenisista stołowy),1.74
郝帅,1.74
Hao Shuai,1.74
Panagiotis Gionis,1.88
Panayiótis Ghiónis,1.88
パナギオティス・ギオニス,1.88
Panajotis Gionis,1.88
"Гьонис, Панайотис",1.88
Panagiotis Gionis,1.88
Sun Beibei,1.58
Sun Bei Bei,1.58
Sun Beibei,1.58
Tang Peng,1.76
Tang Peng,1.76
唐鵬,1.76
唐鵬,1.76
Tang Peng,1.76
Zhu Yuling,1.61
Zhu Yuling,1.61
朱雨玲,1.61
Zhu Yuling,1.61
Hugo Calderano,1.83
Hugo Calderano,1.83
雨果·卡爾德拉諾,1.83
Hugo Calderano,1.83
Gabriel Copola,1.83
納登·埃爾達夫拉特利,1.62
Nadeen El-Dawlatly,1.62
Nicolas Savant-Aira,1.53
Ariel Hsing,1.524
邢延华,1.524
Ariel Hsing,1.524
Erica Wu,1.524
Justin Han,1.84
Lily Zhang,1.66116
张安,1.66116
Lily Zhang,1.66116
リ・ミョンスン,1.63
李明順 (乒乓球運動員),1.63
Ri Myong-sun,1.63
Timothy Wang,1.524
Timothy Wang,1.524
Timothy Wang,1.524
Yadira Silva,1.59
Yadira Silva,1.59
Alfredo Carneros,1.85
Alfredo Carneros,1.85
Cecilia Offiong,1.58
Crystal Huang,1.6
Daniel Tsiokas,1.8
ダニエル・チオカ,1.8
Daniel Tsiokas,1.8
Daniel Tsiokas,1.8
Fedor Kuzmin,1.78
Fedor Kuzmin,1.78
Galia Dvorak,1.69
Galia Dvorak,1.69
Idir Khourta,1.75
Johenny Valdez,1.68
Kazeem Nosiru,1.65
Kim Mi-yong,1.56
マリアニー・ノナカ,1.64
Mariany Nonaka,1.64
Mariany Nonaka,1.64
Monday Merotohun,1.75
Monday Merotohun,1.75
Pan Li-chun,1.55
Ri Chol-guk,1.62
