http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/areaLand
Bird Key,9.6e+06
Bird Key,9.6e+06
Bird Key,1.78709e+07
Bird Key,1.78709e+07
Île du Diable,139859.0
Île du Diable,140000.0
Ko Lan,5.6e+06
Ko Lan,5.6e+06
Ko Lan,5.6e+06
Лан (остров),5.6e+06
Ko Lan,5.6e+06
小珊瑚島,5.6e+06
جزيرة أيو,5.06e+06
アユ島,5.06e+06
阿尤島,5.06e+06
Pulau Ayu,5.06e+06
جزيرة ريني,920000.0
勒尼島,920000.0
Pulau Reni,920000.0
"Casa Conejo, California",1.23024e+06
Casa Conejo,1.23024e+06
Casa Conejo,1.23024e+06
Casa Conejo,1.23024e+06
"Casa Conejo, California",1.231e+06
Casa Conejo,1.231e+06
Casa Conejo,1.231e+06
Casa Conejo,1.231e+06
Sable Island,3.4e+07
جزيرة سايبل,3.4e+07
Sable Island,3.4e+07
Isla Sable (Canadá),3.4e+07
Île de Sable (Canada),3.4e+07
Sable Island,3.4e+07
セーブル島,3.4e+07
Sable-eiland,3.4e+07
Sable Island,3.4e+07
Ilha Sable,3.4e+07
Сейбл,3.4e+07
塞布尔岛 (加拿大),3.4e+07
"Siesta Key, Florida",6.1e+06
Siesta Key,6.1e+06
Cayo Siesta,6.1e+06
Siesta Key,6.1e+06
Siesta Key,6.1e+06
Сиеста-Ки (Флорида),6.1e+06
"Smith Island, Maryland",1.15e+07
Smith Island (Maryland),1.15e+07
Smith Island,1.15e+07
Smith Island,1.15e+07
"Smith Island, Maryland",1.16549e+07
Smith Island (Maryland),1.16549e+07
Smith Island,1.16549e+07
Smith Island,1.16549e+07
"Tybee Island, Georgia",6e+06
تيبي أيلاند,6e+06
Tybee Island,6e+06
Tybee Island,6e+06
Tybee Island,6e+06
Tybee Island,6e+06
Tybee Island,6e+06
Tybee Island (Georgia),6e+06
Tybee Island,6e+06
Тайби-Айленд (Джорджия),6e+06
Wake Island,7.07067e+06
جزيرة ويك,7.07067e+06
Wake,7.07067e+06
Isla Wake,7.07067e+06
Wake (atoll),7.07067e+06
Isola di Wake,7.07067e+06
ウェーク島,7.07067e+06
Wake (eiland),7.07067e+06
Wake,7.07067e+06
Ilha Wake,7.07067e+06
Уэйк,7.07067e+06
威克島,7.07067e+06
Big Coppitt Key,3.6e+06
Big Coppitt Key,3.6e+06
Big Coppitt Key,3.62598e+06
Big Coppitt Key,3.62598e+06
Bikini Atoll,5.95697e+06
حلقية بيكيني,5.95697e+06
Bikini-Atoll,5.95697e+06
Atolón Bikini,5.95697e+06
Bikini (atoll),5.95697e+06
Atollo di Bikini,5.95697e+06
ビキニ環礁,5.95697e+06
Bikini (atol),5.95697e+06
Bikini (atol),5.95697e+06
Atol de Bikini,5.95697e+06
Бикини (атолл),5.95697e+06
比基尼环礁,5.95697e+06
Dønna,1.8764e+08
Dønna,1.8764e+08
Dønna,1.8764e+08
Dønna,1.8764e+08
Dønna,1.8764e+08
Dønna,1.8764e+08
Dønna,1.8764e+08
Дённа (коммуна),1.8764e+08
登納島,1.8764e+08
"Edisto Island, South Carolina",1.751e+08
Edisto,1.751e+08
Edisto,1.751e+08
Edisto,1.751e+08
Edisto,1.751e+08
Grand Manan Island,1.42e+08
غراند مانان أيلاند (نيو برونزويك),1.42e+08
Grand Manan Island,1.42e+08
Grand Manan (village),1.42e+08
Гран-Манан,1.42e+08
大马南岛,1.42e+08
Grand Manan Island,1.42449e+08
غراند مانان أيلاند (نيو برونزويك),1.42449e+08
Grand Manan Island,1.42449e+08
Grand Manan (village),1.42449e+08
Гран-Манан,1.42449e+08
大马南岛,1.42449e+08
Isle La Motte,2.06e+07
إزلي لا موت (فيرمونت),2.06e+07
Isle La Motte,2.06e+07
Isla La Motte,2.06e+07
Isle La Motte,2.06e+07
Айл-ля-Мотт,2.06e+07
Isle La Motte,2.07199e+07
إزلي لا موت (فيرمونت),2.07199e+07
Isle La Motte,2.07199e+07
Isla La Motte,2.07199e+07
Isle La Motte,2.07199e+07
Айл-ля-Мотт,2.07199e+07
"Kiawah Island, South Carolina",2.84e+07
كياوا أيلاند (كارولاينا الجنوبية),2.84e+07
Kiawah Island,2.84e+07
Kiawah Island,2.84e+07
Kiawah Island,2.84e+07
Kiawah Island,2.84e+07
Kiawah Island (Karolina Południowa),2.84e+07
Kiawah Island,2.84e+07
基洼岛 (南卡罗来纳州),2.84e+07
Kish Island,9.14266e+07
كيش (جزيرة),9.14266e+07
Kisch (Insel),9.14266e+07
Kish (isla),9.14266e+07
Kish (Iran),9.14266e+07
Kish (Iran),9.14266e+07
キーシュ島,9.14266e+07
Kish (Iran),9.14266e+07
Kish (Irão),9.14266e+07
Киш (остров),9.14266e+07
基什岛,9.14266e+07
Kish Island,9.15e+07
كيش (جزيرة),9.15e+07
Kisch (Insel),9.15e+07
Kish (isla),9.15e+07
Kish (Iran),9.15e+07
Kish (Iran),9.15e+07
キーシュ島,9.15e+07
Kish (Iran),9.15e+07
Kish (Irão),9.15e+07
Киш (остров),9.15e+07
基什岛,9.15e+07
"Treasure Island, San Francisco",2.33099e+06
Treasure Island (Kalifornien),2.33099e+06
Isla Treasure,2.33099e+06
Treasure Island (San Francisco),2.33099e+06
Treasure Island (Californië),2.33099e+06
Трежер-Айленд (Сан-Франциско),2.33099e+06
金銀島 (舊金山),2.33099e+06
Værøy,1.849e+07
Værøy,1.849e+07
Værøy,1.849e+07
Værøy,1.849e+07
Værøy,1.849e+07
Værøy,1.849e+07
Værøy,1.849e+07
Værøy,1.849e+07
Верёй,1.849e+07
韋島 (挪威),1.849e+07
Walpole Island First Nation,1.3747e+08
Île Walpole,1.3747e+08
Bubaque,7.25197e+07
Bubaque,7.25197e+07
Bubaque,7.25197e+07
Bubaque,7.25197e+07
Bubaque,7.25197e+07
ブバケ,7.25197e+07
Bubaque,7.25197e+07
Bubaque,7.25197e+07
布巴克,7.25197e+07
Grímsey,5.3e+06
Grímsey,5.3e+06
Grímsey,5.3e+06
Grímsey,5.3e+06
Grímsey,5.3e+06
グリムセイ島,5.3e+06
Grímsey,5.3e+06
Grímsey,5.3e+06
Grímsey,5.3e+06
Гримсей,5.3e+06
格里姆赛岛,5.3e+06
Hrísey,7.67e+06
Hrísey,7.67e+06
Hrísey,7.67e+06
Hrísey,7.67e+06
Hrísey,7.67e+06
Hrísey,7.67e+06
Hrísey,7.67e+06
Hrísey,7.67e+06
Хрисей,7.67e+06
赫里斯島,7.67e+06
Rose-Atoll,214000.0
Rose Atoll,214000.0
Atollo Rose,214000.0
ローズ環礁,214000.0
Rose Atoll,214000.0
Atol Rose,214000.0
Розе (атолл),214000.0
罗斯环礁,214000.0
Solentiname,3.8e+07
Solentiname Islands,3.8e+07
Solentiname,3.8e+07
Îles Solentiname,3.8e+07
Solentiname,3.8e+07
Солентинаме,3.8e+07
Tromøy,2.9e+07
Tromøy,2.9e+07
Tromøy,2.9e+07
Tromøy,2.9e+07
Isla Grande,2.66e+07
Isla Grande (Panamá),2.66e+07
Isla Grande (Panama),2.66e+07
Isla Grande,2.66e+07
Ilha Grande (Panamá),2.66e+07
Holbox,5.5948e+07
Holbox,5.5948e+07
Isla Holbox,5.5948e+07
Holbox,5.5948e+07
Holbox,5.5948e+07
Holbox,5.5948e+07
Isla Holbox,5.5948e+07
Хольбош,5.5948e+07
Ilha Holbox,5.5948e+07
奧爾沃克斯島,5.5948e+07
Saturna Island,3.1e+07
Isla Saturna,3.1e+07
Saturna Island,3.1e+07
Île Saturna,3.1e+07
Keats Island,5.95697e+06
Keats Island (British Columbia),5.95697e+06
Keats Island,6e+06
Keats Island (British Columbia),6e+06
Whitefish Island,170000.0
"Fox Island, Washington",1.34679e+07
"Fox Island (Pierce County, Washington)",1.34679e+07
Fox Island (Washington),1.34679e+07
Fox Island,1.34679e+07
Fox Island,1.34679e+07
Fox Island,1.34679e+07
"Fox Island, Washington",1.35e+07
"Fox Island (Pierce County, Washington)",1.35e+07
Fox Island (Washington),1.35e+07
Fox Island,1.35e+07
Fox Island,1.35e+07
Fox Island,1.35e+07
"Seabrook Island, South Carolina",1.55e+07
Seabrook Island,1.55e+07
Seabrook Island,1.55e+07
Seabrook Island,1.55e+07
Seabrook Island,1.55e+07
Seabrook Island,1.55e+07
西布鲁克岛 (南卡罗来纳州),1.55e+07
"Grip, Norway",480000.0
Grip (Norwegen),480000.0
Hormuz Island,4.19578e+07
جزيرة هرمز,4.19578e+07
Hormus (Insel),4.19578e+07
Ormuz (isla),4.19578e+07
Hormuz,4.19578e+07
Île d'Ormuz,4.19578e+07
ホルムズ島,4.19578e+07
Hormuz,4.19578e+07
Ormuz (wyspa),4.19578e+07
Ормуз (остров),4.19578e+07
霍爾木茲島,4.19578e+07
Koh Tonsay,2e+06
Koh Tonsay,2e+06
Koh Thonsáy,2e+06
Koh Tonsay,2e+06
أتكا,1.04791e+09
Atka Island,1.04791e+09
Atka Island,1.04791e+09
Isla Atka,1.04791e+09
Atka (Alaska),1.04791e+09
Isola Atka,1.04791e+09
アトカ島,1.04791e+09
Atka (wyspa),1.04791e+09
Ilha Atka,1.04791e+09
Атка (остров),1.04791e+09
阿特卡島,1.04791e+09
