http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/width
Citroën Hypnos,2.17
Citroën Hypnos,2.17
Citroën Hypnos,2.17
Citroën Hypnos,2.17
Citroën Hypnos,2.17
Citroën Hypnos,2.17
Peace Bridge (Foyle),4.0
Typ 1 Chi-He,2.2
Type 1 Chi-He,2.2
Type 1 Chi-He,2.2
一式中戦車,2.2
Type 1 Chi-He,2.2
Typ 1 Chi-He,2.2
Чи-Хе,2.2
一式中戰車,2.2
Acura ZDX,1.9939
Acura ZDX,1.9939
Acura ZDX,1.9939
アキュラ・ZDX,1.9939
Acura ZDX,1.9939
Acura ZDX,1.9939
Acura ZDX,1.9939
Acura ZDX,1.9939
Jaguar X351,1.894
Jaguar XJ (X351),1.894
Jaguar XJ (X351),1.894
ジャガー・X351,1.894
Jaguar XJ (X351),1.894
Gydan-Halbinsel,360000.0
Península de Guida,360000.0
Penisola di Gyda,360000.0
Péninsule de Gydan,360000.0
Gyda-schiereiland,360000.0
ギダン半島,360000.0
Gydan Peninsula,360000.0
Półwysep Gydański,360000.0
Гыданский полуостров,360000.0
Península de Guida,360000.0
格達半島,360000.0
Stone Lagoon,1126.54
Mazda CX-5,1.84
Mazda CX-5,1.84
Mazda CX-5,1.84
Mazda CX-5,1.84
Mazda CX-5,1.84
マツダ・CX-5,1.84
Mazda CX-5,1.84
Mazda CX-5,1.84
Mazda CX-5,1.84
Mazda CX-5,1.84
馬自達CX-5,1.84
Pontiac Aztek,1.87198
Pontiac Aztek,1.87198
Pontiac Aztek,1.87198
Pontiac Aztek,1.87198
Pontiac Aztek,1.87198
Pontiac Aztek,1.87198
Triumph TR8,1.681
بيجو 2008,1.74
Peugeot 2008,1.74
Peugeot 2008,1.74
Peugeot 2008,1.74
Peugeot 2008,1.74
プジョー・2008,1.74
Peugeot 2008,1.74
Peugeot 2008,1.74
Peugeot 2008,1.74
Peugeot 2008,1.74
Peugeot 2008,1.74
標緻2008,1.74
GMC Typhoon,1.73228
GMC Jimmy,1.73228
GMC Typhoon,1.73228
GMC・タイフーン,1.73228
GMC Typhoon,1.73228
GMC Typhoon,1.73228
GMC Typhoon,1.73228
Sunbeam Tiger,1.5367
Sunbeam Tiger,1.5367
Sunbeam Tiger,1.5367
Sunbeam Tiger,1.5367
Sunbeam Tiger,1.5367
Lincoln MKC,1.839
リンカーン・MKC,1.839
Lincoln MKC,1.839
Lincoln MKC,1.839
Lincoln MKC,1.839
تايب 59 (دبابة),3.27
Type 59 tank,3.27
Type 59,3.27
Tipo 59,3.27
Type 59 (carro armato),3.27
Type 59,3.27
59式戦車,3.27
Type 59,3.27
Typ 59,3.27
Type 59,3.27
Тип 59,3.27
59式坦克,3.27
رينو 7,1.525
Renault 7,1.525
