http://dbpedia.org/ontology/SiteOfSpecialScientificInterest,http://dbpedia.org/ontology/areaTotal
"Biddle Street, Yatton",447987.0
Lulsgate Quarry,11300.0
Perch SSSI,721000.0
Court Hill,104500.0
Ashleworth Ham,1.0473e+06
Chiddingfold Forest,5.439e+06
Dee Cliffs,143866.0
Sefton Coast,4.60532e+07
Wistman's Wood,35000.0
Wistman's Wood,35000.0
Cop Mere,377976.0
أرفردير غغلددل بنمن (للنددنا),1.0333e+06
Arfordir Gogleddol Penmon,1.0333e+06
Stone Farm Rocks,6400.0
Turners Hill SSSI,1600.0
West Hoathly SSSI,6600.0
Woolbeding and Pound Commons,1.71e+06
Woolmer Forest,1.294e+07
Eastern Isles,838000.0
Eastern Isles,838000.0
Eastern Isles,838000.0
Boscastle to Widemouth,6.39e+06
Caerthillian to Kennack,1.411e+06
Tamar–Tavy Estuary,1.4223e+07
Cotswold Water Park,1.35e+06
Cotswold Water Park,1.35e+06
Fivehead Arable Fields,103000.0
Hinton Charterhouse Field,3200.0
Hinton Charterhouse Pit,4000.0
"Horseshoe Bend, Shirehampton",44500.0
Pevensey Levels,3.501e+07
River Line (East Sussex),18900.0
St. Catherine's Valley,1.561e+06
"The Wilderness SSSI, Isle of Wight",126000.0
"Holt Heath, Dorset",7.66e+06
Iford Manor,3900.0
Parkhurst Forest,1.835e+06
Halvergate Marshes,1.43013e+07
Aust Cliff,53013.8
Aust Cliff,53013.8
Cheddar Complex,4.413e+06
Cheddar Wood,869000.0
"Deadman SSSI, Somerset",288000.0
Harptree Combe,136300.0
Kents Cavern,17000.0
Kents Cavern,17000.0
Grotte de Kent,17000.0
Кентская пещера,17000.0
"Cleeve Hill SSSI, Somerset",151000.0
Millwater,14000.0
Strawberry Banks,51000.0
Sylvan House Barn,50.0
Veizey's Quarry,14000.0
Wainlode Cliff,13000.0
Wellacre Quarry,123000.0
Whitevine Meadows,130000.0
Woolhayes Farm,132000.0
Bamburgh Dunes,446400.0
Lodmoor,715000.0
Lodmoor,715000.0
Blackhorse Quarry,1900.0
Brede Pit and Cutting,5400.0
Combe Haven,1.561e+06
Darwell Wood,376000.0
Eridge Park,3.901e+06
Firle Escarpment,3.013e+06
Herstmonceux Park,45000.0
Lullington Heath,717000.0
Marline Valley Woods,550000.0
Northiam SSSI,3000.0
Offham Marshes,381000.0
"Plymouth Sound, Shores and Cliffs",443000.0
Rye Harbour SSSI,7.611e+06
Seaford to Beachy Head,1.102e+07
Swanpool Wood and Furnace Grove,135900.0
Wilmington Downs,2.082e+06
Winchelsea Cutting,1300.0
Lundy,4.45e+06
جزيرة لوندي,4.45e+06
Lundy,4.45e+06
Lundy,4.45e+06
Lundy,4.45e+06
Lundy,4.45e+06
Lundy,4.45e+06
ランディ島,4.45e+06
Lundy (wyspa),4.45e+06
Lundy,4.45e+06
Ланди,4.45e+06
兰迪岛,4.45e+06
Colwell Bay,135600.0
Coombe Hill (Cotswolds),154000.0
Heathfield Park,1.41e+06
Lark Wood,11100.0
Ribble and Alt Estuaries,9.2261e+07
Sound Heath,48000.0
Steeple Point to Marsland Mouth,3.428e+06
Treen Cliff,493000.0
Draycott Sleights,619500.0
"Gallows Hill SSSI, Wiltshire",278000.0
Gordano Valley,1.6168e+06
Ham Green SSSI,11000.0
Stidham Farm,173000.0
Stidham Farm,173000.0
Baron Hill Park,1.1243e+06
East Polden Grasslands,1.24e+06
Bream Wood,76000.0
"Grove Farm, Somerset",365000.0
Porlock Bay,1.863e+06
Purton (Gloucestershire),49000.0
"Purton, Berkeley",49000.0
Walmore Common,577800.0
Phoenix United Mine,297900.0
Carricknath Point to Porthbean Beach,494900.0
Coverack to Porthoustock,1.7346e+06
Duckpool to Furzey Cove,872900.0
Godrevy Head to St Agnes,6.274e+06
Great Wheal Fortune,5500.0
Kelsey Head,2.27e+06
Penhale Sands,1.0704e+07
Peninnis Head,161000.0
Polruan to Polperro,2.134e+06
Rosenannon Downs,1.355e+06
St Austell Clay Pits,6000.0
Ventongimps Moor,82000.0
West Cornwall Bryophytes Site of Special Scientific Interest,539300.0
Wingletang Down (St Agnes),289000.0
Barnby Broad and Marshes,1.8962e+06
Blaxhall Common,444000.0
Blo' Norton and Thelnetham Fen,210300.0
Clarke's Pool Meadow SSSI,18000.0
Collinpark Wood SSSI,666900.0
Livox Wood,193000.0
Lower Hael Wood,176000.0
Maes-yr-Uchaf Wood,25000.0
Pentwyn Farm Grasslands,76000.0
Salmonsbury Meadows SSSI,180000.0
Swift's Hill SSSI,91500.0
Upper Wye Gorge,2.451e+06
Allt Pontfaen - Coed Gelli-fawr,731200.0
Arfordir Abereiddi,637400.0
Carn Ingli,4.284e+06
Castlemartin Corse,304000.0
Cors Bodwrog,872800.0
Corsydd Llangloffan,567000.0
"Cwm Bach, Sychpant",86700.0
Cwm Dewi,220200.0
Dowrog Common,1.0086e+06
Dwrhyd Pit,1800.0
Dyffryn Gwaun,253600.0
Esgyrn Bottom,499000.0
Felin Llwyngwair,100.0
Fferam Uchaf,10500.0
Gallt Llanerch - Coed Gelli-deg,304700.0
Glannau Penmon,1.7087e+06
Glannau Rhoscolyn,1.4549e+06
Gweunydd Blaencleddau,1.495e+06
Henborth,109600.0
Hook Wood,120200.0
Jeffreyston Pastures,157200.0
Llanbadrig - Dinas Gynfor,264900.0
Llyn Bodgylched,163700.0
Marloes Mere,171700.0
Minsmere-Walberswick Heaths and Marshes,2.32589e+07
Minwear Wood,136900.0
Portheiddy Moor,95000.0
Robeston Wathen Quarries,16400.0
Sand Point and Middle Hope,841000.0
Strumble Head - Llechdafad Cliffs,2.0463e+06
Trefeiddan Moor,216100.0
Treffgarne Bridge Quarry,4000.0
Trewent Point,641500.0
Wallis Moor,632200.0
"Waun Fawr, Puncheston",82600.0
Wyndrush Pastures,455000.0
Chartley Moss,1.058e+06
"Ellenborough Park, Weston-super-Mare",18000.0
Quants Reserve,506000.0
Burrington Combe,1.391e+06
Gorge de Burrington,1.391e+06
Carrick Heaths,427000.0
Nightingale Valley,54000.0
Wicken Fen,2.47e+06
Wicken Fen,2.47e+06
Cleeve Common,4.55e+06
Asham Quarry,25800.0
Asham Wood,1.406e+06
Vallis Vale,239000.0
Kingley Vale National Nature Reserve,2.094e+06
Gentleshaw Common,859957.0
Tregonning Hill,52100.0
Clegir Mawr,96000.0
Alderton Hill Quarry,3400.0
Astridge Wood,194200.0
Barton Bushes,57000.0
Beddmanarch–Cymyran,9.11e+06
Bigsweir Woods,481600.0
Blaisdon Hall,700.0
Bourton Down,111700.0
Boxwell SSSI,53100.0
Brooks Head Grove,119000.0
Buckshraft Mine & Bradley Hill Railway Tunnel,56600.0
"Bull Cross, The Frith and Juniper Hill",423300.0
"Bushley Muzzard, Brimpsfield",11300.0
Caerwood and Ashberry Goose House,100.0
Campden Tunnel Gravel Pit,2000.0
Coaley Wood Quarries,48500.0
Cockleford Marsh,32000.0
Cotswold Commons and Beechwoods,6.655e+06
Crickley Hill and Barrow Wake,568000.0
Devil's Chapel Scowles,447900.0
Dingle Wood,99500.0
Dixton Wood,131400.0
Easter Park Farm Quarry,1500.0
Edge Common,204700.0
Edgehills Quarry,4000.0
Elmlea Meadows,69000.0
Foss Cross Quarry,6700.0
Frampton Pools,598400.0
Garden Cliff,51000.0
Hampen Railway Cutting,39000.0
Haresfield Beacon,7300.0
Harford Railway Cutting,12000.0
Highbury Wood,507400.0
Hornsleasow Quarry,35000.0
Hornsleasow Roughs,282400.0
Hucclecote Meadows,57400.0
Huntsman's Quarry,16000.0
Innsworth Meadow,29000.0
Jackdaw Quarry,47800.0
"Juniper Hill, Edgeworth",112500.0
Kemble Railway Cuttings,27200.0
Kempley Daffodil Meadow,12000.0
Kingscote and Horsley Woods,437900.0
"Knap House Quarry, Birdlip",18000.0
"Land Grove Quarry, Mitcheldean",38000.0
