http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
7-Eleven,45000
7-Eleven,45000
7-Eleven,45000
7-Eleven,45000
7-Eleven,45000
セブン-イレブン,45000
7-Eleven (winkelketen),45000
7-Eleven,45000
7-Eleven,45000
7-Eleven,45000
7-Eleven,45000
Activision,4000
أكتيفجن,4000
Activision,4000
Activision,4000
Activision,4000
Activision,4000
アクティビジョン,4000
Activision,4000
Activision,4000
Activision,4000
Activision,4000
动视,4000
Altria,9000
Altria Group,9000
Altria Group,9000
Altria Group,9000
Altria,9000
アルトリア,9000
Altria Group,9000
Altria,9000
Altria,9000
Altria Group,9000
奧馳亞,9000
Amstrad,85
أمستراد,85
Amstrad,85
Amstrad,85
Amstrad,85
Amstrad,85
アムストラッド,85
Amstrad,85
Amstrad,85
Amstrad,85
Arthur Andersen,85000
آرثر آندرسون,85000
Arthur Andersen,85000
Arthur Andersen,85000
Andersen (entreprise),85000
Arthur Andersen,85000
アーサー・アンダーセン,85000
Arthur Andersen,85000
Arthur Andersen,85000
Arthur Andersen,85000
安达信会计师事务所,85000
Bavaria Brewery (Netherlands),997
Bavaria (Niederlande),997
Bavaria (entreprise),997
Bavaria (azienda),997
Bavaria Brouwerij,997
ババリアビール,997
Bavaria,997
Benetton Group,7714
مجموعة بينيتون,7714
Benetton Group,7714
Benetton Group,7714
Benetton,7714
Benetton (azienda),7714
ベネトン,7714
Benetton,7714
Benetton Group,7714
Benetton,7714
Benetton Group,7714
班尼顿,7714
Bunge Limited,35000
Bunge Limited,35000
Bunge Limited,35000
Bunge,35000
Bunge,35000
Bunge (компания),35000
Cadbury,2000
كادبوري,2000
Cadbury plc,2000
Cadbury,2000
Cadbury,2000
Cadbury,2000
キャドバリー,2000
Cadbury plc,2000
Cadbury,2000
Cadbury,2000
Cadbury,2000
吉百利,2000
Cadbury,71657
كادبوري,71657
Cadbury plc,71657
Cadbury,71657
Cadbury,71657
Cadbury,71657
キャドバリー,71657
Cadbury plc,71657
Cadbury,71657
Cadbury,71657
Cadbury,71657
吉百利,71657
Citroën,13900
سيتروين,13900
Citroën,13900
Citroën,13900
Citroën,13900
Citroën,13900
シトロエン,13900
Citroën,13900
Citroën,13900
Citroën,13900
Citroën,13900
雪铁龙,13900
Daimler AG,284015
دايملر,284015
Daimler AG,284015
Daimler AG,284015
