http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/weight
Danny Kass,65772.0
Danny Kass,65772.0
Danny Kass,65772.0
ダニー・キャス,65772.0
Daniel Kass,65772.0
Danny Kass,65772.0
Danny Kass,65772.0
"Касс, Дэнни",65772.0
Danyon Loader,84000.0
Danyon Loader,84000.0
Danyon Loader,84000.0
Danyon Loader,84000.0
ダニオン・ローダー,84000.0
Danyon Loader,84000.0
Danyon Loader,84000.0
Danyon Loader,84000.0
"Лоадер, Дэньон",84000.0
Eric Heiden,84000.0
إريك هايدن,84000.0
Eric Heiden,84000.0
Eric Heiden,84000.0
Eric Heiden,84000.0
Eric Heiden,84000.0
エリック・ハイデン,84000.0
Eric Heiden,84000.0
Eric Heiden,84000.0
"Хайден, Эрик",84000.0
Eric Heiden,84000.0
埃里克·海登,84000.0
Georg Hackl,79000.0
غيورغ هاكل,79000.0
Georg Hackl,79000.0
Georg Hackl,79000.0
Georg Hackl,79000.0
ゲオルク・ハックル,79000.0
Georg Hackl,79000.0
Georg Hackl,79000.0
"Хакль, Георг",79000.0
Georg Hackl,79000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
"Ван Велде, Герард",87000.0
Gretha Smit,60000.0
Gretha Smit,60000.0
Gretha Smit,60000.0
Gretha Smit,60000.0
Gretha Smit,60000.0
Hayley Wickenheiser,73029.6
هايلي ويكينهايزر,73029.6
Hayley Wickenheiser,73029.6
Hayley Wickenheiser,73029.6
Hayley Wickenheiser,73029.6
Hayley Wickenheiser,73029.6
Hayley Wickenheiser,73029.6
"Виккенхайзер, Хейли",73029.6
Irina Privalova,54000.0
Irina Anatoljewna Priwalowa,54000.0
Irina Priválova,54000.0
Irina Privalova,54000.0
Irina Privalova,54000.0
イリーナ・プリワロワ,54000.0
Irina Privalova,54000.0
Irina Priwałowa,54000.0
"Привалова, Ирина Анатольевна",54000.0
Irina Privalova,54000.0
Jakko Jan Leeuwangh,91000.0
Jakko Jan Leeuwangh,91000.0
Jakko Jan Leeuwangh,91000.0
Jan Bos,83000.0
جان بوس,83000.0
Jan Bos,83000.0
Jan Bos,83000.0
Jan Bos,83000.0
ヤン・ボス,83000.0
Jan Bos,83000.0
Jan Bos,83000.0
"Бос, Ян",83000.0
Jenny Thompson,68947.2
جيني تومبسون,68947.2
Jenny Thompson,68947.2
Jenny Thompson,68947.2
Jenny Thompson,68947.2
Jenny Thompson,68947.2
Jenny Thompson,68947.2
ジェニー・トンプソン,68947.2
Jenny Thompson,68947.2
Jenny Thompson,68947.2
"Томпсон, Дженни",68947.2
珍妮·湯普森,68947.2
Jesse Owens,74844.0
جيسي أوينز,74844.0
Jesse Owens,74844.0
Jesse Owens,74844.0
Jesse Owens,74844.0
Jesse Owens,74844.0
ジェシー・オーエンス,74844.0
Jesse Owens,74844.0
Jesse Owens,74844.0
Jesse Owens,74844.0
"Оуэнс, Джесси",74844.0
杰西·欧文斯,74844.0
Jimmy Shea,82101.6
Jim Shea,82101.6
Jim Shea,82101.6
Jimmy Shea,82101.6
Jimmy Shea,82101.6
Jim Shea jr.,82101.6
Jimmy Shea,82101.6
Jimmy Shea,82101.6
"Ши, Джимми",82101.6
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
"Эйтдехаге, Йохем",70000.0
Jonathan Edwards (triple jumper),71000.0
جوناثان إدواردز (قفز ثلاثي),71000.0
Jonathan Edwards (Leichtathlet),71000.0
Jonathan Edwards (atleta),71000.0
Jonathan Edwards,71000.0
Jonathan Edwards (atleta),71000.0
ジョナサン・エドワーズ (陸上選手),71000.0
Jonathan Edwards (atleet),71000.0
Jonathan Edwards (sportowiec),71000.0
Jonathan Edwards (atleta),71000.0
"Эдвардс, Джонатан (легкоатлет)",71000.0
乔纳森·爱德华兹 (田径),71000.0
Larry Bird,99792.0
لاري بيرد,99792.0
Larry Bird,99792.0
Larry Bird,99792.0
Larry Bird,99792.0
Larry Bird,99792.0
ラリー・バード,99792.0
Larry Bird,99792.0
Larry Bird,99792.0
Larry Bird,99792.0
"Бёрд, Ларри",99792.0
拉里·伯德,99792.0
Magic Johnson,99792.0
ماجيك جونسون,99792.0
Magic Johnson,99792.0
Magic Johnson,99792.0
Magic Johnson,99792.0
Magic Johnson,99792.0
マジック・ジョンソン,99792.0
Magic Johnson,99792.0
Magic Johnson,99792.0
Magic Johnson,99792.0
"Джонсон, Мэджик",99792.0
魔术师约翰逊,99792.0
Renate Groenewold,73000.0
Renate Groenewold,73000.0
Renate Groenewold,73000.0
Renate Groenewold,73000.0
Renate Groenewold,73000.0
"Груневолд, Ренате",73000.0
Ross Powers,81194.4
Ross Powers,81194.4
Ross Powers,81194.4
Ross Powers,81194.4
ロス・パワーズ,81194.4
Ross Powers,81194.4
Ross Powers,81194.4
"Пауэрс, Росс",81194.4
Sam Snead,83916.0
صامويل سنيد,83916.0
Sam Snead,83916.0
Sam Snead,83916.0
Sam Snead,83916.0
Sam Snead,83916.0
サム・スニード,83916.0
Sam Snead,83916.0
"Снид, Сэм",83916.0
Tiger Woods,83916.0
تايغر وودز,83916.0
Tiger Woods,83916.0
Tiger Woods,83916.0
Tiger Woods,83916.0
Tiger Woods,83916.0
タイガー・ウッズ,83916.0
Tiger Woods,83916.0
Tiger Woods,83916.0
Tiger Woods,83916.0
"Вудс, Тайгер",83916.0
老虎伍茲,83916.0
Tristan Gale,52164.0
Tristan Gale,52164.0
Tristan Gale,52164.0
Tristan Gale,52164.0
Tristan Gale,52164.0
Tristan Gale,52164.0
Tristan Gale,52164.0
"Гейл, Тристан",52164.0
Wayne Gretzky,83916.0
واين جريتزكي,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
ウェイン・グレツキー,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
"Гретцки, Уэйн",83916.0
韦恩·格雷茨基,83916.0
Wilma Rudolph,58968.0
فيلما رودولف,58968.0
Wilma Rudolph,58968.0
Wilma Rudolph,58968.0
Wilma Rudolph,58968.0
Wilma Rudolph,58968.0
ウィルマ・ルドルフ,58968.0
Wilma Rudolph,58968.0
Wilma Rudolph,58968.0
Wilma Rudolph,58968.0
"Рудольф, Вильма",58968.0
威瑪·魯道夫,58968.0
Aaron Mauger,88904.1
Aaron Mauger,88904.1
Aaron Mauger,88904.1
Aaron Mauger,88904.1
Aaron Mauger,88904.1
Aaron Smith,85000.0
Aaron Smith,85000.0
Aaron Smith,85000.0
Aaron Smith (rugby union),85000.0
Adam Powell (rugby union),94000.0
Agripina Kundu,66000.0
Alexander Smith (Leichtathlet),115000.0
Alex Smith,115000.0
Alex Smith (athlete),115000.0
Alex Smith (tight end),113400.0
Alex Smith (football américain),113400.0
Anton Collin,71000.0
Anton Collin,71000.0
Anton Collin,71000.0
Anton Collin,71000.0
Barry Stevens,88452.0
Barry Stevens (basketball),88452.0
Barry Stevens,88452.0
Bo Horvat,101153.0
Bo Horvat,101153.0
Bo Horvat,101153.0
Brad Smith (ice hockey),88452.0
Brian Flynn (Eishockeyspieler),83008.8
Brian Flynn (hockey sur glace),83008.8
Brian Flynn (ice hockey),83008.8
Brian Martin (baloncestista),96163.2
Brian Martin (cestista),96163.2
Brian Martin (basketball),96163.2
Brian Martin (basket-ball),96163.2
Brian Noonan,81648.0
Brian Noonan,81648.0
Bryan Engram,90720.0
Carlos Alvarez (American football),83916.0
كريس أنكر سورنسن,64000.0
Chris Anker Sørensen,64000.0
Chris Anker Sørensen,64000.0
Chris Anker Sørensen,64000.0
Chris Anker Sørensen,64000.0
Chris Anker Sørensen,64000.0
クリス・アンカー・セレンセン,64000.0
Chris Anker Sørensen,64000.0
Chris Anker Sørensen,64000.0
Chris Anker Sørensen,64000.0
"Сёренсен, Крис Анкер",64000.0
Chris Anstey,114761.0
Chris Anstey,114761.0
Chris Anstey,114761.0
Chris Anstey,114761.0
Chris Anstey,114761.0
Chris Anstey,114761.0
克里斯·安斯蒂,114761.0
Chris Candido,102060.0
Chris Candido,102060.0
Chris Candido,102060.0
Chris Candido,102060.0
クリス・キャンディード,102060.0
Chris Candido,102060.0
Chris Candido,102060.0
Chris Clark,90720.0
Chris Clark (ice hockey),90720.0
Chris Clark (hockey sur glace),90720.0
"Кларк, Крис (хоккеист)",90720.0
كريس فروم,67500.0
Chris Froome,67500.0
Chris Froome,67500.0
Christopher Froome,67500.0
Chris Froome,67500.0
クリス・フルーム,67500.0
Chris Froome,67500.0
Chris Froome,67500.0
Chris Froome,67500.0
Chris Froome,67500.0
"Фрум, Крис",67500.0
克里斯·弗羅梅,67500.0
Chris Leinweber,83008.8
Chris McQueen,104000.0
Chris McQueen,104000.0
Chris Sandow,82000.0
Chris Sandow,82000.0
Chris Tamer,96163.2
Chris Tamer,96163.2
Christian Steinmetz,62143.2
Christian Steinmetz,62143.2
Christian Steinmetz,62143.2
Christian Steinmetz,62143.2
Collin Ashton,99792.0
Céline Couderc,62000.0
Céline Couderc,62000.0
ديفيد اوليفر (قافز حواجز),92988.0
David Oliver (Leichtathlet),92988.0
David Oliver,92988.0
David Oliver (hurdler),92988.0
David Oliver,92988.0
David Oliver (atleta),92988.0
デビッド・オリバー,92988.0
David Oliver,92988.0
David Oliver,92988.0
David Oliver,92988.0
"Оливер, Дэвид (легкоатлет)",92988.0
David Oliver (ice hockey),88452.0
Delirious (wrestler),91173.6
Delirious (luchador),91173.6
Delirious (catcheur),91173.6
デリリアス,91173.6
William Hunter Johnston,91173.6
Delirious (lutador),91173.6
Don Barry (Canadian football),97524.0
"Don McLean (ice hockey, born 1954)",90720.0
Drago Horvat,83008.8
Francisco José Puertas Soto,88904.1
Francisco Puertas Soto,88904.1
Francisco Puertas Soto,88904.1
George Stone,88452.0
George Stone,88452.0
George Stone (basketball),88452.0
Gergely Horváth,100000.0
Gergely Horváth,100000.0
Heather Frederiksen,69000.0
Helle Frederiksen,53000.0
Helle Frederiksen,53000.0
Helle Frederiksen,53000.0
Helle Frederiksen,53000.0
Hem Kiry,80000.0
Hem Reaksmey,65000.0
Hem Raksmey,65000.0
Henno Mentz,88000.0
Henno Mentz,88000.0
Hervé Touré,100000.0
Hervé Touré,100000.0
Hervé Touré,100000.0
Hervé Touré,100000.0
ヘクター・ソト,85000.0
Héctor Soto,85000.0
Héctor Soto,85000.0
Ivan Horvat (athlétisme),66000.0
Ivan Horvat (lekkoatleta),66000.0
Ivan Horvat (pole vaulter),66000.0
Jack Haley (basketball),108864.0
Jack Haley (baloncestista),108864.0
Jack Haley (cestista),108864.0
Jack Haley (basket-ball),108864.0
"Хэйли, Джек (баскетболист)",108864.0
杰克·哈利,108864.0
Jay Carty,99792.0
Jay Carty,99792.0
Jay Carty,99792.0
杰伊·卡蒂,99792.0
Joanne Deakins,62000.0
John Humphreys (fencer),85000.0
Johnny Candido,113400.0
جوني فلين,87998.4
Jonny Flynn,87998.4
Jonny Flynn,87998.4
Jonny Flynn,87998.4
Jonny Flynn,87998.4
Jonny Flynn,87998.4
Jonny Flynn,87998.4
Jonny Flynn,87998.4
"Флинн, Джонни",87998.4
乔尼·弗林,87998.4
Kanoko Tsutani-Mabuchi,48000.0
Keith Galloway,117000.0
Leo Cullen (rugby union),110000.0
Leo Cullen,110000.0
Leo Cullen,110000.0
萊奧·庫倫,110000.0
Lotte Friis,72000.0
Lotte Friis,72000.0
Lotte Friis,72000.0
Lotte Friis,72000.0
Lotte Friis,72000.0
Lotte Friis,72000.0
Lotte Friis,72000.0
Lotte Friis,72000.0
"Фрийс, Лотте",72000.0
