http://dbpedia.org/ontology/Anime,http://dbpedia.org/ontology/numberOfEpisodes
Underground Ernie,26
Zawiadowca Ernie,26
Wilbur (serie de televisión),26
Wilbur (TV series),26
Papoose on the Loose,1035
De Olympische Avonturen van Fuwa,100
The Olympic Adventures of Fuwa,100
福娃奧運漫遊記,100
Nalong,52
トゥルトゥルトゥ ナロンイ,52
List of Sailor Moon R episodes,43
Episodi di Sailor Moon R,43
Sailor Moon R,43
Список серий «Сейлор Мун» (сезон 2),43
美少女戰士R,43
أحلام هبة (جوهرة القصر),52
Jang Geum's Dream,52
少女チャングムの夢,52
大長今 (動畫),52
Nalong 2,52
快傑ロンマン ナロンイ,52
Shadow Fighter,26
シャドーファイター,26
Ivor the Engine,32
機関車アイバー,32
Ivor the Engine,40
機関車アイバー,40
أحلام (أنمي),26
Noozles,26
ふしぎなコアラブリンキー,26
Noozles,26
Foxbusters,26
Galline alla riscossa,26
