http://dbpedia.org/ontology/Wrestler,http://dbpedia.org/ontology/height
Chris Candido,1.7272
Chris Candido,1.7272
Chris Candido,1.7272
Chris Candido,1.7272
クリス・キャンディード,1.7272
Chris Candido,1.7272
Chris Candido,1.7272
Delirious (wrestler),1.778
Delirious (luchador),1.778
Delirious (catcheur),1.778
デリリアス,1.778
William Hunter Johnston,1.778
Delirious (lutador),1.778
Ilie Matei,1.87
Ilie Matei,1.87
Ilie Matei,1.87
"Матей, Илие",1.87
Ilie Matei,1.87
Johnny Candido,1.8796
Nikolai Volkoff,1.92
Nikolai Volkoff,1.92
Nikolai Volkoff,1.92
Nikolai Volkoff,1.92
ニコライ・ボルコフ,1.92
Nikolai Volkoff,1.92
Nikolai Volkoff,1.92
Nikolai Volkoff,1.92
Николай Волков (рестлер),1.92
尼古拉·沃爾科夫,1.92
Shiro Koshinaka,1.85
Shiro Koshinaka,1.85
Shiro Koshinaka,1.85
越中詩郎,1.85
The Missing Link (wrestler),1.8796
The Missing Link (wrestler),1.8796
デューイ・ロバートソン,1.8796
Dewey Robertson,1.8796
Živilė Raudonienė,1.6764
Živilė Raudonienė,1.6764
Aksana,1.6764
Aksana,1.6764
ジビル・ラウドニーネ,1.6764
Živilė Raudonienė,1.6764
Aksana,1.6764
Aksana,1.6764
Аксана,1.6764
Aksana (wrestler),1.6764
أنطونيو إينوكي,1.8288
Antonio Inoki,1.8288
Antonio Inoki,1.8288
Antonio Inoki,1.8288
Antonio Inoki,1.8288
Antonio Inoki,1.8288
アントニオ猪木,1.8288
Antonio Inoki,1.8288
Antonio Inoki,1.8288
Antonio Inoki,1.8288
"Иноки, Антонио",1.8288
安東尼奧·豬木,1.8288
Bestia 666,1.75
براين آدمز (مصارع),1.9812
Brian Adams (wrestler),1.9812
Brian Adams (Wrestler),1.9812
Brian Adams (luchador),1.9812
Brian Adams (wrestler),1.9812
Brian Adams,1.9812
ブライアン・アダムス (プロレスラー),1.9812
Brian Adams (worstelaar),1.9812
Brian Adams (lutador),1.9812
Bruce Hart (wrestler),1.7526
Bruce Hart,1.7526
Bruce Hart,1.7526
Bruce Hart (lutador),1.7526
Candi Devine,1.7018
Caryn Mower,1.6764
Cherry (wrestler),1.6764
Kara Drew,1.6764
Cherry (wrestler),1.6764
Kara Drew,1.6764
カラ・ドリュー,1.6764
Kara Drew,1.6764
Kara Drew,1.6764
Черри (реслер),1.6764
Christie Ricci,1.778
Damián 666,1.75
Damián 666,1.75
ダミアン666,1.75
Daniel Quirk,1.8288
DASH・チサコ,1.51
Dash Chisako,1.51
Daniel Wheeler,1.778
Dash Wilder,1.778
Dash Wilder,1.778
ダニエル・ウィーラー,1.778
Dash Wilder,1.778
Dash Wilder,1.778
Dash Wilder,1.778
Delta (wrestler),1.77
Gama Singh,1.778
Great Kabuki,1.78
The Great Kabuki,1.78
ザ・グレート・カブキ,1.78
ルシフェルノ,1.75
Hooligan (wrestler),1.75
هوارد فينكل,1.7272
Howard Finkel,1.7272
Howard Finkel,1.7272
Howard Finkel,1.7272
ハワード・フィンケル,1.7272
Howard Finkel,1.7272
Howard Finkel,1.7272
James Green (luchador),1.75
James Green (zapaśnik),1.75
James Green (wrestler),1.75
Jessie Belle Smothers,1.7526
Jigsaw (luchador),1.8796
エド・マグッキン,1.8796
Jigsaw (wrestler),1.8796
Junkyard Dog,1.905
Sylvester Ritter,1.905
Junkyard Dog,1.905
Junkyard Dog,1.905
ジャンクヤード・ドッグ,1.905
Sylvester Ritter,1.905
Junkyard Dog,1.905
جوشن ثوندر ليغر,1.7
Jushin Thunder Liger,1.7
Keiichi Yamada,1.7
Jushin Liger,1.7
Jushin Liger,1.7
Jushin Thunder Liger,1.7
獣神サンダー・ライガー,1.7
Jushin Liger,1.7
Jushin Liger,1.7
Katsuhiko Nagata,1.7018
Katsuhiko Nagata,1.7018
Katsuhiko Nagata,1.7018
永田克彦,1.7018
Katsuhiko Nagata,1.7018
Katsuhiko Nagata,1.7018
Kazuchika Okada,1.91
Kazuchika Okada,1.91
Kazuchika Okada,1.91
オカダ・カズチカ,1.91
Kazuchika Okada,1.91
Kazuchika Okada,1.91
Kazuchika Okada,1.91
Konosuke Takeshita,1.87
竹下幸之介,1.87
Konosuke Takeshita,1.87
KUDO,1.77
Kudo (wrestler),1.77
Luc Poirier,1.95
リュック・ポワリエ,1.95
Mad Dog McPhie,1.905
Mad Dog O'Malley,1.9304
Mark Young (wrestler),1.86
福田雅一,1.8796
Masakazu Fukuda,1.8796
Megumi Kudo,1.63
Megumi Kudo,1.63
工藤めぐみ,1.63
Mike DiBiase II,1.8796
Mike DiBiase II,1.8796
Mike DiBiase II,1.8796
Minoru Fujita,1.78
Minoru Fujita,1.78
藤田ミノル,1.78
Minoru Tanaka (wrestler),1.75
Minoru Tanaka,1.75
Minoru Tanaka,1.75
田中稔 (プロレスラー),1.75
紫雷美央,1.64
Mio Shirai,1.64
春日萌花,1.6
Moeka Haruhi,1.6
ミステル・ニエブラ,1.78
Mr. Niebla,1.78
ناثان جونز (مصارع),2.13
Nathan Jones (wrestler),2.13
Nathan Jones,2.13
Nathan Jones,2.13
Nathan Jones,2.13
Nathan Jones (wrestler),2.13
ネイサン・ジョーンズ,2.13
Nathan Jones,2.13
Nathan Jones,2.13
"Джонс, Натан",2.13
Desmond Wolfe,1.8542
Nigel McGuinness,1.8542
Nigel McGuinness,1.8542
Nigel McGuinness,1.8542
Nigel McGuinness,1.8542
ナイジェル・マッギネス,1.8542
Desmond Wolfe,1.8542
Nigel McGuinness,1.8542
بايج (مصارعة),1.7272
Saraya-Jade Bevis,1.7272
Paige,1.7272
Paige (wrestler),1.7272
Paige (catcheuse),1.7272
サラヤ・ジェイド・ベヴィス,1.7272
Saraya-Jade Bevis,1.7272
Paige (wrestlerka),1.7272
Paige (lutadora),1.7272
"Бевис, Сарая",1.7272
霈橘,1.7272
Paige (wrestler),1.7272
Ricky Reyes,1.7526
Ricky Reyes,1.7526
Ricky Reyes,1.7526
Ricky Reyes,1.7526
Robert Fuller,1.9558
Robert Fuller,1.9558
ロバート・フラー (プロレスラー),1.9558
Santo,1.778
El Santo,1.778
El Santo,1.778
El Santo,1.778
El Santo,1.778
エル・サント,1.778
El Santo,1.778
El Santo,1.778
El Santo,1.778
Takayasu Fukuda,1.77
ベアー福田,1.77
Takayasu Fukuda,1.77
The Crusher (wrestler),1.8288
クラッシャー・リソワスキー,1.8288
ذا ميز,1.8542
The Miz,1.8542
The Miz,1.8542
The Miz,1.8542
Michael Mizanin,1.8542
The Miz,1.8542
ザ・ミズ,1.8542
Mike Mizanin,1.8542
The Miz,1.8542
The Miz,1.8542
"Мизанин, Майк",1.8542
米茲,1.8542
サンダー (プロレスラー),1.95
Thunder (luchador),1.95
Tony Jones (wrestler),1.9558
Tracy Smothers,1.8542
Tracy Smothers,1.8542
Tracy Smothers,1.8542
トレイシー・スマザーズ,1.8542
Tsutomu Hanahara,1.6
Tsutomu Hanahara,1.6
Tsutomu Hanahara,1.6
花原勉,1.6
"Ханахара, Цутому",1.6
Tsutomu Hanahara,1.6
ウルトラマン (プロレスラー),1.76
Ultraman (wrestler),1.76
إدوارد فاتو,1.9304
Umaga (wrestler),1.9304
Edward Umar Fatu,1.9304
Eddie Fatu,1.9304
Eddie Fatu,1.9304
Umaga,1.9304
エディ・ファトゥ,1.9304
Edward Fatu,1.9304
Umaga (wrestler),1.9304
Eddie Fatu,1.9304
"Фату, Эдди",1.9304
Umaga,1.9304
Victor Rivera,1.8542
Victor Rivera,1.8542
ビクター・リベラ,1.8542
Víctor Rivera,1.8542
Victor Rivera,1.8542
يوجي ناغاتا,1.83
Yuji Nagata,1.83
Yuji Nagata,1.83
Yūji Nagata,1.83
永田裕志,1.83
Flash Flanagan,1.8796
クリストファー・カインドレッド,1.8796
Flash Flanagan,1.8796
Mictlán (wrestler),1.76
Aaron Idol,1.8288
Blue Demon Jr.,1.7526
ブルー・デーモン・ジュニア,1.7526
Blue Demon Jr.,1.7526
Blue Demon Jr.,1.7526
Brandon Gatson,1.8288
Cody Deaner,1.8288
コーディ・ディーナー,1.8288
Cody Deaner,1.8288
El Hijo del Fantasma,1.8
El Hijo del Fantasma,1.8
El Hijo del Fantasma,1.8
エル・イホ・デル・ファンタズマ,1.8
El Hijo del Fantasma,1.8
Halfbreed Billy Gram,1.9304
Ian Harrison (wrestler),1.778
Jennifer Blake,1.7018
ジェニファー・ブレイク (プロレスラー),1.7018
Jennifer Blake (wrestler),1.7018
マグノ,1.86
Magno,1.86
Matt Gentry,1.7526
Matt Gentry,1.7526
Stephen Cepello,1.9304
Steve Madison,1.778
The Young Bucks,1.778
Young Bucks,1.778
The Young Bucks,1.778
ヤング・バックス,1.778
The Young Bucks,1.778
The Young Bucks,1.778
The Young Bucks,1.778
Tim Donst,1.778
Toru Ito,1.85
大鷲透,1.85
Toru Owashi,1.85
Vinny Dunn,1.524
يوشي تاتسو,1.85
