http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/numberOfEmployees
American Book Company (1996),25
Nihon Bungeisha,73
نيهون بونغيشا,73
Nihon Bungeisha,73
日本文芸社,73
Txtm8,8
Daily Herald Press,13
GamersGate,25
Crown Estate,397
Crown Estate,397
Crown Estate,397
Crown Estate,397
Собственность Короны,397
Varian Medical Systems,6350
CLS Communication,600
CLS Communication,600
CLS Communication,600
CLS Communication,600
G DATA Software,400
G Data Software,400
G Data,400
G DATA Software,400
G Data Software,400
G-DATA,400
G DATA Software,400
G Data,400
Language Connect,55
Norbest,200
