http://dbpedia.org/ontology/Food,http://dbpedia.org/ontology/width
Lada Niva,1.68
لادا نيفا,1.68
Lada Taiga,1.68
Lada Niva/VAZ-2121,1.68
Lada Niva,1.68
Lada-Vaz Niva,1.68
Lada Niva,1.68
ラーダ・ニーヴァ,1.68
Łada Niva,1.68
ВАЗ-2121,1.68
Lada Niva,1.68
British Rail Class 10,2.4384
Class 10,2.4384
Sabre (tank),2.2
セイバー偵察装甲車,2.2
Rolls-Royce Wraith (1938),1.87
Rolls-Royce Wraith (1938),1.87
Rolls-Royce Wraith,1.87
Rolls-Royce Wraith,1.87
Rolls-Royce Wraith (Berline),1.87
Rolls-Royce Wraith,1.87
ロールス・ロイス・レイス,1.87
Rolls-Royce Wraith,1.87
BMW 3er Gran Turismo,1.828
BMW Serie 3 GT,1.828
BMW 3-serie Gran Turismo,1.828
BMW 3 Gran Turismo,1.828
BMW F34,1.828
BMW 3 Series Gran Turismo,1.828
