http://dbpedia.org/ontology/Valley,http://dbpedia.org/ontology/maximumElevation
Aliso Canyon,304.8
West Doubtful Canyon,1609.34
Goose Lake Valley,2577.39
Lake Valley (Nevada),1994.61
Hochwüste (Oregon),2966.62
Haut désert de l'Oregon,2966.62
High Desert (Oregon),2966.62
High Desert (Oregon),2966.62
Min-Kush Valley,3100.0
Lanfair Valley,1232.92
Avra Valley,840.638
وادي غروس,1049.0
Grose Valley,1049.0
Doubtful Canyon,1676.4
Gila Valley (Graham County),885.749
Lonesome Valley,1533.14
Bridgeport Valley,2858.11
Goshute Valley,1787.35
Weld Valley,1268.0
Antelope Valley (Lander County),1803.5
Aubrey Valley,1533.14
Altar Valley,1255.78
Lidder Valley,2420.11
Sind Valley,2854.15
