http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/runwayLength
Kotoka International Airport,3403.0
Flughafen Accra,3403.0
Aeropuerto Internacional de Kotoka,3403.0
Aeroporto Internazionale Kotoka,3403.0
Aéroport international de Kotoka,3403.0
コトカ国際空港,3403.0
Luchthaven Kotoka Internationaal,3403.0
Port lotniczy Akra,3403.0
Aeroporto Internacional Kotoka,3403.0
Котока (аэропорт),3403.0
科托卡国际机场,3403.0
Kotoka International Airport,3403.09
Flughafen Accra,3403.09
Aeropuerto Internacional de Kotoka,3403.09
Aeroporto Internazionale Kotoka,3403.09
Aéroport international de Kotoka,3403.09
コトカ国際空港,3403.09
Luchthaven Kotoka Internationaal,3403.09
Port lotniczy Akra,3403.09
Aeroporto Internacional Kotoka,3403.09
Котока (аэропорт),3403.09
科托卡国际机场,3403.09
