http://dbpedia.org/ontology/WinterSportPlayer,http://dbpedia.org/ontology/weight
Eric Heiden,84000.0
إريك هايدن,84000.0
Eric Heiden,84000.0
Eric Heiden,84000.0
Eric Heiden,84000.0
Eric Heiden,84000.0
エリック・ハイデン,84000.0
Eric Heiden,84000.0
Eric Heiden,84000.0
"Хайден, Эрик",84000.0
Eric Heiden,84000.0
埃里克·海登,84000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
Gerard van Velde,87000.0
"Ван Велде, Герард",87000.0
Gretha Smit,60000.0
Gretha Smit,60000.0
Gretha Smit,60000.0
Gretha Smit,60000.0
Gretha Smit,60000.0
Hayley Wickenheiser,73029.6
هايلي ويكينهايزر,73029.6
Hayley Wickenheiser,73029.6
Hayley Wickenheiser,73029.6
Hayley Wickenheiser,73029.6
Hayley Wickenheiser,73029.6
Hayley Wickenheiser,73029.6
"Виккенхайзер, Хейли",73029.6
Jakko Jan Leeuwangh,91000.0
Jakko Jan Leeuwangh,91000.0
Jakko Jan Leeuwangh,91000.0
Jan Bos,83000.0
جان بوس,83000.0
Jan Bos,83000.0
Jan Bos,83000.0
Jan Bos,83000.0
ヤン・ボス,83000.0
Jan Bos,83000.0
Jan Bos,83000.0
"Бос, Ян",83000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
Jochem Uytdehaage,70000.0
"Эйтдехаге, Йохем",70000.0
Renate Groenewold,73000.0
Renate Groenewold,73000.0
Renate Groenewold,73000.0
Renate Groenewold,73000.0
Renate Groenewold,73000.0
"Груневолд, Ренате",73000.0
Wayne Gretzky,83916.0
واين جريتزكي,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
ウェイン・グレツキー,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
Wayne Gretzky,83916.0
"Гретцки, Уэйн",83916.0
韦恩·格雷茨基,83916.0
Bo Horvat,101153.0
Bo Horvat,101153.0
Bo Horvat,101153.0
Brad Smith (ice hockey),88452.0
Brian Flynn (Eishockeyspieler),83008.8
Brian Flynn (hockey sur glace),83008.8
Brian Flynn (ice hockey),83008.8
Brian Noonan,81648.0
Brian Noonan,81648.0
Chris Clark,90720.0
Chris Clark (ice hockey),90720.0
Chris Clark (hockey sur glace),90720.0
"Кларк, Крис (хоккеист)",90720.0
Chris Leinweber,83008.8
Chris Tamer,96163.2
Chris Tamer,96163.2
David Oliver (ice hockey),88452.0
"Don McLean (ice hockey, born 1954)",90720.0
Drago Horvat,83008.8
Magnus Johansson (Eishockeyspieler),81648.0
Magnus Johansson,81648.0
Magnus Johansson (ice hockey),81648.0
Magnus Johansson (hokeista),81648.0
"Юханссон, Магнус",81648.0
Michael Stone (Eishockeyspieler),90720.0
Michael Stone (hockey sur glace),90720.0
Michael Stone (ice hockey),90720.0
Peter Schaefer,90720.0
Peter Schaefer (ice hockey),90720.0
Peter Schaefer,90720.0
"Шефер, Питер",90720.0
Raman Hrabarenka,104328.0
Raman Hrabarenka,104328.0
Raman Hrabarenka,104328.0
"Граборенко, Роман Андреевич",104328.0
Raman Hrabarenka,104328.0
Rocco Grimaldi,81648.0
Rocco Grimaldi,81648.0
Rocco Grimaldi,81648.0
Sven Andrighetto,84823.2
Sven Andrighetto,84823.2
"Андригетто, Свен",84823.2
Sven Andrighetto,84823.2
Sven Butenschön,97524.0
Sven Butenschön,97524.0
Sven Butenschön,97524.0
Ted Harris (ice hockey),79380.0
Ted Harris,79380.0
Adam Brown (ice hockey),79380.0
Adam Larsson,93441.6
Adam Larsson,93441.6
Adam Larsson,93441.6
Adam Larsson,93441.6
"Ларссон, Адам",93441.6
Adam Larsson,93441.6
Adam McQuaid,94802.4
Adam McQuaid,94802.4
Adam McQuaid,94802.4
Al MacNeil,81648.0
Al MacNeil,81648.0
Al MacNeil,81648.0
Al MacNeil,81648.0
Alexander Michailowitsch Buturlin,89812.8
"Бутурлин, Александр Михайлович",89812.8
Alexander Buturlin (ice hockey),89812.8
"Макаров, Александр Сергеевич (хоккеист)",92988.0
"Alexander Makarov (ice hockey, born 1989)",92988.0
Alexandre Picard (Eishockeystürmer),93441.6
Alexandre Picard (ice hockey),93441.6
"Alexandre Picard (hockey sur glace, octobre 1985)",93441.6
Alexandre Picard (attaccante di hockey su ghiaccio),93441.6
Andrew Campbell (Eishockeyspieler),93441.6
Andrew Campbell,93441.6
Andrew Campbell (ice hockey),93441.6
Andrew Clark (ice hockey),86184.0
Andrew Ladd,92988.0
Andrew Ladd,92988.0
Andrew Ladd,92988.0
Andrew Ladd,92988.0
"Лэдд, Эндрю",92988.0
Andy Brown (ice hockey),83916.0
Andy Brown,83916.0
Angelo Esposito,86184.0
Angelo Esposito,86184.0
Angelo Esposito,86184.0
Anthony Stewart,102060.0
Anthony Stewart (ice hockey),102060.0
Anthony Stewart,102060.0
Anthony Stewart,102060.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
Arianna Fontana,55000.0
"Фонтана, Арианна",55000.0
阿莉安娜·方塔娜,55000.0
Billy Thompson (ice hockey),90720.0
Billy Thompson (hockey sur glace),90720.0
Björn Svensson,87091.2
Blair Betts,95256.0
Blair Betts,95256.0
Blair Betts,95256.0
"Беттс, Блэйр",95256.0
Bob Ferguson (ice hockey),83916.0
Bobby Carpenter,90720.0
Bobby Carpenter (ice hockey),90720.0
Bobby Carpenter,90720.0
Brad Moran,82555.2
Brad Moran (ice hockey),82555.2
Brandon Nolan,86184.0
Brendan Smith (Eishockeyspieler),89812.8
Brendan Smith (hockey sur glace),89812.8
Brendan Smith (ice hockey),89812.8
Brendan Smith,89812.8
"Смит, Брендан (хоккеист)",89812.8
Brendan Witt,101153.0
Brendan Witt,101153.0
Brendan Witt,101153.0
"Уитт, Брендан",101153.0
Brett Harkins,78019.2
Brett Harkins,78019.2
Brett Hull,90720.0
Brett Hull,90720.0
Brett Hull,90720.0
ブレット・ハル,90720.0
Brett Hull,90720.0
"Халл, Бретт",90720.0
Brett Hull,90720.0
Brett Sterling,79380.0
Brett Sterling,79380.0
Brett Sterling,79380.0
Brian Hill (ice hockey),79380.0
"Brian Smith (ice hockey, born 1937)",80740.8
"Brian Smith (ice hockey, born 1940)",77112.0
Bryan Rust,87091.2
Bryan Rust,87091.2
"Раст, Брайан",87091.2
Bryan Rust,87091.2
Cassian Delsar,82101.6
Cassian Delsar,82101.6
Clarke Wilm,91627.2
Clarke Wilm,91627.2
Corey Schwab,81648.0
Corey Schwab,81648.0
Corey Schwab,81648.0
Craig Adams (ice hockey),90720.0
Craig Adams,90720.0
Craig Adams (hockey sur glace),90720.0
Craig Adams (hockeista su ghiaccio),90720.0
"Адамс, Крэйг",90720.0
Dan Cloutier,88452.0
Dan Cloutier,88452.0
Dan Cloutier,88452.0
"Клотье, Дэн",88452.0
Daniel Gauthier,87091.2
Daniel Gauthier,87091.2
Danijel Kovačič,71215.2
Danijel Kovacic,71215.2
Darren McCarty,99338.4
Darren McCarty,99338.4
Darren McCarty,99338.4
Darren Pang,70308.0
Darren Pang,70308.0
Darren Pang,70308.0
Darren Rumble,95256.0
Darren Rumble (ice hockey),95256.0
Darren Rumble,95256.0
Darren Turcotte,86184.0
Darren Turcotte,86184.0
Darren Turcotte,86184.0
Dave Clancy,77565.6
David Clarke (Eishockeyspieler),90720.0
David Clarke (ice hockey),90720.0
David Clarke,90720.0
David Clarke,90720.0
David Hale,99792.0
David Hale (ice hockey),99792.0
David Hale (hockey sur glace),99792.0
David Hale,99792.0
"Хэйл, Дэвид",99792.0
David Kudla,104782.0
David Littman (ice hockey),88452.0
David Schneider (ice hockey),86184.0
Denis Arkhipov,96616.8
Denis Michailowitsch Archipow,96616.8
Denis Arkhipov,96616.8
Dienis Archipow,96616.8
"Архипов, Денис Михайлович",96616.8
Denis Gauthier,102060.0
Denis Gauthier,102060.0
Denis Gauthier,102060.0
"Готье, Дени (хоккеист)",102060.0
Derek Roy,83462.4
Derek Roy,83462.4
Derek Roy,83462.4
"Рой, Дерек",83462.4
"Derek Smith (ice hockey, born 1954)",81648.0
"Derek Smith (Eishockeyspieler, 1984)",90720.0
"Derek Smith (hockey sur glace, 1984)",90720.0
"Derek Smith (ice hockey, born 1984)",90720.0
Dmitry Arkhipov,98884.8
Dmitri Olegowitsch Malzew,89812.8
"Мальцев, Дмитрий Олегович",89812.8
Dmitry Maltsev,89812.8
Doug Brown,83916.0
Doug Brown (ice hockey),83916.0
Douglas Brown,83916.0
Duane Rupp,88452.0
Dusty Collins,95256.0
Dusty Collins,95256.0
Fernando Pisani,92988.0
Fernando Pisani,92988.0
Fernando Pisani,92988.0
Frédérik Gauthier,97070.4
Frédérik Gauthier,97070.4
Gabe Gauthier,90720.0
Gabe Gauthier,90720.0
George Hay (ice hockey),70308.0
George Hay (hockey sur glace),70308.0
George Hughes (ice hockey),81648.0
George McNaughton,68040.0
George McNaughton,68040.0
George McPhee,77112.0
George McPhee,77112.0
George McPhee,77112.0
"Макфи, Джордж",77112.0
Gerry Meehan,90720.0
Gerry Meehan,90720.0
Gerry Meehan,90720.0
Gilles Tremblay (ice hockey),77112.0
Gilles Tremblay (hockey sur glace),77112.0
"Трамбле, Жиль (хоккеист)",77112.0
Glen Hanlon,83916.0
Glen Hanlon,83916.0
Glen Hanlon,83916.0
"Хэнлон, Глен",83916.0
Greg Davis (ice hockey),88452.0
Greg Fox (ice hockey),86184.0
Greg de Vries,97524.0
Greg de Vries,97524.0
Greg de Vries,97524.0
"Девриз, Грег",97524.0
Hib Milks,74844.0
Hib Milks,74844.0
Hib Milks,74844.0
Håkan Wickberg,78926.4
Håkan Wickberg,78926.4
Håkan Wickberg,78926.4
Håkan Wickberg,78926.4
Isabelle Chartrand,61236.0
Jack Jackson (ice hockey),83916.0
Jacques Cloutier,70308.0
Jacques Cloutier,70308.0
Jacques Cloutier,70308.0
James Livingston (ice hockey),87091.2
Jamie Bates (ice hockey),88452.0
Jamie Benn,95256.0
Jamie Benn,95256.0
Jamie Benn,95256.0
Jamie Benn,95256.0
"Бенн, Джейми",95256.0
Jamie Benn,95256.0
Jamie Masters,86184.0
Jason Becker (ice hockey),97977.6
Jason Jaffray,94802.4
Jason Jaffray,94802.4
Jason Jaffray,94802.4
Jean-Luc Grand-Pierre,103421.0
Jean-Luc Grand-Pierre,103421.0
Jean-Luc Grand-Pierre,103421.0
Jean-Sébastien Giguère,91173.6
Jean-Sébastien Giguère,91173.6
Jean-Sébastien Giguère,91173.6
Jean-Sébastien Giguère,91173.6
Jean-Sébastien Giguère,91173.6
"Жигер, Жан-Себастьян",91173.6
Jean Gauthier,88905.6
Jean Gauthier,88905.6
Jeff Hamilton (Eishockeyspieler),81648.0
Jeff Hamilton (ice hockey),81648.0
Jeff Hamilton,81648.0
"Jeff Hamilton (hockey sur glace, 1977)",81648.0
Jeremy Morin,87091.2
Jeremy Morin,87091.2
"Морин, Джереми",87091.2
Jeremy Morin,87091.2
Jeremy Williams,87998.4
Jeremy Williams (ice hockey),87998.4
Jerred Smithson,94802.4
Jerred Smithson,94802.4
Jerred Smithson,94802.4
Jesse Blacker,86184.0
Jim Cummins (Eishockeyspieler),90720.0
Jim Cummins (ice hockey),90720.0
Jim Cummins,90720.0
Jim O'Brien (hockey sur glace),90720.0
Jim O'Brien (ice hockey),90720.0
Jim Walsh (ice hockey),95256.0
Jim Watson (ice hockey),84369.6
"Johan Larsson (Eishockeyspieler, 1986)",89812.8
"Johan Larsson (hockey sur glace, 1986)",89812.8
"Johan Larsson (ice hockey, born 1986)",89812.8
"Johan Larsson (Eishockeyspieler, 1992)",93441.6
"Johan Larsson (hockey sur glace, 1992)",93441.6
Johan Larsson (hokeista ur. 1992),93441.6
"Johan Larsson (ice hockey, born 1992)",93441.6
John Barrett (ice hockey),95256.0
John Henderson (ice hockey),78926.4
Jordie Benn,90720.0
Jordie Benn,90720.0
"Бенн, Джорди",90720.0
Jordie Benn,90720.0
Jordin Tootoo,90266.4
Jordin Tootoo,90266.4
Jordin Tootoo,90266.4
Jordin Tootoo,90266.4
Jordin Tootoo,90266.4
"Туту, Джордин",90266.4
Joseph McCormick (Eishockeyspieler),67132.8
Joseph McCormick (ice hockey),67132.8
Ján Mucha (ice hockey),84823.2
Keith Brown (ice hockey),88905.6
Keith Brown,88905.6
Keith McCreary,81648.0
Keith McCreary,81648.0
Keith McCreary,81648.0
"Kelly Miller (ice hockey, born 1963)",89812.8
"Kelly Miller (hockey sur glace, 1963)",89812.8
"Kelly Miller (hockey sur glace, 1979)",77112.0
"Kelly Miller (ice hockey, born 1979)",77112.0
Kevin Dean (Eishockeyspieler),88452.0
Kevin Dean (ice hockey),88452.0
Kevin Dean,88452.0
Kevin Lynch (ice hockey),92988.0
Kim Issel,81648.0
King Clancy,70308.0
King Clancy,70308.0
King Clancy,70308.0
Krzysztof Oliwa,111132.0
