http://dbpedia.org/ontology/SoccerPlayer,http://dbpedia.org/ontology/runwayLength
مطار سيلفيو بيتيروسي الدولي,3352.8
Flughafen Asunción,3352.8
Silvio Pettirossi International Airport,3352.8
Aeropuerto Internacional Silvio Pettirossi,3352.8
Aéroport international Silvio Pettirossi,3352.8
シルビオ・ペッティロッシ国際空港,3352.8
Aeropuerto Internacional Silvio Pettirossi,3352.8
Port lotniczy Asunción,3352.8
Aeroporto Internacional Silvio Pettirossi,3352.8
西爾維奧·佩蒂羅西國際機場,3352.8
مطار سيلفيو بيتيروسي الدولي,3353.0
Flughafen Asunción,3353.0
Silvio Pettirossi International Airport,3353.0
Aeropuerto Internacional Silvio Pettirossi,3353.0
Aéroport international Silvio Pettirossi,3353.0
シルビオ・ペッティロッシ国際空港,3353.0
Aeropuerto Internacional Silvio Pettirossi,3353.0
Port lotniczy Asunción,3353.0
Aeroporto Internacional Silvio Pettirossi,3353.0
西爾維奧·佩蒂羅西國際機場,3353.0
