http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/ontology/shipBeam
Bayfield-class attack transport,21.0312
E-boat,5.06
Schnellboot,5.06
Schnellboot,5.06
S-Boot,5.06
Schnellboot,5.06
Sボート,5.06
Schnellboot,5.06
Торпедный катер,5.06
S艇,5.06
Projekt L 20 e α,33.5
Classe L 20 α,33.5
L 20 α-class battleship,33.5
HMCS Arras,7.62
Salmon-class submarine,7.9248
Classe Salmon,7.9248
サーモン級潜水艦,7.9248
Okręty podwodne typu Salmon,7.9248
HMCS Vimy,7.0104
HMCS Armentières,7.62
HMCS Festubert,7.0104
HMCS Loos,7.62
HMCS St. Eloi,7.0104
HMCS St. Julien,7.0104
Super-Yamato-Klasse,38.9
Design A-150 battleship,38.9
Diseño A-150,38.9
Classe A-150,38.9
超大和型戦艦,38.9
Pancerniki projektu A-150,38.9
超大和型戰艦,38.9
Crescent City-class attack transport,19.2024
HMCS Givenchy,7.62
HMCS Messines,7.0104
Australian Army ship Crusader (AV 2767),15.24
