http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/squadNumber
Tipografía Nacional,5
2013–14 Maccabi Tel Aviv F.C. season,21
Fortuna Ålesund,15
2003–04 Manchester City F.C. season,32
CWKS Resovia,15
Vipers SC,6
Tipografía Nacional,13
2013–14 Maccabi Tel Aviv F.C. season,30
HSG Wetzlar,7
Union Royale La Louvière Centre,87
Benadir SC,11
Los Angeles Skyhawks,13
Banadir Sports Club,5
Manchester City Football Club 2002-2003,15
CWKS Resovia,9
Banaadir Telecom FC,2
CWKS Resovia,17
Manchester City Football Club 2004-2005,38
CWKS Resovia,9
2013–14 Maccabi Tel Aviv F.C. season,31
2014–15 Viborg FF season,14
HSG Wetzlar,27
Shandong Province Youth Football Team,22
Sport Bissau e Benfica,5
Sport Bissau e Benfica,2
CWKS Resovia,3
Manchester City Football Club 2004-2005,28
2003–04 Manchester City F.C. season,33
Manchester City Football Club 2004-2005,42
2003–04 Manchester City F.C. season,26
Manchester City Football Club 2004-2005,3
Banadir Sports Club,28
山东省男子队 (2011年),4
Manchester City Football Club 2002-2003,40
Toledo BM,2
Shandong Province Youth Football Team,29
2003–04 Manchester City F.C. season,28
Manama Club,9
UR La Louvière Centre,8
FK Brskovo,32
Tipografía Nacional,7
HSG Wetzlar,25
HSG Wetzlar,27
Banadir Sports Club,25
2014–15 Viborg FF season,19
HSG Wetzlar,15
Vipers SC,7
Toledo BM,24
山东省男子队 (2011年),28
Tenaga Nasional Berhad HC,19
Shandong Province Youth Football Team,7
Tacoma Tides,1
UR La Louvière Centre,83
Vipers SC,27
HSG Wetzlar,21
Resovia Rzeszów,14
FK Bratstvo Cijevna,14
HBL FC,10
Benfica de Bissau,23
F.C. Cape Town,28
Manchester City Football Club 2004-2005,41
HSG Wetzlar,29
Handballspielgemeinschaft Wetzlar Handball,26
