http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
هاسفيك,547246063
Contea di Bracken,520344618
Anoka County,1143940377
Stokke,111910002
"Бат (округ, Кентукки)",749440045
"Аллегейни (округ, Пенсильвания)",1829416399
Эйгерсунн,397393535
أفون (كولورادو),21147403
Ванюльвен,353639317
Bristol County (Massachusetts),1471276032
ハリバートン郡,4085585005
Contea di Doniphan,1042243105
ネバダ州,275310888334
"Volusia County, Florida",2780257687
Балестранн,406803038
Реннебу,960573442
Meløy,835846049
"Бивер (округ, Пенсильвания)",1106188196
Tennessee,103348455600
博根縣,601736844
Лаванген,298786159
مقاطعة رولنز (كانساس),2707464097
"Ben Hill County, Georgia",631476954
"Брэдли (округ, Арканзас)",1660526546
نوتودن,812117032
ラノディエール地域,12381611732
Eidsberg,236222018
Sokndal,257770183
Contea di Pratt,1844505021
Tjeldsund (Kommune),311327665
Hrabstwo Travis,2487733865
Hrabstwo Bath (Kentucky),728318886
هارستاد,418059686
Contea di Bedford (Virginia),1967731866
Modalen,367894333
Wilson County (Kansas),1414812398
Hrabstwo Bradley (Arkansas),1714635993
Sykkylven,332591513
Melhus,672724058
Suldal,1648432272
Bradford County (Pennsylvania),3067745013
Comté d'Adair (Kentucky),996584622
レンフルー郡,7138377569
Мосс (Норвегия),57319474
Tennessee,102894675322
Эурскуг-Хёланн,909883834
Andebu,177451251
Nannestad,337231687
Valle (Noruega),1184697876
مقاطعة وياندوت (كانساس),404610108
Nordreisa,3237433239
"Аллегейни (округ, Мэриленд)",1090963056
مقاطعة آدمز (نبراسكا),1530685491
Marshall County (Kansas),2239837972
Sauda,520362164
Hrabstwo Bristol (Massachusetts),1362768659
Contea di Pottawattamie,2487108050
Våler i Hedmark,649274509
Gjerstad,294108448
Benton County (Mississippi),1075903012
Ланодьер,12879731826
Batticaloa (district),2722641641
Сельюр,686917690
Contea di Benson,3690651934
Logan County (Kansas),2860444259
Allen County (Kansas),1293826555
"Аплинг (округ, Джорджия)",1288313931
Condado de Dickinson (Kansas),2216611711
Condado de Wyandotte,405990934
Comté de Bland (Virginie),944537502
Hrabstwo Boone (Arkansas),1602825272
Comté d'Addison,1884738990
ラサール郡 (イリノイ州),3049868225
مقاطعة أندرسون (كانساس),1467699700
"Блаунт (округ, Алабама)",1746762935
Torsken,224679563
Adams County (Idaho),3474451845
Labette County,1613242027
Condado de Lincoln (Kansas),1828615536
Comté d'Armstrong (Pennsylvanie),1700648701
"Adams County, Pennsylvania",1277849120
Contea di Bell (Kentucky),884521140
"Carteret County, North Carolina",1302523039
"Boyle County, Kentucky",486898962
Rhode Island (staat),2723231747
アントリム郡 (ミシガン州),1258531512
Мельдал,600813213
Ampara (district),4163944105
Tysvær,412801478
Comté de Bracken,538630413
奧克達爾,566086831
Karasjok,4994453470
Holmestrand,83618085
Decatur County (Kansas),2304822541
Masfjorden,497096664
Contea di Carter (Tennessee),857082316
Comté de Traill,2121479875
Røyrvik,1376916417
"Барбур (округ, Западная Виргиния)",868354245
Eidfjord (Kommune),1402564917
"Болдуин (округ, Джорджия)",665943720
مقاطعة أدير (ميزوري),1463679428
"Ассеншен (приход, Луизиана)",734725691
Comté d'Anderson (Kansas),1473889620
Halsa,306949524
サウスカロライナ州,81055029363
Fresno County,15959631959
"Stanton County, Kansas",1683906621
Comté d'Anson,1437493431
Comté de Belknap,1061002654
مقاطعة لابيت (كانساس),1671429492
Condado de Siskiyou,16449951038
Trøgstad,186703739
Hrabstwo Westmorland,3518934544
博肯,45564500
Condado de Baltimore,1535234853
Ås,100213548
Smøla,261869407
مقاطعة بيتز (ميزوري),2136990659
內布拉斯加州,191176107978
Askøy,92090558
Molde,368238759
Contea di Baca,6718816425
Hemsedal,715790490
Лёдинген,509450467
Нуре-ог-Увдал,2382139363
貝縣 (密歇根州),1129628946
巴爾斯菲尤爾,1390517226
Solund,209575431
Andøy,614033131
"Angelina County, Texas",2144347445
Lennox and Addington County,2953862572
Ål (gemeente),1082980112
Grong,1145310776
Condado de Atlantic,1496685485
Bastrop County,2283166497
Attala County,1987421634
Melhus,671721416
Harvey County,1467965093
مقاطعة بيوريغارد,3100749979
"Ottawa County, Kansas",1922603495
Hof (Norwegia),141192679
Contea di Pulaski (Indiana),1119888861
Maryland,25124651844
Steigen,976009860
"Lawrence County, Indiana",1215845628
Nord-Fron,1094998286
多尼芬縣 (堪薩斯州),1041095570
"Thomas County, Kansas",2772852849
Contea di Stanton (Kansas),1788204861
艾于蘭,1393129057
Comté d'Albemarle,1915853051
Malvik,168626382
Rømskog,164943608
Хьельсунн,317927780
Bamble,295759764
Kristiansund,86417970
Южная Каролина,76342089816
比佛縣 (賓夕法尼亞州),1178356799
アルーストック郡 (メイン州),17597639722
Contea di Albany (Wyoming),10923436096
安德于,612648852
Røros,1718459521
Contea di Meade (Kansas),2466969870
Bollinger County,1652117813
"Одюбон (округ, Айова)",1140688545
Rælingen,58574251
Лексвик,381063323
Karlsøy,997787748
Marker (Norvegia),383640063
杰佛逊堂区 (路易斯安那州),770548265
Улленсакер,250037286
Vevelstad,523016137
Vadsø,1280563337
Namdalseid,770489254
Herøy (Nordland),63627245
"Расселл (округ, Канзас)",2229413431
尼歐肖縣 (堪薩斯州),1444977316
Contea di Allen (Kansas),1327748108
Hrabstwo Adams (Ohio),1468668347
Contea di DuPage,842508115
Flå,700983854
Øyer,631264601
New Mexico,328605275087
Гамвик,1350286725
Contea di Benton (Washington),4413749867
Bø (Nordland),235899175
"Franklin County, Kansas",1416124004
Contea di Cowley,2919086777
Осерал,758638921
テュスフィヨール,1386207301
Virginia Occidental,65166975540
Ørsta,798085002
Rennebu,954690236
Vega (Norwegia),154606427
Granvin,196530978
巴特勒縣 (堪薩斯州),3765902652
Lanark County,2967124389
Marnardal,374718780
Comté de Harper (Kansas),2011339782
兰纳尔斯县 (德克萨斯州),2600937026
Vågå,1211806643
"Andrew County, Missouri",1091138806
Inyo County,26641935332
Masfjorden,505358260
رينغساكر,1104103906
Eidskog,628154626
Kentucky,104028031859
Comté de Brevard,2578750200
Contea di Kings (Nuova Scozia),2048904343
Vik,773215728
古爾 (挪威),536929281
Comté de Berks,2182892767
Comté d'Elko,45640559402
Bradley County (Tennessee),843166852
布拉福縣 (賓夕法尼亞州),2922934449
Comté d'Annapolis,3048548162
Condado de Beaver (Oklahoma),4859626950
Xian de Pingtan,386861388
比縣 (德克薩斯州),2241487582
Comté de Kane (Illinois),1390869161
Hyllestad,257752727
Condado de Ada,2659880404
Gausdal,1150279979
Allegheny County,1975145298
アンドロスコッギン郡 (メイン州),1236321277
勒羅斯,1750749057
貝阿恩 (挪威),1145138297
Bardu,2450162869
مقاطعة بركس (بنسيلفانيا),2130999056
Sogndal,756994535
Ордал,963474417
Lebesby,3164169991
Sør-Fron,690161971
Sørreisa (gemeente),362604313
Nesodden,62667345
"Беркс (округ, Пенсильвания)",2227441514
Contea di Arthur,1776053889
Fredrikstad,279868500
