http://dbpedia.org/ontology/Train,http://dbpedia.org/ontology/weight
Schienenzeppelin,20750677
Shinkansen E5,442465674
FS ALe 801 und ALe 940,67130779
TMK 101,14525828
Electroliner,100898605
Locomotiva DB 401,52786541
R62A (New York City Subway car),34899533
Stadler Dosto,289726096
Britische Klasse 395,269479900
NSB Class 83,34477045
JR Shikoku 1000 series,30600551
Séries N700 - Shinkansen,731610350
Taipei Metro C341,40339343
ETR 490,159641805
Treno Servizio Regionale,51802737
Sydney O-Class Tram,18683166
KiHa 11,29061566
Amfleet,47995573
Škoda 14 T,39467077
RENFE serie 490,160458041
C3 (railcar),68814863
Britische Klasse 185,164649890
R8A (New York City Subway car),27373153
CAF Urbos,34882748
ETR 470,769277159
Autorail AR41,89140292
FS ALe 724,57710598
ETR 600,394705478
X40,144653428
HHA Typ DT1,49205656
V250 (train),411159497
VR Class Dm11,44089326
R7 (New York City Subway car),39100001
207 series (JR East),297991396
British Rail Class 153,42784979
Acela Express,580831585
ICE 3,406563512
Kintetsu 23000 series,235074512
ČSD-Baureihe M 152.0,20813483
Elettrotreno DB 422,108259877
Tram ATM serie 4600 e 4700,27778689
British Rail Class 438,33719380
Budd Rail Diesel Car (RDC),52461886
British Rail Class 395,278080606
SJ X2,73336183
法國國鐵TGV Duplex列車,395055474
British Rail Class 175,94570391
British Rail Class 142,47715660
西班牙国铁100型电力动车组,379020682
KiHa 160,32965841
JR四国1000形気動車,30527994
スーパーライナー (客車),68623306
NZR RM class (Silver Fern),106016509
DB Class 614,147356880
ETR 200,121103202
スイス国鉄RABDe510形電車,161630378
ATM Class 4900,30359950
Alfa Pendular,298590283
FS Class ALe 724,56695750
SL X60,213218921
TGV 2N2,397897295
SL X10,98137465
Keikyu 1000 series,35730146
2000 class railcar,70477267
ICE-2列車,423933968
ETR 600,388271551
Automotrice RhB ABe 4/4 III,47806755
RhB ABe 4/4 (Stammnetz),38114117
ICE 3,400135325
TS Class 3,11915177
RŽD-Baureihe ЭС1,256456867
Рельсовый Цеппелин,20400626
