http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
Ilhéu Bombom,15
Thurø,3568
Île de Batz,565
海峡群岛,158602
Ilha Kotelny,1
薩爾島,35270
Kauai,64615
Dalupiri Island,603
Chetwode Islands,0
Toau,18
Rakahanga,132
伊尼什默里島,0
Ross Island (Andaman),10
Sainte Anne (Insel),38
Beall Island,0
Abemama,3335
جزيرة ماكيناك,469
Saint Croix,48870
Sylt,20656
科尔古耶夫岛,294
New Hanover Island,17569
Clarence (eiland),0
Styrsö,1239
Kiusiu,12599176
Seszele,95844
Carriacou,7749
Фараулеп,222
Rockall,0
パンテッレリーア,7346
シュガー島 (ミシガン州),696
Tybee Island,2890
Terre-de-Bas (île des Saintes),1081
Leyte (isola),2274694
Spiekeroog,802
Rochedo Hetty,0
Petalouda,0
Табитеуэа,4895
Terceira,58625
波利艾戈斯島,0
Джаннутри,26
Burhou,0
Baltrum,487
Rabi,5030
Солентинаме,1029
Omø,174
Tybee Island (Georgia),2969
Ko Samui,62818
Бачан,60550
帕爾馬羅拉島,0
Geography of Nauru,9561
セーブル島,5
Kosrae,6826
Agioi Apostoloi,0
Hereheretue,57
Ilha Anticosti,240
Røvær,95
Wielki Andaman,321888
Sumatra,51446126
Ibiza (eiland),133935
White Island (Nunavut),0
Ilhas Pordim,0
厄兰岛,25117
賈盧伊特環礁,1808
ニアス島,788716
Oxeia,0
Honshu,103688935
Камчатка,311232
トスカーナ群島,34158
Dokos,18
Bornholm,38106
Île Victoria (Russie),0
Bjørnsund,0
Île-de-Bréhat,404
Bickerton Island,177
Мили,984
Islote de Cima,0
エロマンガ島,1862
Puka Rua,221
Ōnohara Islands,0
Ellingsøy,2075
Plavnik,0
Prvić (Šibenik),399
賈普坦島,109
Endelave,187
Kosrae,6494
North Jutlandic Island,284527
Spinalonga,0
Vega Island,0
布倫島,737
Скувой,54
Carriacou,8144
Isla Nikumaroro,0
Хольбош,1175
Islas de la Magdalena,12608
Belcher Islands,780
Andaman du Sud,219294
Tatakoto,273
Geography of the Isle of Man,77926
Isla Melville,0
Ibiza,138234
Knox-Atoll,0
Moorea,16804
Suwanosejima,46
Praslin (Seychelles),7917
Île-de-Bréhat,415
Lítla Dímun,0
Timor,3121448
Isla Awaji,155612
Tanegashima,32587
Babuyan,1353
Раиваваэ,971
Экарма,0
Isla San Lorenzo (Alaska),1361
Géographie de la Barbade,279757
Île Rowett,0
Stóra Dímun,7
Lastovo (wyspa),768
Bramble Cay,0
Ummanz,279
Trindade et Martim Vaz,32
Île Saturna,349
Ziemia Północno-Wschodnia,0
Tromsøya,34333
Осмуссаар,4
Psathoura,0
Anaa (Atolón),482
Rockall,0
Pašman,2854
Galveston Island,48136
Lib (île),118
Thurø,3505
Lidingö,30447
Šolta (gemeente),1705
Vanna (Troms),997
Острова Тиви,2534
Kvitøya,0
Desecheo Island,0
Ilha Galveston,47154
Læsø,1816
Hawaïaanse eilanden,1496167
Corn Islands,7244
Саба (остров),1964
Gozo (ilha),36073
Hovgaard Ø,0
Nouvelle-Bretagne,513339
斯皮尤姆島,0
جزيرة هرشل,0
Île Bruny,588
奎蒂維島,249
East Island (Andaman & Nicobar Islands),16
"North Island, Seychelles",145
Plavnik,0
Southern Coral Group,266
Isola di Dursey,3
Palmarola,0
Daitō Shotō,2190
Île Aïon,437
Isla Wiencke,0
سولاوسي,19161407
Miyake (Tokyo),2382
Espírito Santo (ilha),38115
Lanzarote,140750
Roque del Oeste,0
Shenick Island,0
Diego Garcia,4231
Geography of Cyprus,806007
Tåsinge,6081
父島,2009
Margarita (île),431427
サバ島,1989
Маракеи,2739
Norderney,5796
Whidbey Island,59932
阿米尼,8101
Mota Lava,1628
Keppel Island,0
エーランド島,25772
Puffin Island,0
燒尻島,270
マライタ島,124581
Aion (Insel),422
Chirinkotan,0
塞尼亞島,7954
乌瑟多姆岛,75866
馬勒庫拉島,23675
Brooks Island,1
Graciosa (Wyspy Kanaryjskie),672
Chiloé Island,161807
Île d’Yeu,4995
Saipan,48929
Бикертон,179
Ilha Kangaroo,4239
バリ島,4205478
Чилоэ,162277
Raikoke,0
Gozo,36043
Geography of Puerto Rico,4181945
Ambrym,6938
Lille Pendulum,0
アイルランド島,6116293
Yonaguni,1600
Ontong Java,2126
ランペドゥーザ島,6061
Eubeia,204673
Islas Malvinas,3056
Zhoushan (Insel),433071
Géographie de Guam,171731
Aldabra,12
Bikar,0
Omø (eiland),176
Isla de Ré,17288
Isla de Jueyes,0
Ash Point,0
フォード島,354
薩納納島,49775
Honshū,106477384
Kuchino-erabu-jima,142
Île d'Yeu,5004
Île Moreton,310
Île de Bréhat,415
Lib (Marshall),116
Lastovo,816
Askø,53
Ebon,713
Maui,149364
Hayling Island,17468
Mafia Island,47660
Timor,3226651
Marettimo,301
Brännö,712
Manitoulin Island,12016
Прочида,10486
Suheli Par,10
布雷顿角岛,140610
朗格拉普環礁,19
ビキニ環礁,5
Isola di Okinawa,1300070
Isola di Anvers,48
Madura (Insel),3524624
Huahine,6204
Île-d'Houat,329
Chathaminseln,603
Nuku Hiva,2635
Остров Броутона,0
Dønna,1437
Hisingen,126032
Archipiélago de las Comoras,948659
Filfla,0
D’Arros,44
Föhr,8362
Isole Auckland,0
Hereheretue,57
Réserve écologique des Gannet Islands,0
Kiska,0
澎湖縣,105157
Gyaros,0
Pakin,87
Chatham (wyspa),586
Isole del Principe Edoardo,0
Little Stirrup Cay,39
Olib,139
Муайен,1
Île de Sheppey,41812
Bubaque,9298
烏卡拉島,15341
Manuae (Îles de la Société),0
فو كوك,102308
Murter,5342
John Murray (wyspa),0
Saba (Insel),2040
羅処和島,0
Maloelap,888
Hiva Oa,2127
"Bird Island, Seychelles",37
Остров Херд и острова Макдональд,0
جزيرة ألكسندر,0
Isla Smith,0
Сигни (остров),5
Île d'Ammassalik,2111
Grímsey,82
Isola di Giannutri,27
弗林德斯岛,712
Саут-Маниту,1
Vrgada,240
Tarawa,58208
Dangerous Reef,0
Pentecost (eiland),16202
Norfolk Island,2164
جزيرة فانكوفر,748615
Java (Insel),141418551
Niutao,596
Koltur,2
Hiddensee,1104
Ilha Guafo,4
Ilhéu de Fora (Selvagens),1
El Hierro,9989
Дия (остров),2
ソコトラ島,42158
Riukiu-eilanden,1624897
Ushishir,0
Isla Shaw,237
Tanegashima,33868
Ilha Mansel,0
Öland,25293
阿什莫尔和卡捷群岛,0
Langkawi,97795
Walton Island,0
ヴァラーム,621
Mikurajima,365
Erromango,1922
Juist (eiland),1798
Pemba Island,412274
尼豪島,129
جزر ليوارد (جزر المجتمع),31679
Isola Awaji,151745
Сокорро (остров),45
ロード島,61012
Skúvoy,51
Ilhas Auckland,0
Wyspa Biała (Svalbard),0
Челбахеб,6
Kolbeinsey,0
Île Robert,0
Саона,310
Lord-Howe-Insel,360
Molokini,0
The Pearl-Qatar,11725
Rhode Island (eiland),61105
貝克爾島,0
Grand Cayman,51205
Sachalin,573375
Ganghwa,62538
Tinos,8506
Nekselø,21
Eddystone Rocks (South Shetland Islands),0
Ramsey Island,2
Soros (Echinades),0
Île-de-Bréhat,390
Terra di Peary,0
جزر أنامباس,39175
Trinket Island,2
Рапа-Ити,531
Mataiva,267
New Providence,246495
Фернанду-ди-Норонья,2617
Мауи,152462
Isla de San Martín (Bangladés),4020
Possession Islands,0
基努島,469
Long Island,7740359
Viðoy,635
知理保以島,0
Ambae,10597
Benten-jima (Wakkanai),0
Tepoto Norte,59
Molène,213
Koufonisi,0
Îles Heard-et-MacDonald,0
جزر القنال الإنجليزي,166283
Islas de Barlovento (de la Sociedad),199820
Whitsunday Islands,1592
卡加多斯-卡拉若斯群岛,60
Ронг,1047
Saint Croix (Islas Vírgenes),52541
Keros,0
Bird Key,861
"Мадлен (острова, Канада)",12215
Upolu,148542
拉肯巴島,2165
Uznam,76931
Šolta,1677
Moorea,16007
Serifopoula,0
Nui,556
Île aux Ours,9
アスンシオン島,0
Серф (остров),97
Côte (Colombie-Britannique),4755
Isola Birkenhauer,0
Tromsøya,36512
Wyspy Kokosowe (Mjanma),982
羅斯島,95
Portsea,144309
Гавдопула,3
Conception (Seszele),0
Sicilië,4826329
大巴里爾島,912
Isla de Arros,44
Île de Ré,18536
Poel,2765
Caher Island,0
Geography of Bermuda,66946
Butaritari,4505
Saint-François-Atoll,0
Majorka,870948
Raroia,236
Lobos (Wyspy Kanaryjskie),0
Isole del Mar dei Coralli,4
ウチリック環礁,410
White Island (Isole Scilly),0
阿德里島,0
Pidgeon Island,0
Osmussaar,4
Вентотене (город),698
Narcondam,16
Coëtivy,254
四国,4068701
Nakanoshima (Kagoshima),165
إسبيريتو سانتو,41481
Lopud,218
Thurø,3579
Ustica,1394
Ujelang Atoll,0
La Digue,2930
Sakao,14
Isole Chatham,624
Апатаки,363
Conception Island (Seychellen),0
ビクトリア島,1846
Isla de Lambay,6
Lamotrek,377
Seychelles,88361
Vis,3563
Alabat (Insel),40296
Beigan,2325
スネアーズ諸島,0
扎金索斯州,42194
Kotielnyj,1
Capraia Isola,421
Borneo,18864416
Heimaey,4450
Хауленд (остров),0
Spitsbergen,2758
Maewo,3684
Tarawa,53745
Grande Caimão,54404
Saona (isola),289
Islas Los Roques,3
Nikumaroro,0
Anatom,941
Leeward Islands (Society Islands),33995
"Grip, Norway",108
Panay,4454612
Wyspa Mackinac,503
Sark,600
Samos,32271
Trindade e Martim Vaz,33
Îles Coco,928
São Nicolau (Kap Verde),12306
Nonouti,2657
賽厄島,386
Тулаги,1194
Aranuka,1027
瓦西里岛,192911
Madura Island,3589472
烏傑朗環礁,0
Île du Cap Barren,69
Motu One (Marquesas),0
Filicudi,239
Maui,156395
Archipiélago de Ritchie,9671
Ilha Cape Breton,135693
佩拉杰群岛,6256
Makronisos,0
Werdinsel,0
Скорпиос,5
Вотье,986
Maṣīra,12558
Amager,168566
Norrard Rocks (Isole Scilly),0
Märket,0
Arapaoa Island,51
Гамильтон (остров),1189
Inch Island,463
Isola di Kotlin,44238
Isla D'Urville (Nueva Zelanda),51
الجزر البريطانية,70349979
Morotai,56628
Фаркуар,20
Ford Island (Windmill Islands),0
Dugi Otok,1701
راياتيا,12838
Salsette,14568883
Osmussaar,4
Ilhas Cíes,3
Tsjirinkotan,0
Île-d'Arz,229
Уруп,0
Lyø,140
Mafia (Insel),47819
Риматара,901
Kavaratti,11931
浮罗交怡,94435
Tairajima,78
Ilha de São Cristóvão (São Cristóvão e Nevis),44223
Antipoden-Inseln,0
Prasonisi (Gavdos),0
ロー島,0
Ujelang,0
Phú Quốc,107568
