http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/areaTotal
Море Бофорта,170126046762
Ирландское море,46604137966
地中海,2618081056598
Mar de Azov,38002482627
エーゲ海,220703319863
Mar Báltico,395319088375
Lincolnzee,63179735965
Noordzee,593999484633
البحر الأيرلندي,46969467772
Grönlandsee,1243354569157
Гренландское море,1178370385096
瀨戶內海,23912066150
Europäisches Nordmeer,1321539970203
Mare di Groenlandia,1251541446169
安达曼海,602748930105
بحر آزوف,39510314573
Beaufortsee,181527990677
Mar Nero,427521032847
بحر تشوكشي,641390855746
Mare del Labrador,841000572399
