http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Université normale de Guangxi,24071
Centre fédéral d'éducation technologique Celso Suckow da Fonseca,10551
Rydes Hill Preparatory School,193
Simon Fraser University,35578
Pabna University of Science & Technology,2679
St. Mark Catholic High School (Ottawa),1133
Fruitdale High School,475
Rydal Penrhos,192
Birla Public School,1051
"Zahira College, Colombo",8023
University of Agriculture (Faisalabad),15539
UC Davis College of Biological Sciences,5553
Hyderabad Public School,2899
Instituto de Tecnologia da Califórnia,2196
Woodhaven-Brownstown School District,5344
Central State University,2036
Pontiac Township High School,923
معهد كاليفورنيا للتقنية,2344
Lejeune High School,527
South Anchorage High School,1459
Fairfield Warde High School,1402
مدرسة التكامل الدولية,1475
Newport High School (Pennsylvania),393
Collège Montmorency,7266
Heinrich-von-Gagern-Gymnasium,1035
Diné College,2021
Manuel Dominguez High School,2719
Томский государственный архитектурно-строительный университет,7742
Universidad del Algarve,8822
Immanuel Christian School (Winnipeg),198
École nationale de la magistrature,567
Barrie North Collegiate Institute,1343
Misr University for Science & Technology,16247
Sint-Maartenscollege,1519
University of Montenegro,20739
Valley Springs High School,280
Brandon Valley School District,2973
Universität Hasselt,5583
Universidad Estatal de Ingeniería de Armenia,10375
Largo High School (Maryland),1115
Preston High School (Idaho),665
Benzie Central High School,499
Lake Park High School,3058
ISCTE – University Institute of Lisbon,8605
Политехнический университет Бухареста,26090
Newport Harbor High School,2285
阿爾卡拉大學,22035
Scott Christian University,510
Mitchell County High School,481
Université Pierre et Marie Curie,31121
المدرسة الأمريكية الدولية (الرياض),1673
Staatliche Pädagogische Universität Tomsk,6830
Palos Verdes Peninsula High School,2540
"Northwestern High School (Maple, Wisconsin)",426
Forest Hill Community High School,2016
Boyd-Buchanan School,876
Université de La Rioja,7536
Calderside Academy,1386
Universidad Félix Houphouët-Boigny,49278
Grape Creek High School,297
Kermit Independent School District,1263
Universidad de Túnez,27047
"University of Technology, Mauritius",4451
Edgewood Senior High School,572
Burns High School (Oregon),338
Alexander-von-Humboldt-Gymnasium Konstanz,997
塞麦尔维斯大学,10807
Белорусский государственный университет информатики и радиоэлектроники,17693
John Cabot Catholic Secondary School,966
The Elizabethan Academy,1175
كلية الأطباء والجراحين بجامعة كولومبيا,793
Rockford University,1319
Carbondale Area School District,1524
Gonzaga University School of Law,505
Belgrade-Brooten-Elrosa High School,369
Sujaul Senior Fazil Madrasha,740
North Lakhimpur College,4103
Oasis Academy John Williams,816
Purdue University,39047
Université de Tsukuba,16770
Uniwersytet Czarnogóry,21302
Université d'État de l'Arizona,51852
"Campion College, Regina",914
St. Lawrence's Boys School,1114
San Bernardino Valley College,12394
"Presidency College, Bangalore",3978
Sankt-Petersburski Państwowy Instytut Górniczy,16653
St. Augustine Catholic High School (Ontario),1341
Art Institute of Dallas,886
SMK Sentul Utama,1002
Arizona State University,4013
黎巴嫩大學,69995
Peabody Magnet High School,776
Bellefonte Area School District,2827
Ottawa – Glandorf Local School District,1935
Université polytechnique des Marches,16648
Cumberland High School (Rhode Island),1578
Ulidia Integrated College,553
Central Alabama Community College,2209
Università statale del Kansas,23200
University School of Milwaukee,1058
Scholars Online,158
Universidade de Berna,17995
جامعة الشمال الغربي مدرسة فينبرغ للطب,643
Université de Nice - Sophia Antipolis,24277
Los Medanos College,8755
Pasco High School,1759
Monsignor Edward Pace High School,948
Uniwersytet w Sztokholmie,64214
Asian Institute of Tourism,10
National Technological University,71908
Happy Hill Farm Academy,185
"École supérieure Aalto d'art, de design et d'architecture d'Helsinki",1905
Long Stratton High School,677
Hochschule Mainz,4850
Universidad de Berna,17214
Rice University,6483
Polytechnikum Mailand,41554
Академия изобразительных искусств (Вена),1233
Université de Banja Luka,17406
Indian Institute of Management Udaipur,245
PAF Public School Sargodha,412
Tajik National University,21918
国立图卢兹应用科学学院,2279
Williamson Senior High School,552
Basic Education High School No. 9 Mawlamyine,2386
Cheikh Anta Diop University,59573
Glenville State College,1974
Instituto Rio Branco,139
Von Steuben Metropolitan High School,1586
University of Santo Tomas College of Commerce and Business Administration,3762
Asutosh College,4041
École spéciale de mécanique et d'électricité,1514
Midlands Christian College,437
The Hudson School,202
Universität Tsukuba,15687
Buchtel Community Learning Center,734
Georgia Institute of Technology,24355
Université de Catane,68825
Zionsville Community High School,1844
Massachusetts Institute of Technology,11754
Radyr Comprehensive School,1452
"Diocesan School for Girls, Grahamstown",518
Universidad de Orán,27254
Georgiana Bruce Kirby Preparatory School,244
Coudersport Area School District,861
水原大学校,12299
Universiteit van Perugia,26547
Carmi-White County High School,382
光启学校,3831
Liberty Classical Academy,159
St. John's School (Texas),1343
Institut d'études politiques de Toulouse,1763
Polytechnic University of the Philippines Santo Tomas,2853
Riverton Parke Junior-Senior High School,470
Universität Bergamo,15
Bandon Senior High School,264
Uniwersytet Dyneburski,4364
National University of Defense Technology,15512
NewSchool of Architecture and Design,621
St. Thomas University (Florida),4054
克劳斯塔尔工业大学,4
Jeffersonville High School,2101
Université de Mossoul,30019
远东联邦大学,42765
Университет штата Огайо,58434
James Madison High School (Brooklyn),2925
Harrisburg High School (Oregon),233
Moreau Catholic High School,995
Bridgeport High School (West Virginia),741
Санкт-Петербургский государственный университет сервиса и экономики,37265
Universidad Pedagógica Nacional (México),25302
浙江理工大学,26534
"East High School (Pueblo, Colorado)",1000
University of Ioannina,14622
Sagornal Senior Alim Madrasha,499
Lawrence County High School (Kentucky),671
Flagler Palm Coast High School,2434
Technische Universität Kielce,9992
Erasmus-Universität Rotterdam,26058
John Dwyer Technology Academy,1079
Portlethen Primary School,273
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,1922
Факультет свободных искусств и наук СПбГУ,564
Fessenden School,524
Universiteit van Valladolid,30395
Queen Creek High School,1850
Salzmannschule Schnepfenthal,386
North Carolina Central University,9604
Universidad de Finlandia Oriental,14715
"Singapore International School, Indonesia",1783
"Friends' School, Lisburn",961
Flushing High School,2990
St. Mark's Senior Secondary Public School,3748
Universidad de Costa Rica,40
Instituto de estudios políticos de Aix-en-provence,1964
Fachhochschule Dortmund,12110
Danmarks Designskole,642
Andover Elementary School,31
Escuela Superior de Comercio Carlos Pellegrini,2590
Central Greene School District,1983
Ecclesbourne School,1357
Dakota County Technical College,3065
Laney College,19377
Fullerton Union High School,2175
Penn-Delco School District,3338
Universität Oradea,21757
Canby High School,1747
Universidade Estadual de Iowa,38231
Hochschule für Musik Carl Maria von Weber Dresden,1
Принстонский университет,8288
University of Mindanao,40298
Universidade Bolivariana da Venezuela,175513
Libera Università Internazionale degli Studi Sociali,7440
Northmont High School,1434
Nonsuch High School,1210
International Hotel and Tourism Training Institute,452
Hotel Institute Montreux,1323
Le Cordon Bleu,19978
Belle Vernon Area School District,2814
Central Dauphin East High School,1385
Institut national des sciences appliquées de Toulouse,2246
Taras Shevchenko National University of Kyiv,20093
Nyack College,2800
Santiago College,1491
西方學院,2009
エドモンズコミュニティカレッジ,12106
George Watson's College,2325
ソウル市立大学校,11923
Université polytechnique de Saint-Pétersbourg,28875
萊斯大學,6838
Korea National Open University,178694
Thomas McKean High School,1073
Butler High School (New Jersey),472
Wethersfield High School (Connecticut),1104
Kloof High School,991
Union Theological Seminary (Philippines),122
"New Tech High School, Coppell",391
"Fremont High School (Sunnyvale, California)",2012
University of New York in Prague,721
New Hope High School (Mississippi),955
British School in the Netherlands,2192
Carl Sandburg High School,3836
Penn State York,1374
UIUC College of Media,1145
Johns Hopkins Bloomberg School of Public Health,2086
Mahindra United World College of India,229
Escuela de Medios y Cine Báltico,437
"Eisenhower High School (Yakima, Washington)",1976
Newtown High School (Queens),2113
Peebles High School (Ohio),475
"St John Fisher Catholic High School, Harrogate",1993
Cranston High School West,1550
Montana Academy,72
北京师范大学附属实验中学,3896
North Battleford Comprehensive High School,835
Gibault Catholic High School,264
Augusta High School (Kentucky),107
"St. Andrew's College, Grahamstown",469
