http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Russian football transfers winter 2009–10,76
Elencos da Copa do Mundo de Clubes da FIFA de 2012,12
List of Cypriot football transfers summer 2013,53
List of French football transfers summer 2013,38
List of German football transfers summer 2010,31
2006–07 Fulham F.C. season,4
List of Belgian football transfers summer 2015,7
West Ham United Football Club 2012-2013,46
Laguna Football Club,12
2004 South Carolina Gamecocks men's Soccer Team,18
West Ham United F.C. Reserves and Academy,44
List of Belgian football transfers summer 2009,23
List of Chinese football transfers winter 2014,40
List of Slovak football transfers winter 2012–13,28
List of Russian football transfers summer 2013,21
Elencos da Copa do Mundo de Clubes da FIFA de 2012,57
2007 SK Brann season,16
List of Belgian football transfers winter 2012–13,9
List of Norwegian football transfers winter 2012–13,25
List of Iranian football transfers summer 2013,13
2010–11 Deportivo Toluca season,19
里斯本雄狮,3
Toledo BM,5
2010–11 Atlante F.C. season,23
List of Cypriot football transfers winter 2013–14,33
List of Maltese football transfers summer 2009,23
List of Serbian football transfers summer 2010,42
List of Ukrainian football transfers summer 2010,34
2010–11 West Ham United F.C. season,14
List of Slovak football transfers summer 2013,7
2013–14 UEFA Youth League squads,52
Sapura HC,15
2014 Fordham Rams men's soccer team,17
2010–11 San Luis F.C. season,2
UR La Louvière Centre,23
2009–10 Göztepe A.Ş. season,91
2010 Saint Louis Athletica season,24
List of Japanese football transfers winter 2011–12,24
Lijst van Bundesliga-transfers zomer 2012,21
List of Bosnia and Herzegovina football transfers summer 2012,6
List of Iranian football transfers winter 2011–12,10
2014 Indonesian Inter Island Cup squads,47
List of Estonian football transfers winter 2012–13,39
List of Serbian football transfers summer 2013,88
List of Azerbaijan football transfers winter 2010,28
2014 Indonesian Inter Island Cup squads,9
2000–01 Fulham F.C. season,36
List of Slovak football transfers winter 2012–13,6
Manchester City Football Club 2002-2003,1
List of Slovak football transfers summer 2012,23
List of Maltese football transfers summer 2010,15
List of Russian football transfers winter 2010–11,81
List of Belgian football transfers summer 2015,55
Toledo BM,9
List of Mexican Football Transfers Winter 2011–12,23
2008–09 Paris Saint-Germain F.C. (Ladies) season,12
List of Turkish football transfers summer 2013,43
2006 SK Brann season,11
List of Maltese football transfers summer 2008,28
2013–14 UEFA Youth League squads,76
List of Bosnia and Herzegovina football transfers winter 2012–13,12
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,19
List of German football transfers summer 2009,13
List of Japanese football transfers summer 2012,39
List of Azerbaijan football transfers winter 2012,19
2000–01 Fulham F.C. season,27
2014 Indonesian Inter Island Cup squads,78
List of Bosnian football transfers winter 2013–14,8
2004–05 Fulham F.C. season,14
List of Japanese football transfers winter 2011–12,23
List of German football transfers summer 2012,22
List of Japanese football transfers winter 2009–10,10
List of Turkish football transfers summer 2013,9
Charlotte 49ers men's soccer,16
Клубный чемпионат мира по футболу 2008 (составы),28
List of Belgian football transfers winter 2011–12,44
List of Russian football transfers winter 2010–11,61
2013年中国足球冬季转会列表,47
Saison 2013-2014 du Valenciennes FC,21
Akron Zips men's soccer,15
List of Chinese football transfers winter 2014,19
Maybank HC,20
Delta Queens,12
2012 FIFA Club World Cup squads,6
Lisbon Lions,2
List of Iranian football transfers winter 2013–14,29
Convocazioni per la Coppa del mondo per club FIFA 2010,7
Club Universidad Nacional 2010-2011,36
2013 FIFA Club World Cup squads,28
List of Belgian football transfers winter 2009–10,30
2013–14 UEFA Youth League squads,2
List of Bulgarian football transfers summer 2013,7
List of Serbian football transfers summer 2010,3
List of Bulgarian football transfers summer 2013,27
List of German football transfers winter 2008–09,7
1982 CIS Men's Soccer Championship,22
Club Universidad Nacional 2010-2011,15
List of Slovak football transfers summer 2013,31
List of Cypriot football transfers summer 2013,79
List of Belgian football transfers summer 2009,79
2012 FIFA Club World Cup squads,22
List of Iranian football transfers summer 2013,29
Universitario Lima/Lista piłkarzy,19
2010–11 San Luis F.C. season,14
List of North American Soccer League transfers in 2014,11
Cal Poly Mustangs men's soccer,21
List of Hungarian football transfers winter 2011–12,4
2014 Indonesian Inter Island Cup qualification squads,33
List of Norwegian football transfers summer 2014,22
List of Iranian football transfers summer 2010,30
2010–11 C.F. Monterrey season,14
List of Hungarian football transfers winter 2011–12,37
List of Chinese football transfers winter 2013,42
2010–11 Club Necaxa season,8
Saison 2013-2014 du Valenciennes FC,20
List of Latvian football transfers winter 2011–12,5
2010–11 Deportivo Toluca season,31
List of Mexican football transfers winter 2013–14,55
2010–11 Club Atlas season,2
List of Iranian football transfers summer 2009,2
List of Belgian football transfers summer 2009,9
List of Ukrainian football transfers winter 2008–09,70
List of Belgian football transfers winter 2012–13,7
List of Azerbaijan football transfers summer 2012,13
Elencos da Copa do Mundo de Clubes da FIFA de 2012,19
List of Turkish football transfers summer 2010,25
List of Greek football transfers summer 2010,27
List of Iranian football transfers winter 2013–14,23
West Ham United FC in het seizoen 2010/11,16
UR La Louvière Centre,88
List of Turkish football transfers summer 2013,44
List of Serbian football transfers summer 2012,85
List of Greek football transfers summer 2010,103
Delta Queens,35
2009–10 Paris Saint-Germain F.C. (Ladies) season,26
List of Mexican football transfers summer 2010,23
List of Bulgarian football transfers summer 2010,23
Laguna Football Club,18
2012–13 Grimsby Town F.C. season,12
List of Estonian football transfers winter 2012–13,28
2009–10 Ipswich Town F.C. season,19
List of German football transfers summer 2012,41
List of Belgian football transfers summer 2009,32
List of Hungarian football transfers summer 2013,81
List of Iranian football transfers summer 2010,7
List of Latvian football transfers summer 2013,23
List of Russian football transfers summer 2012,23
FIU Panthers men's soccer,16
Convocazioni per la Coppa del mondo per club FIFA 2010,5
2008–09 Paris Saint-Germain F.C. (Ladies) season,16
List of Latvian football transfers winter 2011–12,83
2006–07 Plymouth Argyle F.C. season,29
Hóquei Clube de Braga,4
2010 FIFA Club World Cup squads,19
2006–07 Plymouth Argyle F.C. season,26
2010–11 Club América season,67
List of Iranian football transfers summer 2013,66
List of Uzbek football transfers 2012,34
2011–12 Grimsby Town F.C. season,1
2014 Indonesian Inter Island Cup qualification squads,42
List of Belgian football transfers summer 2014,32
List of Belgian football transfers summer 2009,15
E.I.S. Men's Volleyball,5
List of Belgian football transfers summer 2015,68
Al-Sadd Sports Club Handball,12
List of German football transfers summer 2013,40
UMBC Retrievers men's soccer,0
2010–11 Tigres UANL season,13
List of Maltese football transfers winter 2009–10,16
List of Mexican football transfers summer 2010,29
Клубный чемпионат мира по футболу 2012 (составы),57
List of Bulgarian football transfers winter 2010–11,8
List of Belgian football transfers summer 2014,1
List of Iranian football transfers summer 2009,11
List of Azerbaijan football transfers winter 2011,40
List of German football transfers summer 2013,23
List of Serbian football transfers summer 2010,2
List of Chinese football transfers summer 2013,57
2013–14 C.F. União season,22
Лиссабонские львы,11
Green Bay Phoenix men's soccer,34
Cal Poly Mustangs men's soccer,11
List of Mexican football transfers winter 2013–14,21
List of Cypriot football transfers winter 2011–12,1
Convocazioni per la Coppa del mondo per club FIFA 2012,55
List of Latvian football transfers winter 2014–15,13
