http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Dongfeng Motor Corporation,158985
Vyatta,51
Krones,12893
Armada Asset Management,18
Namiki Precision Jewel Co,631
ブロケード コミュニケーションズ システムズ,4620
Capybara Games,19
Cube Entertainment,55
Zynga,1600
賓利,3663
4Licensing Corporation,16
Grundig Business Systems,192
Posten Norge,20199
"Kuhn, Loeb & Co.",535
TST Overland Express,1133
OTP Bank,42638
Nex Entertainment,181
Norddeutsche Landesbank,6640
Macquarie Group,14999
Tripwire (company),257
Bain & Company,5411
Jawwal,1000
Jerry's Foods,2094
Kansai Telecasting Corporation,555
Bombardier Transportation,33091
中華航空,10130
Standard Oil,52968
SIE Bend Studio,88
"Sturm, Ruger & Co.",2160
Bombardier Aerospace,24753
Safeway,229512
Beltelecom,19958
Fore River Shipyard,917
PPC Ltd.,3142
Rodionov Publishing House,306
UCoz,91
Fluke Corporation,2653
Timex Group USA,1931
Galliford Try,4869
RWE npower,11266
Bic (компания),10038
オンタリオ・パワー・ジェネレーション,10200
Gree Electric,39646
Bank of Scotland,19637
Bentley (automóviles),3712
罗氏,81029
Rolls-Royce Power Systems,10607
Nortel Networks,16
Takumi Corporation,22
Burckhardt Compression,1075
Thompson Cigar,231
Tom Tailor,6198
Marvell Software Solutions Israel,352
مجموعة الإمارات,79291
Chunghwa Post,0
De Beers,21060
Robinson Helicopter,1171
トライクレッシェンド,26
Cube Entertainment,51
アルトリア,8456
Mammoet,3360
Claas,9479
Umeme,1247
Rado (entreprise),447
Wolfire Games,4
Advent Software,1330
Philips,114033
Hargreaves Lansdown,897
EasyJet,9384
Spotify,1854
Adsmith,26
Maxell,4417
ESB Group,7560
Siemens Healthcare,41531
Enron,21223
Bose Corporation,10984
A.S. Watson Group,109433
شركة تويو تاير آند روبير,9562
Merit Energy Company,625
Marine Stewardship Council,144
Black Box Corporation,4730
Taito Corporation,568
Pinsent Masons,2985
LS Cable & System,8855
アストンマーティン,1321
Kaspersky Lab,3204
Accord (company),2246
Actavis,18978
Mary Kay,5390
Wrights Pies,462
BKW Energie,2142
Semikron,3325
Harris Interactive,666
Banco Zachodni WBK,8711
Macromedia,1329
Senate Properties,258
Camus Cognac,443
Opel,34640
Riot Games,1202
荷蘭皇家航空,30267
Hudson's Bay Trading Company,68779
Ballast Nedam,4193
Deutsche Flugsicherung,6528
漫步者,3226
H.J. Heinz Company,36192
AutoTrader.com,3081
大同煤礦集團公司,165502
Kwik Trip,14821
