http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Safe House (serie de televisión),8
A Chip Off the Old Block,22
Duel (UK game show),13
マペット放送局,24
G.I. Joe: Renegaci,29
Machos,163
Batman (serial animowany 1992),89
Red Alert (game show),14
Братья Доннелли,14
"The Good, the Bad and the Ugly (1979 TV series)",96
Por tu amor,94
Crossbones (série télévisée),10
Two Pints of Lager and a Packet of Crisps,91
Karkú,74
Leo Little's Big Show,12
Partners (1995 TV series),25
Chuck (TV series),87
Банши (телесериал),34
Codice rosso (serie televisiva),14
The Renegades,6
Fridays (TV series),59
فريق البطل: 108,116
Générations (série télévisée),515
"Слава Богу, ты пришёл!",46
Fargo (série télévisée),24
Terminal City (TV series),10
A Favorita,230
Vicini terribili,42
Get Blake!,51
Non smettere di sognare (serie televisiva),9
Alcock and Gander,6
Confessions of a Teen Idol,7
Die Gebrauchtwagen-Profis: Neuer Glanz für alte Kisten,11
Bored to Death,25
El Universo (serie de televisión),69
The RuPaul Show,95
Merhamet,42
Batman: The Brave and the Bold,61
Jonny Quest (TV series),23
Professione fantasma,9
Boo! (TV series),120
The New Woody Woodpecker Show,156
Rio Del Mar (1999 TV series),501
I'm in the Band,42
Revolving Doors of Vengeance,33
ستارغيت يونيفرس (مسلسل),42
"Dude, What Would Happen",35
ワンダーウーマン (テレビドラマ),56
¡Vivan los niños!,119
Mexico's Next Top Model,63
Total Wipeout,60
Ashes to Ashes – Zurück in die 80er,25
The Partners (TV series),18
DIY SOS,219
Paris Hilton's My New BFF (seizoen 2),10
Wallace and Gromit,2
Nowe przygody starej Christine,92
Countdown to the Crown,4
Bracia i siostry,121
RocKwiz,173
The Lineup (serie televisiva),189
Most Evil,34
Cramp Twins,52
Conan the Adventurer (animated series),62
"Billy the Cat, dans la peau d'un chat",57
Empire (serie televisiva 2015),29
Lovers in Paris (2009),52
12/24 Karol Bagh,250
Суперкрошки,84
柯瑞當家,36
Barry Welsh is Coming,61
Love or Bread,12
La storia dell'universo,92
Heartbeat (2016 TV series),11
الحب التائه (مسلسل),145
IShine KNECT,34
Miami Medical,13
Mara Clara,1069
Play Your Cards Right,286
MasterChef (UK TV series),253
48 ore (serie televisiva),10
Dragnet,692
Homewrecker,8
Steps (TV series),19
The New WKRP in Cincinnati,50
The Zimmer Twins,104
火舞黃沙,28
Family Dog (TV series),12
Silk Stalkings,186
The Stranger (Australian TV series),10
Les Belles Histoires des pays d'en haut,563
Space Ghost Coast to Coast,2
Family Matters (Singaporean TV series),20
Murder One (TV series),33
The Courtship of Eddie's Father,84
Lost (reality show),6
I Wanna Be A Model (season 1),13
爱在哈佛,18
Mesa para tres,147
Бундесвидение,11
Class Act (Irish TV series),11
Fly with Me (TV series),25
The Red Riding Trilogy,3
Soy tu dueña,121
Dark Shadows (serial telewizyjny 1966),1287
Polizeibericht (Fernsehserie),827
Falcón (TV series),4
The Brady Bunch,10
Duch Filharmonii,11
The Storyteller (Serie),4
Raffles (TV series),13
Gilmore Girls,124
奥特曼列传,98
"Cristina, l'Europa siamo noi",43
Hasta que la muerte nos separe,65
Victorinos,154
Buttafuori,8
Street Fighter: Assassin's Fist,1
銀河パトロールPJ,29
Sharky et Georges,65
Single Dad in Love,15
The Flaxton Boys,43
I Cesaroni,145
The A-Team,90
Huntik - Secrets & Seekers,54
Banshee (série télévisée),46
Boy Meets Girl (2009 TV series),4
Terapia d'urgenza,18
ハワイ5-0,293
معجب عجيب (برنامج تلفزيوني),922
Rizzoli & Isles,123
Hollyoaks: In the City,17
Destroyed in Seconds,38
Powers (série télévisée),26
Kidnapped (série télévisée),13
Atashinchi no Danshi,10
Adam's Family Tree,19
Sanctuary (TV series),52
Sons of Tucson,13
The Simpsons,606
Spider-Man and His Amazing Friends,23
Chefs (TV series),6
Raging Planet,16
Mandrake (série télévisée),13
The Glee Project,26
The Ann Sothern Show,87
Otchłań namiętności,152
Emergency unit,31
Nurses,68
Powrót do życia,33
Goodyear Theatre,46
Juana Iris,206
Sonic el Erizo (serie de televisión),29
Whitechapel (Fernsehserie),21
Gates (TV series),5
10 أشياء أكرهها بشأنك (مسلسل),21
ダークエンジェル (テレビドラマ),50
Zone Stad,114
Великая (телесериал),13
The Black Donnellys,13
Bromance (serial telewizyjny),6
幻星神ジャスティライザー,49
Fast Lane Daily,2157
Die Gebrauchtwagen-Profis: Neuer Glanz für alte Kisten,176
宇宙刑事ギャバン,46
وفقا لجيم,199
G.I. Joe: Renegades,27
Das A-Team,111
Baby Jake,50
"Одиссея (телесериал, 1968)",4
Nitro Circus,20
Stranded (TV series),6
胭脂水粉,29
Not Only... But Also,25
Full Force Nature,13
Stargate Atlantis,102
Made (TV series),251
The Brady Bunch,135
For the Love of Ray J (season 1),13
千秋太后 (テレビドラマ),74
Pyaar Kii Ye Ek Kahaani,301
One to One (TV series),35
Wallace y Gromit,1
The Fresh Prince of Bel-Air,130
Richard Bacon's Beer & Pizza Club,20
The Experiment,5
Melrose Place,193
Nissene på låven,23
Level Up (serie de televisión),29
WWE Raw,1283
Час Икс (телепередача),18
Monster Allergy (TV series),49
Quinceañera (telenovela),74
The Courtship of Eddie's Father,62
Jumong (TV series),96
Good Wife,169
Zakochana złośnica (serial telewizyjny),25
Царство животных (телесериал),9
The Super Hero Squad Show,46
Lucy ed io,183
Jayce et les Conquérants de la Lumière,58
BrainSurge,109
"Sheridan, squadra omicidi",5
Piccolo grande Timmy,95
RuPaul’s Drag Race,108
The Kids in the Hall: Death Comes to Town,9
فارغو (مسلسل),21
Verbotene Liebe,4656
Moods of Man,9
This Is Alice,36
It's a Living (1980 TV series),145
The Naughty Kitchen with Chef Blythe Beck,8
Linda Green,21
Виртуозы,39
Space Ghost Coast to Coast,95
項羽と劉邦 King's War,77
Lista de episódios de Bakugan,45
Dopóki śmierć nas nie rozłączy,85
Happy Days (série),234
Amorcito corazón (telenovela),213
False Witness,2
لوسيفر (مسلسل),15
Past Life,8
Psychoville,12
Handyman Superstar Challenge,24
"Чингисхан (телесериал, 2004)",30
Tomie: Another Face,3
The Beast (série de televisão),14
Godzilla (animated series),24
Tomica Hero: Rescue Fire,60
Klutter!,7
ミーアキャットの世界,48
Knight Rider (1982 TV series),86
Duo d'enfer,19
Fight for Life (TV series),6
Bottle Boys,12
精武門 (電視劇),31
Mi pecado,107
بنات غيلمور,124
Bob aggiustatutto,282
赤と黒 (2010年のテレビドラマ),20
A Favorita,195
Better Call Saul,20
Murder Prevention,6
Rescue Robots,13
Шоу Донны Рид,267
Beast Wars,53
Animal Face-Off,10
Секрет острова Мако,73
Bromwell High,15
Geordie Shore,98
The Night Shift,35
E! News,6008
Larry the Lawnmower,240
Parks and Recreation,104
Les Maîtres des sortilèges : Les Terres du seigneur Dragon,29
黑騎士 (動畫),59
The Price Is Right (U.S. game show),7985
عهد (مسلسل),54
Lo zio d'America,13
أروع جواسيس,51
أمير بيل إير الحيوي (مسلسل),150
Brothers & Sisters (2006 TV series),111
Sono toki Heartwa Nusumareta,5
Pan Tau,31
Captain Z-RO,27
Angry Birds Stella (TV series),25
Code Black,19
The Family (2008 TV series),21
Vamp (telenovela),182
Звёздные врата: SG-1,200
Brotherly Love (1999 TV series),6
Justice Sung II,30
"Trauma (série télévisée, 2009)",18
Homefront (série télévisée),44
百變金剛 (影集),54
Wolf Lake,8
その時、ハートは盗まれた,5
Il mammo,68
According to Jim,199
Petticoat Junction,186
Interpol Investigates,10
Trollz,26
A Indomada,214
Capture (reality show),11
Buffy l'ammazzavampiri,153
Psych,136
老友狗狗 (電視劇),20
The Family (telessérie),12
Generations (South African TV series),190
MXC,74
Tere Mere Beach Mein,16
Flash Gordon (2007 TV series),21
Reign,63
Rookie Blue,74
Better with You,24
Шах и мат (телесериал),13
The Crocodile Hunter,58
Sharp 2,51
Thirtysomething,80
Seekers (TV series),2
寶家衛國,19
بافي قاتلة مصاصي الدماء,147
Non smettere di sognare (TV series),9
المواجهة الحيوانية,12
Era Wodnika (serial telewizyjny),29
Расследования авиакатастроф,127
Miami Medical,13
Blokken,4166
The Killing (série de televisão),38
谢天谢地你来啦,42
Mayday: catástrofes aéreas,146
Armas del futuro,32
ثنائي الأعماق,53
Quantum Leap,116
The Real World: Denver,26
Crime Busters x 2,19
一擲千金 (香港),57
Speed (TV series),6
超級製作人,135
Canada's Worst Handyman 3,7
タイムマシーンにお願い,105
Perro amor (telenovela estadounidense),146
Tales of Mystery,30
Junior MasterChef,59
The Plant (film),1
Muchacha de barrio,230
Episodi di Merlin (seconda stagione),12
Strawberry Shortcake,48
Clifford's Puppy Days,39
Clarence (serie animada),83
Muñeca Brava,271
新鲜王子妙事多,155
Go With Noakes,31
Total Wipeout,10
Intervisiesongfestival,5
Iron Chef,338
Storm of the Century,3
Empire (2015 TV series),27
不滅的李舜臣,110
The Winemakers,14
Hikari Sentai Maskman,40
مدرسة الامبراطور الجديدة,65
The True North,9
Jack of All Trades (TV series),22
Zaginiony ląd (serial 1991),27
