http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
2000–01 Manchester City F.C. season,34
List of Bulgarian football transfers winter 2010–11,15
List of Chinese football transfers winter 2011,1
2010 Rochester Rhinos season,5
West Ham United FC in het seizoen 2010/11,20
List of Hungarian football transfers winter 2011–12,52
List of Bosnian football transfers winter 2013–14,24
List of Maltese football transfers summer 2012,9
Convocazioni per la Coppa del mondo per club FIFA 2008,4
List of German football transfers summer 2013,36
List of Russian football transfers winter 2010–11,75
2013–14 C.F. União season,5
2010–11 Tigres UANL season,4
List of Bulgarian football transfers winter 2013–14,78
2009 Carolina RailHawks FC season,6
2010 FIFA Club World Cup squads,34
List of French football transfers summer 2013,8
2010–11 Club América season,30
List of Cypriot football transfers winter 2011–12,91
Michigan Wolverines men's soccer,16
List of Serbian football transfers winter 2011–12,10
Convocazioni per la Coppa del mondo per club FIFA 2012,31
List of Latvian football transfers winter 2011–12,14
List of Iranian football transfers summer 2011,13
2005 South Carolina Gamecocks men's soccer team,13
List of Maltese football transfers summer 2008,35
2014–15 UEFA Youth League squads,22
List of Chinese football transfers winter 2014,12
Sliema Hotsticks Hockey Club,14
2013–14 Valenciennes FC season,25
West Ham United FC in het seizoen 2012/13,38
List of Iranian football transfers winter 2013–14,18
2013年中国足球冬季转会列表,45
List of Bulgarian football transfers summer 2010,94
List of Mexican football transfers summer 2010,23
1982 CIS Men's Soccer Championship,13
List of Hungarian football transfers summer 2012,36
List of Uzbek football transfers 2010,32
List of Hungarian football transfers winter 2011–12,39
2013–14 UEFA Youth League squads,20
List of Belgian football transfers summer 2014,24
2012 Wake Forest Demon Deacons men's soccer team,12
2007 CIS Men's Soccer Championship,9
Akron Zips men's soccer,14
2006 FIFA Club World Cup squads,16
List of German football transfers winter 2008–09,23
2008 FIFA Club World Cup squads,14
List of Hungarian football transfers summer 2010,85
List of Serbian football transfers winter 2013–14,17
List of Maltese football transfers summer 2009,19
List of Latvian football transfers summer 2012,38
List of Russian football transfers summer 2013,36
Manchester City Football Club 2000-2001,28
2006 South Carolina Gamecocks men's Soccer Team,4
2014–15 UEFA Youth League squads,84
List of Russian football transfers summer 2013,33
Convocazioni per la Coppa del mondo per club FIFA 2010,5
2003–04 Fulham F.C. season,19
UC Santa Barbara Gauchos men's soccer,8
List of Belgian football transfers summer 2015,76
List of Hungarian football transfers winter 2011–12,21
List of Chinese football transfers summer 2010,6
Green Bay Phoenix men's soccer,9
List of South Korean football transfers summer 2012,28
New Mexico Lobos men's soccer,17
Convocazioni per la Coppa del mondo per club FIFA 2013,20
St. Francis Brooklyn Terriers men's soccer,5
2013年中国足球冬季转会列表,2
Maryland Terrapins men's soccer,1
List of Bulgarian football transfers summer 2013,30
Hull City A.F.C. Reserves and Juniors,40
List of Japanese football transfers winter 2009–10,38
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,50
List of Russian football transfers winter 2011–12,70
List of Japanese football transfers summer 2012,33
List of Chinese football transfers winter 2011,26
List of Turkish football transfers summer 2014,23
2002–03 Manchester City F.C. season,9
2013–14 Viborg FF season,24
2005 South Carolina Gamecocks men's soccer team,18
2014–15 UEFA Youth League squads,59
Delta Queens,23
List of Ukrainian football transfers summer 2009,1
List of Serbian football transfers summer 2013,42
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,22
List of Russian football transfers winter 2009–10,64
Delta Queens,32
List of Norwegian football transfers 2010,19
Syracuse Orange men's soccer,20
List of Azerbaijan football transfers summer 2010,4
List of Belgian football transfers winter 2009–10,15
List of Iranian football transfers summer 2010,2
List of Greek football transfers summer 2011,6
2008 Colo-Colo season,21
HNK Hajduk Split statistics and records,8
List of Hungarian football transfers summer 2012,88
Maybank HC,10
Syracuse Orange men's soccer,7
2014–15 Grimsby Town F.C. season,27
List of German football transfers winter 2012–13,37
Клубный чемпионат мира по футболу 2008 (составы),21
List of Chinese football transfers winter 2011,32
2004–05 Fulham F.C. season,29
List of Slovak football transfers winter 2012–13,5
List of Belgian football transfers winter 2012–13,33
List of Cypriot football transfers winter 2011–12,95
2009–10 Ipswich Town F.C. season,28
List of Chinese football transfers winter 2014,39
List of German football transfers summer 2013,24
List of Azerbaijan football transfers summer 2012,36
List of Azerbaijan football transfers winter 2011,30
List of South Korean football transfers winter 2011–12,4
2010–11 Estudiantes Tecos season,22
Syracuse Orange men's soccer,14
2014 Indonesian Inter Island Cup squads,50
Manchester City Football Club 2000-2001,14
2014–15 UEFA Youth League squads,25
2014 Indonesian Inter Island Cup squads,53
List of Russian football transfers summer 2010,74
2005 South Carolina Gamecocks men's soccer team,1
List of Ukrainian football transfers summer 2009,27
List of Chinese football transfers summer 2010,40
List of French football transfers summer 2013,5
List of Azerbaijan football transfers summer 2012,17
List of Chinese football transfers winter 2012,5
List of Russian football transfers summer 2010,16
List of Bosnia and Herzegovina football transfers winter 2012–13,19
List of Latvian football transfers winter 2014–15,25
List of Slovak football transfers summer 2013,24
List of Maltese football transfers summer 2010,1
List of Norwegian football transfers winter 2012–13,27
2013年中国足球冬季转会列表,47
List of Belgian football transfers summer 2015,14
韋斯咸2012年至2013年球季,41
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,5
2006 South Carolina Gamecocks men's Soccer Team,25
Akron Zips men's soccer,10
Akron Zips men's soccer,6
List of Mexican football transfers summer 2010,21
FIU Panthers men's soccer,14
2013–14 UEFA Youth League squads,37
List of South Korean football transfers summer 2012,28
All-time Saint Louis Athletica roster,11
List of Chinese football transfers winter 2011,21
2008–09 Queensland Roar W-League season,14
Toledo BM,5
List of Uzbek football transfers 2012,39
Al-Rayan SC Handball Team,2
2014–15 UEFA Youth League squads,13
List of Azerbaijan football transfers winter 2012,16
List of Chinese football transfers winter 2012,28
List of Norwegian football transfers 2010,38
2010–11 San Luis F.C. season,17
2012–13 West Ham United F.C. season,39
List of Belgian football transfers winter 2013–14,30
List of Cypriot football transfers summer 2013,102
Cal Poly Mustangs men's soccer,27
List of Hungarian football transfers summer 2010,45
List of Ukrainian football transfers summer 2010,8
List of Azerbaijan football transfers summer 2011,4
List of Azerbaijan football transfers winter 2014,5
West Ham United F.C. Reserves and Academy,68
Sapura HC,14
Elencos da Copa do Mundo de Clubes da FIFA de 2012,16
List of Japanese football transfers winter 2009–10,19
List of Azerbaijan football transfers summer 2011,3
List of Hungarian football transfers summer 2012,3
List of Serbian football transfers winter 2011–12,24
List of Iranian football transfers winter 2013–14,50
List of German football transfers summer 2013,27
List of Bulgarian football transfers winter 2011–12,69
List of Cypriot football transfers summer 2008,3
List of Greek football transfers summer 2012,33
List of Iranian football transfers summer 2011,25
2013 FIFA Club World Cup squads,12
List of Belgian football transfers summer 2014,53
Laguna F.C.,20
2014–15 Grimsby Town F.C. season,20
List of Russian football transfers winter 2011–12,38
List of Belgian football transfers summer 2009,13
List of Latvian football transfers summer 2014,6
List of Serbian football transfers winter 2013–14,33
2008–09 Queensland Roar W-League season,9
List of Iranian football transfers summer 2013,4
F.C. Cape Town,22
List of Uzbek football transfers 2012,54
Toledo BM,13
2002–03 Manchester City F.C. season,44
Saison 2013-2014 du Valenciennes FC,21
FIU Panthers men's soccer,1
List of Estonian football transfers summer 2013,8
List of Japanese football transfers summer 2012,4
West Ham United F.C. Reserves and Academy,38
List of Slovak football transfers summer 2013,37
Universitario Lima/Lista piłkarzy,25
List of Cypriot football transfers winter 2013–14,41
2010–11 C.F. Pachuca season,17
List of Russian football transfers winter 2011–12,24
List of Belgian football transfers summer 2009,27
2012 Wake Forest Demon Deacons men's soccer team,8
List of Azerbaijan football transfers winter 2011,31
2006 FIFA Club World Cup squads,21
