http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
هاسفيك,551693122
Contea di Bracken,476137677
Anoka County,1279274677
Stokke,93685719
"Бат (округ, Кентукки)",809934118
"Аллегейни (округ, Пенсильвания)",2200669361
Эйгерсунн,429752306
أفون (كولورادو),20215241
Ванюльвен,341665835
Bristol County (Massachusetts),1610880343
ハリバートン郡,3723971936
Contea di Doniphan,933683337
ネバダ州,292144144052
"Volusia County, Florida",2442095121
Балестранн,465593782
Реннебу,775144366
Meløy,776981087
"Бивер (округ, Пенсильвания)",1358539160
Tennessee,117187935831
博根縣,584153849
Лаванген,274589266
مقاطعة رولنز (كانساس),3245899701
"Ben Hill County, Georgia",664593960
"Брэдли (округ, Арканзас)",1750455305
نوتودن,783392310
ラノディエール地域,11580903962
Eidsberg,211256011
Sokndal,294828955
Contea di Pratt,1887865497
Tjeldsund (Kommune),367053344
Hrabstwo Travis,2066178601
Hrabstwo Bath (Kentucky),784746412
هارستاد,374160225
Contea di Bedford (Virginia),2067874078
Modalen,381455039
Wilson County (Kansas),1521593840
Hrabstwo Bradley (Arkansas),1964058774
Sykkylven,333714805
Melhus,592933238
Suldal,1329791412
Bradford County (Pennsylvania),3429808647
Comté d'Adair (Kentucky),1099083647
レンフルー郡,7833397160
Мосс (Норвегия),63552764
Tennessee,104321697507
Эурскуг-Хёланн,848081422
Andebu,206510112
Nannestad,358862135
Valle (Noruega),1077273887
مقاطعة وياندوت (كانساس),412278412
Nordreisa,3107729658
"Аллегейни (округ, Мэриленд)",1312745355
مقاطعة آدمز (نبراسكا),1764036320
Marshall County (Kansas),1925998110
Sauda,546712178
Hrabstwo Bristol (Massachusetts),1445840356
Contea di Pottawattamie,2513742940
Våler i Hedmark,721049299
Gjerstad,294677340
Benton County (Mississippi),1072592032
Ланодьер,12237255731
Batticaloa (district),2354653585
Сельюр,577454887
Contea di Benson,3195286548
Logan County (Kansas),3300828161
Allen County (Kansas),1399317624
"Аплинг (округ, Джорджия)",1496011839
Condado de Dickinson (Kansas),1878494266
Condado de Wyandotte,397243246
Comté de Bland (Virginie),1017994165
Hrabstwo Boone (Arkansas),1293145379
Comté d'Addison,1693809968
ラサール郡 (イリノイ州),2970234465
مقاطعة أندرسون (كانساس),1234343692
"Блаунт (округ, Алабама)",1979996225
Torsken,218449728
Adams County (Idaho),3764109076
Labette County,1660859330
Condado de Lincoln (Kansas),1599940814
Comté d'Armstrong (Pennsylvanie),1637289706
"Adams County, Pennsylvania",1208317489
Contea di Bell (Kentucky),958278914
"Carteret County, North Carolina",1518080187
"Boyle County, Kentucky",467522875
Rhode Island (staat),2589108126
アントリム郡 (ミシガン州),1205179895
Мельдал,589069601
Ampara (district),4949215714
Tysvær,425628428
Comté de Bracken,449958136
奧克達爾,524454259
Karasjok,5476110996
Holmestrand,70359808
Decatur County (Kansas),1969437992
Masfjorden,599120830
Contea di Carter (Tennessee),969500189
Comté de Traill,1911196578
Røyrvik,1166586586
"Барбур (округ, Западная Виргиния)",901971816
Eidfjord (Kommune),1460613397
"Болдуин (округ, Джорджия)",604570737
مقاطعة أدير (ميزوري),1286037436
"Ассеншен (приход, Луизиана)",870672813
Comté d'Anderson (Kansas),1509088804
Halsa,331684232
サウスカロライナ州,73569207010
Fresno County,18115630377
"Stanton County, Kansas",1813501120
Comté d'Anson,1492530634
Comté de Belknap,1021253290
