http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
Paro (unità periferica),240749388
Karpathos (district régional),299096632
Unidad periférica de Piería,1534805189
Elide (unità periferica),3020083640
Jednostka regionalna Wyspy,842936442
Jednostka regionalna Kozani,2728075582
Milos (unidade regional),348852699
Pieria (unità periferica),1627591516
Unidad periférica de Eubea,3586593413
Etolia-Acarnania,6004051173
Rodopi (Regionalbezirk),2695914439
Béotie,2784461847
Kilkis (regionale eenheid),2591722369
Corinthia,2314368966
Jednostka regionalna Pella,2191279551
Thesprotia,1624037223
西雅典,64573802
Jednostka regionalna Korfu,571222142
干尼亞州,2506047943
Heraclião (unidade regional),2448132937
Jednostka regionalna Rodos,1641071993
Atenas Septentrional,168670057
Jednostka regionalna Heraklion,2725952929
Unidad periférica de Islas,767373440
Kilkis (unità periferica),2319280954
Салоники (ном),4406629074
Imathia,1722241322
