http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/areaLand
布朗特县 (田纳西州),1692555420
Forsand,702581675
Etne,843522307
Mandal (gemeente),221858029
Seljord,598406533
阿瑟縣 (內布拉斯加州),1936167312
Utsira,5758921
Levanger (gemeente),653053775
Agdenes,320693293
Apache County,31302123345
伯姆盧,225929484
"Бентон (округ, Вашингтон)",3724105749
Kalutara (district),1777527941
Kalutara District,1674333448
Ottawa County (Ohio),643392491
Montreal (Agglomeration),504591767
Miami County (Kansas),1471777569
Paróquia de Allen,1846512901
Condado de Archer,1971144075
Bamberg County,1071777524
Aure (Norvegia),569812588
Condado de Brookings,2089303827
ハッセル (ノルウェー),637673835
Contea di Labette,1560764220
Brown County (Kansas),1297238923
安德魯縣 (密蘇里州),1115847567
Condado de Hamilton (Kansas),2818456370
Randaberg,25203391
Contea di Mitchell (Kansas),1735609530
"Барага (округ, Мичиган)",2194858077
Benton County (Washington),4885878371
スタッフォード郡 (カンザス州),2379665475
مقاطعة واشنطون (كانساس),2041569024
Califórnia,467189918411
Modalen,406173053
Ульвик,696228654
桑内斯,314509098
مقاطعة برليسون (تكساس),1589544490
"Atkinson County, Georgia",845243765
مقاطعة لين (كانساس),2106228748
Karlsøy,1154706061
داكوتا الجنوبية,179117312612
Jondal,238129167
Bledsoe County,901971660
Blue Earth County,1956566697
Comté de Blair,1355726516
哈德瑟爾,665097927
Ford County (Kansas),3200296615
オールバニ郡 (ワイオミング州),10935373336
Tana (Noruega),3831203526
俄亥俄州,97440335797
Horten,58538751
ゴーヴ郡 (カンザス州),2674801935
Austrheim,69818398
Condado de Bay (Florida),2214120296
Nueva Jersey,18704786140
Midtre Gauldal,1780549659
"Беркли (округ, Южная Каролина)",2754779065
Hrabstwo Black Hawk,1572273551
Huron County (Michigan),2280108271
Condado de Allen (Kansas),1080203693
Årdal,930520754
Hrabstwo Brazoria,3688022375
Vågsøy,144902548
海姆內斯,1545110086
مقاطعة بوند (إلينوي),843265240
Nordre Land,1023547309
Викна,268290592
利勒哈默尔,468408974
ラルヴィク,545351989
Sør-Varanger,3334355133
"Alexander County, Illinois",551071557
Benton County (Minnesota),1110916198
ブラウント郡 (テネシー州),1168997042
"Baker County, Oregon",8675730603
Bas-Saint-Laurent,23357317104
Agglomération de Montréal,492987147
مقاطعة بلايني (أيداهو),6922108098
巴特勒縣 (內布拉斯加州),1254914855
アリゲイニー郡 (ノースカロライナ州),547214048
Comté de Burnet,2184581803
Verdal,1484044600
Нес (Бускеруд),783425735
Condado de Alleghany (Virgínia),1221039594
Balestrand,370903871
Bas-Saint-Laurent,21277170470
Forsand,733181079
Melhus,543972374
مقاطعة بارو (جورجيا),482397811
ハンメルフェスト,1027603336
ブリスコ郡 (テキサス州),2324525600
Connecticut,15673055204
"Бекер (округ, Миннесота)",3685927116
Hrabstwo Boone (Iowa),1740304780
Comté de Clay (Kansas),1526940525
Condado de Bennington,1812738161
Svelvik,50158279
سيلبو,1140415339
Condado de Rooks,1999473078
Hrabstwo Baxter,1576137039
Condado de Benton (Arkansas),2501167409
アンドロスコッギン郡 (メイン州),1524708273
"Каули (округ, Канзас)",2991981750
Capitale-Nationale,22751336651
Contea di Cherokee (Kansas),1860337826
アーチャー郡 (テキサス州),2455339706
Comté de Sheridan (Kansas),2350853393
"Блэнд (округ, Виргиния)",888016495
Luizjana,106306682191
Rendalen,3314652796
Rana (Nordland),3722819210
Masfjorden,596345384
Sør-Varanger,3704240723
Ørsta,696033432
Nesset,926346151
Comté d'Arapahoe,1999020546
バーリン郡 (ジョージア州),1016551718
"Брадфорд (округ, Флорида)",794374282
Alcona County,1508399754
Sørfold,1282482722
"Bourbon County, Kentucky",760684987
Comté d'Adams (Colorado),2639809822
Hrabstwo Bryan (Oklahoma),2444967602
Hrabstwo Alexander (Illinois),642539291
Montana (staat),343701525650
Винье,2268670331
Trysil,3341844561
Hrabstwo Thomas (Kansas),2589513518
Beckham County,2089655473
Allamakee County,1487316875
Løten,355540813
"Хеттингер (округ, Северная Дакота)",2806352253
Condado de Elko,42923274784
"Бё (коммуна, Телемарк)",244757539
布洛克县 (佐治亚州),1579229313
拉什縣 (堪薩斯州),1585466089
Тиме (Норвегия),192663988
Comté de Bergen,512641182
Arenac County,867338804
"Brown County, Texas",2214296162
斯泰恩谢尔,1452523767
"Bedford County, Tennessee",1290330687
Condado de Brazoria,4180296013
ボリバー郡 (ミシシッピ州),2240562914
切羅基縣 (堪薩斯州),1843741518
Montgomery County (Kansas),1614191073
Froland (gemeente),731022484
Bernalillo County,2706926781
斯韋奧,221450956
"Box Elder County, Utah",12192385395
Comté de Brooks (Texas),2428351558
ハミルトン郡 (カンザス州),2835841304
Ос (коммуна),89662681
Lyngen (gemeente),709229485
مين,89823275426
"Bø, Nordland",264841068
Condado de Buffalo (Dakota do Sul),1410454656
Йёвик,552661187
Søndre Land,711403728
Hrabstwo Nassau (Nowy Jork),684305002
Bennett County,3058100870
葛蘭姆縣 (堪薩斯州),2084335391
阿利根尼縣 (賓夕法尼亞州),1961846299
Eidsvoll,361757162
Våler (Hedmark),820356950
Калутара (округ),1681548542
Hrabstwo Augusta,2290960051
"Bell County, Texas",2618706061
Ellsworth County,1937745386
Condado de Bradley (Arkansas),1762826234
"Одрейн (округ, Миссури)",1657581630
Øygarden,66061017
مقاطعة أنوكا (مينيسوتا),1252438782
Hrabstwo Anderson (Kansas),1465347998
ニュージャージー州,20565938257
リパブリック郡 (カンザス州),1836840363
敘拉,50651309
ベイフィールド郡 (ウィスコンシン州),4349407072
Condado de Morris (Kansas),1787683453
Vanylven,346737810
"Bolivar County, Mississippi",2503002147
Vindafjord,676750826
مقاطعة آدامز (كولورادو),3168562076
Wayne County (Pennsylvania),1997318488
Contea di Alpena,1481260841
Contea di Bedford (Virginia),2086597187
Rissa (Norvège),553095838
Herøy (Nordland),57304091
Contea di Adams (Mississippi),1056442429
California,368278639468
Gamvik,1173271981
ベントン郡 (テネシー州),1244359915
Marnardal,313358846
班納縣 (內布拉斯加州),1899308310
托馬斯縣 (堪薩斯州),2911068956
Condado de Bell (Kentucky),790272959
"Belknap County, New Hampshire",985762754
Ås (Noruega),110522337
Hrabstwo Baker (Georgia),892963080
"Атала (округ, Миссисипи)",1780638198
Hrabstwo Boone (Wirginia Zachodnia),1434482330
Comté de Cheyenne (Kansas),2516732572
バクスター郡 (アーカンソー州),1631461543
Adair County (Missouri),1623753691
Carter County (Tennessee),948028510
Røyken,126043128
ベンジー郡 (ミシガン州),966388643
Moss,62545222
Condado de Barton,1393912094
Vadsø,1108522339
Contea di Barton (Kansas),2470595258
Bell County (Kentucky),775416987
艾于斯特沃爾,97618972
Comté d'Anson,1400737216
Condado de Bartow,1307778435
Øyer,691778577
格拉唐恩,281288792
Lyon County (Kentucky),583423657
Rana (Norvegia),5136919693
埃弗里縣 (北卡羅萊納州),531990047
Frosta (Norwegen),67191664
韋島 (挪威),18275651
Rømskog,171144060
Condado de Brooke,235350887
Фло (коммуна),565493230
Condado de Lyon (Kansas),2074423760
埃特訥達爾,452398892
Hrabstwo Smith (Kansas),2681726937
Giske,32838016
特朗厄達爾,835833730
Oppegård,36415781
Karasjok,4799546723
克維特塞德,652090544
デュページ郡 (イリノイ州),653810535
Comté de Bottineau,4716262100
Doniphan County,906055593
布里斯托縣 (麻薩諸塞州),1676652678
Хамарёй,819398671
阿珀努斯县 (艾奥瓦州),1228210402
孔斯温厄尔,963310525
رانا (النرويج),3939885331
Voss,1620018037
貝德福縣 (田納西州),1430590041
Lanaudière,10143122073
比羅縣 (伊利諾伊州),2316063079
トーマス郡 (カンザス州),2682223596
Френа,399860092
Contea di Adams (Washington),5661109711
Skien,707036499
Bygland,1391780582
文訥斯拉,302494254
Alcorn County,1230923006
奧德雷恩縣 (密蘇里州),1728401131
مقاطعة وابونسي (كانساس),2604348945
Riley County,1528321631
Atkinson County,975240223
Austrheim,52000743
Solund,239391873
弗萊斯貝格,597742244
"Bannock County, Idaho",3121526705
Etne,606303266
Contea di Chautauqua (Kansas),1656654040
Holtålen,968455544
Comté de Blaine (Idaho),6146977348
Condado de Box Butte,3169969915
Contea di Benton (Missouri),1914712159
مقاطعة بونيفيل (أيداهو),5204185181
Condado de Cumberland (Pensilvania),1293392422
مقاطعة أبلينغ (جورجيا),1336218014
Contea di Anderson (Tennessee),885666992
Forsand,567080911
Åfjord,709920683
Comté de Brevard,2781593522
Paroisse de l'Acadie,1489279266
松 (挪威),93304094
"Стэнтон (округ, Канзас)",1985588248
"Allen County, Kansas",1192748794
Kåfjord,765972888
Sherman County (Kansas),2251543189
"Smith County, Kansas",2191387903
"Бентон (округ, Теннесси)",1111017639
Blaine County (Montana),10553768523
Risør,198839455
Tromsø,2546513714
Selje,245768698
Leirfjord,466531795
オッダ,1332277093
Kristiansund,86646731
布恩縣 (伊利諾伊州),736386384
Condado de Brooks (Texas),2326206038
Dyrøy,343027034
Condado de Adams (Iowa),1280641307
Hrabstwo Ness,3150731020
"Петролеум (округ, Монтана)",5152163022
أيدسبرغ,235569471
"Grane, Nordland",2080774444
Condado de Armstrong (Pensilvânia),1687648982
Sande (Møre og Romsdal),87734301
カリフォルニア州,319314857693
Benton County (Oregon),1631107505
Contea di Bourbon (Kansas),1490826876
蓋于斯達爾,1198621910
托什肯,251791818
Berrien County (Michigan),1553982932
"Benton County, Washington",4796775012
Condado de Berrien (Michigan),1330489882
"Гурон (округ, Мичиган)",1940730843
Condado de Buchanan (Virginia),1095388996
Blackford County,433243416
Roan,312569696
Ørland,59755229
مقاطعة شرمان (كانساس),2844638175
مقاطعة باوندري (أيداهو),3518927883
Eid,476583687
Bath County (Virginia),1188091794
Bjugn,335188660
Condado de Adams (Washington),4289763046
Condado de Ben Hill,715795758
Арчулета (округ),3994253164
"Comanche County, Kansas",1752496997
Comté de Ness,2748841803
Comté de Crawford (Kansas),1507663582
مقاطعة بوتاواتومي (كانساس),2149647618
Hrabstwo Benton (Waszyngton),4251264439
Comté d'Atascosa,2992427475
Porsgrunn,171546080
Condado de Berks,2174695377
ブラゾス郡 (テキサス州),1652994402
Solund,175328358
مقاطعة أسوتين (واشنطن),1510109886
"Audrain County, Missouri",2050846481
蔡斯縣 (堪薩斯州),2127422632
ネバダ州,281144384636
Vågå,1154313631
卡姆島 (自治區),241139656
"Bottineau County, North Dakota",4434796292
Nord-Odal,492706302
Bracken County,455836495
Burnett County,2133978473
Санне (Вестфолл),184894875
Ørsta,726655803
Condado de Morton (Kansas),2136966419
Jackson County (Michigan),1744537377
Hof (Norwegia),178902135
Fjaler,370656272
Hrabstwo Edwards (Kansas),1689575917
Condado de Bryan (Oklahoma),2487407232
Condado de Washington (Kansas),2369004802
"Харпер (округ, Канзас)",1981704302
Verran,574790527
Sheridan County (Kansas),2443022452
