http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
Ilhéu Bombom,14
Thurø,3871
Île de Batz,539
海峡群岛,144591
Ilha Kotelny,1
薩爾島,29065
Kauai,62537
Dalupiri Island,601
Chetwode Islands,0
Toau,19
Rakahanga,157
伊尼什默里島,0
Ross Island (Andaman),10
Sainte Anne (Insel),39
Beall Island,0
Abemama,3506
جزيرة ماكيناك,532
Saint Croix,48004
Sylt,21939
科尔古耶夫岛,297
New Hanover Island,17621
Clarence (eiland),0
Styrsö,1221
Kiusiu,14274596
Seszele,110974
Carriacou,7005
Фараулеп,205
Rockall,0
パンテッレリーア,6761
シュガー島 (ミシガン州),781
Tybee Island,3105
Terre-de-Bas (île des Saintes),983
Leyte (isola),2485947
Spiekeroog,812
Rochedo Hetty,0
Petalouda,0
Табитеуэа,4814
Terceira,60971
波利艾戈斯島,0
Джаннутри,25
Burhou,0
Baltrum,534
Rabi,5477
Солентинаме,1024
Omø,167
Tybee Island (Georgia),3247
Ko Samui,64817
Бачан,57917
帕爾馬羅拉島,0
Geography of Nauru,8242
セーブル島,5
Kosrae,7816
Agioi Apostoloi,0
Hereheretue,56
Ilha Anticosti,239
Røvær,84
Wielki Andaman,353016
Sumatra,51834375
Ibiza (eiland),128785
White Island (Nunavut),0
Ilhas Pordim,0
厄兰岛,28279
賈盧伊特環礁,1899
ニアス島,687708
Oxeia,0
Honshu,107406641
Камчатка,302791
トスカーナ群島,38752
Dokos,20
Bornholm,33801
Île Victoria (Russie),0
Bjørnsund,0
Île-de-Bréhat,414
Bickerton Island,161
Мили,979
Islote de Cima,0
エロマンガ島,1627
Puka Rua,219
Ōnohara Islands,0
Ellingsøy,2145
Plavnik,0
Prvić (Šibenik),352
賈普坦島,129
Endelave,166
Kosrae,5891
North Jutlandic Island,298396
Spinalonga,0
Vega Island,0
布倫島,689
Скувой,51
Carriacou,8028
Isla Nikumaroro,0
Хольбош,1188
Islas de la Magdalena,14776
Belcher Islands,781
Andaman du Sud,190610
Tatakoto,309
Geography of the Isle of Man,84851
Isla Melville,0
Ibiza,139147
Knox-Atoll,0
Moorea,15540
Suwanosejima,49
Praslin (Seychelles),6451
