http://dbpedia.org/ontology/Train,http://dbpedia.org/ontology/weight
Schienenzeppelin,20853232
Shinkansen E5,379127768
FS ALe 801 und ALe 940,64506561
TMK 101,16292339
Electroliner,98269885
Locomotiva DB 401,57032743
R62A (New York City Subway car),32272865
Stadler Dosto,260198802
Britische Klasse 395,264045976
NSB Class 83,36330347
JR Shikoku 1000 series,29148562
Séries N700 - Shinkansen,759367128
Taipei Metro C341,44849743
ETR 490,177395811
Treno Servizio Regionale,60141223
Sydney O-Class Tram,19156513
KiHa 11,30665637
Amfleet,42454544
Škoda 14 T,40308627
RENFE serie 490,172234944
C3 (railcar),55712485
Britische Klasse 185,167135700
R8A (New York City Subway car),29073491
CAF Urbos,35035021
ETR 470,691382177
Autorail AR41,82795744
FS ALe 724,49749340
ETR 600,430200497
X40,152576198
HHA Typ DT1,47336525
V250 (train),407834294
VR Class Dm11,52177109
R7 (New York City Subway car),38852742
207 series (JR East),306998413
British Rail Class 153,44704588
Acela Express,653371954
ICE 3,417776319
Kintetsu 23000 series,243863883
ČSD-Baureihe M 152.0,19121247
Elettrotreno DB 422,120571279
Tram ATM serie 4600 e 4700,25156254
British Rail Class 438,31070283
Budd Rail Diesel Car (RDC),52629711
British Rail Class 395,241465356
SJ X2,76744826
法國國鐵TGV Duplex列車,461364772
British Rail Class 175,117481989
British Rail Class 142,53790586
西班牙国铁100型电力动车组,369176540
KiHa 160,27968989
JR四国1000形気動車,30871586
スーパーライナー (客車),71724366
NZR RM class (Silver Fern),90447721
DB Class 614,155478243
ETR 200,107354091
スイス国鉄RABDe510形電車,141921904
ATM Class 4900,35402115
Alfa Pendular,274050429
FS Class ALe 724,45170125
SL X60,213709215
TGV 2N2,431333493
SL X10,86624564
Keikyu 1000 series,33625579
2000 class railcar,74148326
ICE-2列車,483230274
ETR 600,426368452
Automotrice RhB ABe 4/4 III,46362132
RhB ABe 4/4 (Stammnetz),37520220
ICE 3,456486331
TS Class 3,12337904
RŽD-Baureihe ЭС1,249835533
Рельсовый Цеппелин,17753536
