http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Stal Mielec,6042
ACD San Marcial,645
Club Deportivo Hungaritos Agustinos,23521
Хурибга (футбольный клуб),8203
CD Brunete,3161
サラブリーFC,6495
Ahli Sidab Club,38001
Al-Sadd,14514
Girona Futbol Club,8919
Ashanti Gold S.C.,28602
Club Deportivo Ebro,1057
Ungmennafélagið Víkingur,1051
Football Club Nitra,5439
Bedfont Sports F.C.,2856
Associazione Calcio Rodengo Saiano,2576
Tur Turek,2
Pretoria University Football Club,12144
Maccabi Ahi Nazareth,5033
Forces Armées Royales de Rabat,49932
Club Deportivo Irapuato,31283
Woodley United F.C.,2145
泽斯塔波尼足球俱乐部,4928
ASD OP Savoia,10740
FK Khujand,27097
Kataller Toyama,28812
Kano Pillars FC,26194
Pailan Arrows,121926
Телфорд Юнайтед,6163
Dianella White Eagles SC,1663
ハーランド・アンド・ウルフ・ウェルダーズFC,3195
Inter Fútbol Sala,2772
Olympique Khouribga,10020
Fotbal Club Săcele,3659
Al-Masry Port Said,17697
UA Maracaibo,42661
FC Neman Mosty,2677
FC London,968
Челябинск (футбольный клуб),15087
Orihuela Club de Fútbol,5549
Melbourne Victory Football Club,27685
JK Narva Trans,2604
Fujieda MYFC,10816
Cambridge United F.C.,8504
FC Fastav Zlín,6041
Associação Desportiva Recreativa Cultural Icasa,22484
Nostell Miners Welfare F.C.,1193
FC Yenisey Krasnoyarsk,20637
Al-Ansar SC,23758
Inter Club Brazzaville,33463
Адама Сити,4002
马斯里体育俱乐部,15789
Sportovní Klub Dynamo České Budějovice,5341
"Аякс (футбольный клуб, Кейптаун)",53264
Nauti FC,1348
"Неман (футбольный клуб, Мосты)",2261
Sharjah SC,9618
Club Esportiu Alaior,2507
KSフラムルタリ・ヴロラ,7886
نادي الباطن,3416
KMKM F.C.,5948
Futbol'nyj Klub Volga Tver',7576
MFK Karviná,4854
Al-Ahli Club,9466
Timbaúba Futebol Clube,5636
Maccabi Herclijja,7929
National Port Authority Anchors,8518
伊斯蘭教體育俱樂部,39277
FKルダル・プリェヴリャ,4200
Vác Futball Club,10187
Trujillanos Fútbol Club,26343
FC Vysočina Jihlava,3956
Associação Atlética Ferroviária,3209
Football Club Fastav Zlín,5720
Ankara Demirspor,37421
KF Shkëndija,15974
PFK Shurtan Guzar,7999
Boavista Sport Club,9738
Al-Arabi (Katar),13769
JS Baco,1
Red Sea Football Club,18632
博托沙尼足球俱樂部,11067
Aris SC,2260
ゴールウェイ・ユナイテッドFC,5676
PFC Svetkavitsa,7151
科薩足球會,19230
CD Palestino,12421
KS Kamza,4367
赖扬体育俱乐部,25071
Santos Football Club,40485
CDゴドイ・クルス・アントニオ・トンバ,18632
Adélaïde United Football Club,14950
FC Ural Sverdlovsk Oblast,7839
Deltras Sidoarjo,38893
Club Deportivo Quintanar del Rey,2775
PSMS Medan,19894
نادي شهرداري بندر عباس,11770
Red Sea FC,20494
FK Zvezda Irkutsk,4273
West Ham United Football Club,55998
"Спартак (футбольный клуб, Пловдив)",3419
FC Alga Bishkek,9096
Carlisle United F.C.,19716
SC Apolda,6207
Saint-Pryvé Saint-Hilaire Football Club,1660
Fudbalski klub Grbalj,2
Newcastle United F.C.,52743
CD Eldense,4053
Msida Saint Joseph,15551
Al Arabi Sporting Club,27259
Голден Эрроуз,9092
Berekum Chelsea F.C.,11003
SV Feldkirchen,2173
FCバーゼル,38444
Kristianstad FC,7379
Msida Saint-Joseph F.C.,16728
Club Atlético Rentistas,10669
G.D. Ribeirão,2559
FK Jablonec,6648
Unió Esportiva Cornellà,1625
FC ViOn Zlaté Moravce - Vráble,5077
Union Sportive Rumelange,3749
KS Kastrioti Krujë,9209
Feyenoord Rotterdam,55395
Rampla Juniors,5700
Navarro Club de Fútbol,1300
Santos Futebol Clube de Angola,14644
رامبلا جونيورز,4543
