http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/squadNumber
Tipografía Nacional,5
2013–14 Maccabi Tel Aviv F.C. season,18
Fortuna Ålesund,18
2003–04 Manchester City F.C. season,28
CWKS Resovia,15
Vipers SC,6
Tipografía Nacional,13
2013–14 Maccabi Tel Aviv F.C. season,28
HSG Wetzlar,6
Union Royale La Louvière Centre,86
Benadir SC,10
Los Angeles Skyhawks,13
Banadir Sports Club,5
Manchester City Football Club 2002-2003,13
CWKS Resovia,10
Banaadir Telecom FC,2
CWKS Resovia,15
Manchester City Football Club 2004-2005,36
CWKS Resovia,8
2013–14 Maccabi Tel Aviv F.C. season,33
2014–15 Viborg FF season,14
HSG Wetzlar,23
Shandong Province Youth Football Team,21
Sport Bissau e Benfica,5
Sport Bissau e Benfica,2
CWKS Resovia,3
Manchester City Football Club 2004-2005,31
2003–04 Manchester City F.C. season,37
Manchester City Football Club 2004-2005,33
2003–04 Manchester City F.C. season,28
Manchester City Football Club 2004-2005,3
Banadir Sports Club,24
山东省男子队 (2011年),4
Manchester City Football Club 2002-2003,32
Toledo BM,2
Shandong Province Youth Football Team,31
2003–04 Manchester City F.C. season,26
Manama Club,10
UR La Louvière Centre,8
FK Brskovo,38
Tipografía Nacional,7
HSG Wetzlar,23
HSG Wetzlar,27
Banadir Sports Club,25
2014–15 Viborg FF season,20
HSG Wetzlar,14
Vipers SC,7
Toledo BM,21
山东省男子队 (2011年),25
Tenaga Nasional Berhad HC,21
Shandong Province Youth Football Team,6
Tacoma Tides,1
UR La Louvière Centre,73
Vipers SC,27
HSG Wetzlar,20
Resovia Rzeszów,17
FK Bratstvo Cijevna,16
HBL FC,8
Benfica de Bissau,25
F.C. Cape Town,30
Manchester City Football Club 2004-2005,40
HSG Wetzlar,27
Handballspielgemeinschaft Wetzlar Handball,28
