http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
La loba herida,200
فيفي والزهرات الصغيرات,117
Rookie Blue,84
Prison Break,84
فيردي (مسلسل),47
暴坊將軍,949
Marvel’s Daredevil,25
Family Matters (Singaporean TV series),21
Ek Mahal Ho Sapno Ka (TV series),918
Alias Smith und Jones,55
Believe (telessérie),12
Martha habla,102
Better Call Saul,19
Lasciate in pace i koala,28
Bottle Boys,12
Celebrity Duets,9
Contra viento y marea,135
The Farm (UK TV series),19
"Spenser, detective privado",4
"Gabriela, giros del destino",118
Mia sorella Sam,40
Hero: 108,97
Caméra Café,630
The Cuckoo Waltz,27
Once Upon a Time,142
¡Vivan los niños!,119
Gwiezdne wrota: Wszechświat,34
Pulitzer Prize Playhouse,68
Canavial de Paixões,129
أرض المعركة (مسلسل),12
Armia tatuśka,68
The Family (2011 TV series),8
超人力霸王葛雷,12
Le avventure di Super Mario,24
Hatch's Mill,12
48 Hours,875
Mary Kay and Johnny,334
Sons of Tucson,12
Conflict (serie televisiva),20
Lancer,44
Majority Rules – Becky regiert die Stadt,29
Danny Phantom,42
Towser,22
Laguna Beach MTV,45
Fortitude (TV series),14
A Gifted Man,14
"Paradise, znaczy raj",64
名作背後,28
Entertainers with Byron Allen,18
Génial Génie,86
Open House with Gloria Hunniford,125
Quatermass Conclusion - La Terra esplode,4
The War at Home,41
Spider-Man and His Amazing Friends,27
والاس وغروميت,28
Turno di notte (TV series),12
The Real World: D.C.,16
Legenda o Białym Kle,28
The Strip (NZ TV series),46
I'm in the Band,43
Bez przeszłości,29
PitchMen,19
Szczenięce lata Clifforda,34
Duckman,83
Vier gegen Z,38
Go Girls,65
Pole Position (série),12
Misión SOS,124
King Arthur's Disasters,23
Conflictos de un médico,20
Gilmore Girls,165
となりのサインフェルド,184
The Game (U.S. TV series),132
My Kind of Country (TV series),14
談判專家 (電視劇),34
Real Kung Fu,22
Le Rêve de Diana,2644
Cheonbeon-ui immatchum,44
Amorcito corazón,188
Aquarius (serie de televisión),27
Paul Temple (serie televisiva),52
Street Fighter (serie televisiva),32
I Love Money (season 4),11
Law & Order: Trial by Jury,12
The Killing (serie televisiva 2007),38
The Carrie Diaries (Fernsehserie),28
The Pressure Cooker,1
'Orrible,7
Full Swing (game show),9
Cake Boss,229
Дикий ангел (телесериал),251
ラマだった王様 学校へ行こう!,42
Cops: L.A.C.,11
Friday Night Lights (televisieserie),74
La piccola grande Nell,147
كلارنكس,76
The Real World: Key West,23
Skunks Fu,30
Звёздные врата: Бесконечность,26
James May's Toy Stories,4
القنفذ سونيك ( سلسلة كرتون) 1993,23
Homemade Jam,3
Verbotene Liebe (serial telewizyjny),4039
Parks and Recreation,107
Delocated,24
Parks and Recreation,108
グッドラックチャーリー,108
Birds of a Feather,115
La famiglia Brady,108
List of Bakugan Battle Brawlers episodes,52
Assaulted Nuts (TV series),6
Samantha oups!,356
City (opera mydlana),390
Mi pecado,92
暗黒の戦士 ハイランダー,114
Junior MasterChef,37
Stinky i Jake przedstawiają,71
Fashion Police,227
Мастера ужасов,26
أورسن وأوليفيا,27
The Lodge (Fernsehserie),4
По правде говоря,10
Rivalen der Rennbahn,10
ビッグ 〜愛は奇跡〜,13
El escuadrón de superhéroes,49
Убийство (телесериал),49
Chiara e gli altri,25
Jenny's War,4
Review (Fernsehserie),17
Empress Wu (1984 TV series),45
Dave and Steve's Video Game Explosion,13
李小龍傳,28
Żona dla taty,127
Country House Rescue,35
Alegrijes y rebujos,139
Los ángeles de Charlie (serie de televisión de 2011),9
Two Pints of Lager and a Packet of Crisps,78
T.I.'s Road to Redemption,9
Le Cartel,6
Sergent Anderson,107
Graceland (serial telewizyjny),37
Conan (série télévisée),20
Dave's One Night Stand,25
尋,19
Monday Monday,7
The New Adventures of Flash Gordon,31
Life (serie de televisión),26
HGTV Star,54
Kommissar Rex,91
Воздушные бои (телесериал),26
Magic Touch of Fate,17
ラスト・スキャンダル,17
Bracia i siostry,103
Hergé's Adventures of Tintin,103
Brüder (Fernsehserie),34
Open House (TV series),23
Cómplices al rescate,145
スパイダーライダーズ 〜オラクルの勇者たち〜,48
Sons of Tucson,13
I ragazzi del coro (serie televisiva),32
Były sobie odkrycia,23
Total Wipeout,12
Thunder (TV series),12
The Loop (Australian TV series),258
Братья Доннелли,11
Royal Pains,103
Yellowstone (TV series),3
Homewrecker,8
Los hermanos Venture,75
Men of a Certain Age,18
Catalina i Sebastian,124
Mystery 6,6
Noddy en el país de los juguetes,50
Jack's Place,17
Психовилль,16
Muchacha de barrio,194
Fire høytider,5
Touch (serie televisiva),22
Le Dino Train,94
The Glee Project,22
Les Belles Histoires des pays d'en haut,522
Monster Allergy,52
Aussie Ladette to Lady,14
Уоллес и Громит,1
Children's Ward,143
"Willy, il principe di Bel-Air",139
Twarda gra,24
私立探偵スペンサー,66
Ultraman Leo,45
Aşk-ı Memnu,78
لفل أب (مسلسل),40
Turnabout (TV series),7
Новые приключения старой Кристин,110
Falcon Crest,215
Docteur Marcus Welby,174
Farscape : Guerre pacificatrice,2
Игрок (телесериал),8
Dream Stuffing,11
Ruri no shima,10
Bouli de sneeuwpop,32
Eclipse (telenovela),31
Zbuntowany anioł,305
Street Fighter: Assassin's Fist,1
Stella (U.S. TV series),11
1% of Anything,27
Get Blake!,57
Drake & Josh,64
Weird Nature,6
Young Talent Time,763
Un commissario a Roma,11
AfterMASH,32
Happy Valley (TV series),12
Lost,142
29 Minutes of Fame,6
Sport Ranger,27
Laguna Beach: The Real Orange County,40
Kim Possible,68
Mask Man (cartoon),44
California Dreams,65
Stargate Universe,35
ليوناردو (مسلسل),23
Saas v/s Bahu,32
Beware the Batman,29
Estúpido Cupido (1995 telenovela),129
Uncle Grandpa,114
Maximiliano y Carlota,45
Cold Feet (series 1),6
Professor Balthazar,65
Saison 2 de Burn Notice,13
Bella Calamidades,124
Conflictos de un médico,21
Eretz Nehederet,247
Stargate: Infinity,24
Kwizerr,40
Dark Knight,27
The Paradise,16
The Crocodile Hunter,67
الملكة البيضاء,8
The Family (1974 TV series),10
La mujer perfecta,130
The True North,9
Jinx (TV series),13
灵异妙探,133
Ganyan Kita Kamahal,88
Two Weeks (TV series),16
Stargate Infinity,23
Jinx - Fornelli e magie,13
Борджиа (телесериал),34
On Air (serial televisivo),17
Scorch (TV series),3
The Journey: Our Homeland,25
Drake i Josh,61
王子變青蛙,27
The Timeline,17
Psych,109
Ravenswood (serie de televisión),10
Queen Seondeok (TV series),71
Seinfeld,180
Bored to Death,26
Taizu Mishi,53
Sexton Blake (TV series),50
Birra e patatine,79
Stargate Infinity,22
Die Deutschen,18
Buffy the Vampire Slayer,171
We dwoje raźniej,25
Iron Chef,243
Зик и Лютер,72
The Amazing Spiez!,53
Livin' with Lucy,13
Best Ed,24
Who Gets the Last Laugh? (TV series),9
Uno di noi (serie televisiva),13
HEROES (テレビドラマ),81
Tales from the Green Valley,12
Glue (série télévisée),7
Linda e il brigadiere,19
Dragnet (franchise),711
Silent Library (TV series),104
Paris Hilton's My New BFF (season 2),11
The Newsroom (Série de TV Canadense),29
Perro amor,135
Please Like Me,32
Orson Welles' Sketch Book,6
千次的吻,47
Quinceañera (telenovela),85
My Two Dads,74
Cheonchu taehu,79
Heartbeat (UK TV series),301
MANTIS,19
愛情合約〜Love Contract〜,19
Duelo animal,12
Conan and the Young Warriors,12
Последний час,12
The Facts of Life (TV series),223
Geordie Shore,99
"Les Schtroumpfs (série télévisée d'animation, 1981)",262
The City (telerrealidad),30
春日華爾滋,17
Primer amor,86
Un inviato molto speciale,7
Alles was zählt,2452
ラブストーリー・イン・ハーバード,14
Le Monde en guerre,27
Charlie's Angels (televisieserie),116
The Lampies,58
Così è la vita (serie televisiva),42
Firefly (série télévisée),13
"Lass es, Larry!",81
Charlotte aux fraises,48
Kot Billy,56
"Go, Diego, Go",71
It's a Knockout (Australian game show),95
Kwiskwat,37
Ape Escape (animated TV series),19
Miami Social,8
神雕侠侶 (2006年のテレビドラマ),41
Зена — королева воинов,164
The Adventures of Ozzie and Harriet,474
Der unbesiegbare Iron Man,29
Garfield et Cie,110
Un refugio para el amor,188
Pompidou (TV series),6
Quatermass II (miniserie televisiva),6
Century Falls,6
On the Lot,15
Sesame Street,3564
ももいろぞうさん,82
In Real Life (season 3),9
Half Nelson (TV series),6
Some Mothers Do 'Ave 'Em,21
Похищенный (телесериал),12
瘋狂愛情,91
Around the World in 80 Gardens,11
Pour le meilleur et le pire,68
Un prete tra noi,12
American Idol Extra,32
Stargate Atlantis,91
Under the Canopy of Love,23
Blue Murder,44
Cucumber,8
30 for 30,28
Trollz,30
Classe di ferro,26
Smash (serie televisiva),31
Firefly (serie televisiva),14
Alvin and the Chipmunks (1983 TV series),2
Amor en custodia (México),195
Il commissario De Vincenzi,6
Op zoek naar Maria,12
Pod koszem,120
Миссия невыполнима (телесериал),211
Spider-Man and His Amazing Friends,23
Lo que el tiempo nos dejó,6
G-Men '75,325
Orphan Black,34
Glue (TV series),8
Naked & Funny,126
Saan Darating Ang Umaga?,77
I Borgia (serie televisiva francese),44
Wheeler Dealers,135
Mommy XXX,16
Iron Man: Armored Adventures,51
Rizzoli & Isles,92
Romanzo criminale – La serie,19
According to Jim,207
Como en el cine,240
Gilmore Girls,160
スターゲイト アトランティス,103
I Got a Rocket,55
Cook's Country,83
Pamiętniki wampirów (seria 1),19
Przygody kota Gotfryda,25
La Petite Boutique (série télévisée d'animation),11
Forever in My Heart,58
CBC Drama '73,12
Questa casa non è un albergo,13
Tuulepealne maa,13
Close to Home - Giustizia ad ogni costo,46
Sherlock Yack,56
Johnny Midnight (TV series),46
Cybermatt,111
Fortysomething,6
Presença de Anita,15
The First 48: Missing Persons,14
Разбивающая сердца,11
إمباكت ريسلنغ,803
The Storyteller,8
李小龙传奇,49
True Beauty (season 1),9
Aşk-ı Memnu (TV series),61
Second Chance (game show),86
Eyewitness (1994 TV series),40
Newlyweds (TV series),54
"Murder, She Wrote",235
Da Qing Fengyun,46
Tokusou Sentai Dekaranger,45
Hunter (Australian TV series),25
Most Evil,38
Hot Wheels Battle Force 5,60
Gawayn,100
CHAOS (serie de televisión),13
Deadly Games,13
Sortilegio (telenovela),82
Ask Harriet,14
Gostiya iz buduschego,5
Pulitzer Prize Playhouse,66
The Storyteller,10
Da Vinci's Demons,24
Papà prende moglie,9
Les Aventures de Sonic,70
Live with Chris Moyles,80
小鲤鱼历险记,55
Diplomatic Immunity (New Zealand TV series),14
Ménage à trois (série télévisée),27
SCORPION/スコーピオン,59
Diff'rent Strokes,170
Fix & Foxi and Friends,59
The Duke (TV series),11
K-9 (TV series),24
Atinale Al Precio,885
Ballet Shoes (TV serial),6
الاخوة والاخوات (مسلسل),103
De Legende van Korra,54
Dio vede e provvede,19
John from Cincinnati,10
HEROES REBORN/ヒーローズ・リボーン,13
لحبك (مسلسل),82
Centennial (miniseries),12
蝙蝠侠 (动画影集),86
La virgen de las siete calles,15
Pebbles i Bamm-Bamm,23
Get Karl! Oh Soo-jung,14
Manitoba 100,5
The Newsroom (Canadian TV series),37
Blue Mountain State,41
Через реку в Детройт,6
Genseishin Justirisers,56
Hyperdrive,12
Stripperella,14
Cracker (televisieserie),26
Karkú,86
Nobuta wo Produce,11
Gears and Tears,6
Жизнь как приговор,32
Lock n' Load with R. Lee Ermey,14
L'ispettore Giusti,6
Keeping Up Appearances,39
Hana yori dango (serie televisiva),10
حدث ذات يوم كوكب الأرض,32
Project Runway Philippines,38
The Wanda Sykes Show,19
Where the Legend Begins,22
ربيع الطفولة,16
The Nutty Squirrels Present,33
Alcatraz (série télévisée),12
Kröd Mändoon and the Flaming Sword of Fire,6
Benny & Ralph: due cuccioli per amici,25
Lost,119
Padre in affitto,15
Quinceañera (telenovela),125
The Office (UK TV series),12
Jayce and the Wheeled Warriors,71
Watchmen: Motion Comic,11
包青天 (1993年電視劇),261
Spojrzenia,17
A to Z (電視劇),13
The Krypton Factor,278
Vamp (telenovela),188
Kirk (TV series),33
Impact Wrestling,707
Bhootwala Serial,94
Rainbow Brite,1
الرحمة (مسلسل),53
La presencia de Anita,15
Quick Before They Catch Us,18
In Sickness and in Health,38
Cyberchase,125
Jayce i gwiezdni Wojownicy,69
The Legendary Siblings,34
Bundesvision Song Contest,11
全員逃走中,6
Ring of the Nibelungs,2
I delitti del cuoco,11
Red Dwarf: Back to Earth,3
Open House (Ireland),699
Double Time (TV drama),1
I-Witness,795
Catalina y Sebastián,120
The War at Home,43
Cro (série télévisée d'animation),22
Now Look Here,14
Watchdog (TV series),834
雪花 (韓國電視劇),16
Scorpion (serie televisiva),49
Running in Heels,8
Ángeles sin paraíso,171
Shirts & Skins,6
江山風雨情,54
Mitwa Phool Kamal Ke,190
