http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/squadNumber
Al Sadd Handball Team,31
Shabab Al-Bireh Institute,17
BM Ciudad Real,19
FIU Panthers men's soccer,27
SDC San Antonio,12
Charlotte 49ers men's soccer,10
Lekhwiya SC (handball),6
Ghazir Volleyball,5
Radford Highlanders women's soccer,5
Markaz Balata,4
Syracuse Orange men's soccer,0
Cincinnati Kids,16
Yayasan Negeri Sembilan HC,25
Al Rayyan Handball Team,5
Equipo de fútbol masculino de la Universidad de San Luis,25
Al Sadd Handball Team,3
E.I.S. Men's Volleyball,22
FIU Panthers men's soccer,4
SDC San Antonio,9
Sociedad Deportiva Cultural San Antonio,5
Al Sadd Handball Team,80
FIU Panthers men's soccer,34
Tulsa Golden Hurricane men's soccer,3
SDC San Antonio,19
Plataneros de Corozal,4
Radford Highlanders men's soccer,24
FIU Panthers men's soccer,5
Tulsa Golden Hurricane men's soccer,8
FIU Panthers men's soccer,8
Sapura HC,1
Al-Rayan SC Handball Team,26
FIU Panthers men's soccer,15
Charlotte 49ers men's soccer,9
Maybank HC,11
Al Sadd Handball Team,95
SDC San Antonio,17
Портланд Сан Антонио,4
Shabab Al-Bireh Institute,6
2013 NSCAA Men's Soccer All-Americans,6
SDC San Antonio,13
Ignition de Détroit,79
Laguna F.C.,14
VCU Rams men's soccer,22
Detroit Ignition,6
SDC San Antonio,18
Equipo de fútbol masculino de la Universidad de San Luis,11
Radford Highlanders women's soccer,22
BM Ciudad Real,13
Club Balonmano Ciudad Real,8
2013 NSCAA Men's Soccer All-Americans,1
Club Balonmano Ciudad Real,2
Plataneros de Corozal,11
Портланд Сан Антонио,17
Club Balonmano Ciudad Real,18
Yayasan Negeri Sembilan HC,16
