http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
Ikaria (Regionalbezirk),289441131
卡爾季察州,2669580297
Unidad periférica de Karditsa,2571668382
أتيكا الشرقية,1517977171
Achaea,3243882722
غرب أثينا,69782671
Atenas Septentrional,141897445
Beocia,3335455348
Kos (regional unit),327669109
Heraclião (unidade regional),2527649859
Argolide (unità periferica),2111965822
Maiao,8765590
Pieria (unità periferica),1476974321
Corfu (regional unit),618361946
وسط أثينا,89950072
Arcádia (Grécia),4627468688
Unidad periférica de Evros,4191644330
阿哈伊亞州,3255560691
カリムノス県,401831764
Argolis,2048346761
Naxos (district régional),646326989
Thesprotia,1511242889
Nationaal park Kluane,21266028528
Milos (Regionalbezirk),356795278
ماياو,8622718
Trikala (regional unit),3519292798
Kalymnos (regional unit),402030837
Salonicco (unità periferica),3702059739
Jednostka regionalna Ateny-Sektor Centralny,90143377
Béotie,3282641356
Federaal District (Brazilië),6005271782
茲拉馬州,3581597346
Ioannina (departement),5003489851
Arcadie,4270335246
Салоники (ном),3620630797
Distrito Federal (Brasil),5780491998
Jednostka regionalna Kos,353344529
派拉州,2405029672
Unidad periférica de Léucade,359149246
كورينثيا,2221370264
Korinthia,2378257486
Nomos Janina,5036544333
Ikaria (regional unit),298787190
Jednostka regionalna Attyka Wschodnia,1464215594
Trikala (Regionalbezirk),3381002286
Euritania,1852553109
Arta (Regionalbezirk),1640489400
テスプロティア県,1531054308
ヨアニナ県,5188677334
Jednostka regionalna Eubea,4156564111
Xanthi (Regionalbezirk),1722643551
Parc national et réserve de parc national de Kluane,21062618583
Réthymnon (district régional),1437770099
テッサロニキ県,3697367579
Jednostka regionalna Ateny-Sektor Zachodni,63412718
